Protein	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD4_CD34	HD5_CD34	HD6_CD34	HD1_Lin-	HD2_Lin-	HD3_Lin-
A1BG	0	22957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24755	0	0	0	0	0	0	0	0	0	0	6650	9730	0	0	0
A2M	0	0	0	50341	13038	0	0	0	0	0	0	0	0	77020	0	0	0	0	0	297996	0	25567	0	0	0	0	0	22490	0	13212	175606	0	0	0	106460	0	44713	0	31814	0	0	67672	13481	0	0	7135	0	0	0	0
AAAS	1018090	320161	56053	1003839	125536	1081896	0	134931	62844	156809	823904	169156	79555	188738	74704	169324	571543	207120	11979	1518814	163215	101318	73875	145137	803668	96887	82973	143672	81543	74301	103357	1512887	1094536	48625	177721	12081	117408	66513	443375	319968	262210	95783	99790	1546346	126818	653550	112588	0	0	0
AACS	0	0	0	32901	0	0	0	0	0	0	0	0	11420	0	0	0	0	0	0	0	0	0	16439	0	0	0	0	0	0	0	0	0	0	0	0	0	12772	0	0	0	0	17824	0	0	0	0	0	7081	19149	0
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6235	0	0	0	0	0	0	11006	0	0	0	0	0	0	0	0	0	0	0	0	1979	0	15694	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	0	16039	40395	25447	44860	0	0	0	0	3453	0	70534	28272	0	0	27804	0	75586	214146	0	73897	0	67424	0	0	39299	8589	0	0	0	0	0	0	144317	0	105319	9573	87377	0	12827	0	17044	0	0	12202	12950	0	14964	19141	30083
AAMDC	0	0	0	0	0	0	0	0	0	0	0	0	1383	0	0	6145	0	0	0	0	0	0	5473	0	0	0	3947	23133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5948	16108	17387	27672	0	0	0
AAMP	22319	39555	19969	29660	41675	0	0	41466	27416	21724	0	73209	41339	0	34986	37772	18344	38535	28236	18278	28495	65751	32841	21943	23732	37623	37249	33721	48533	38610	83182	25604	15505	42372	19422	58460	12357	12388	26785	0	0	25736	9396	53796	74049	52618	61745	0	0	0
AAR2	0	17355	66029	103534	30055	0	0	26167	29377	55013	0	81355	35696	0	35516	27093	19565	53368	16829	0	4392	44877	50566	26979	7725	32344	29093	32842	41441	63810	0	0	0	5645	0	35859	27708	27223	29716	0	0	93586	26468	0	2604	5654	0	0	0	19675
AARS1	442755	393408	383632	284688	535422	412753	239412	289050	272347	171165	464832	264008	188592	273812	241307	327570	338644	243657	206530	631782	304471	200288	194204	224351	299428	317483	296149	257950	224762	157719	67659	212190	299697	539751	295238	278297	138408	324113	266248	252600	125921	159965	256990	200375	400769	549560	441355	409187	519602	478127
AARS2	40547	28099	196580	65103	286479	0	0	108478	71000	181519	0	227248	163426	8215	45531	52447	43272	71616	327634	109158	5246	136299	161847	50729	71708	168968	46918	90528	71681	222024	39196	68662	49645	0	57583	77017	234320	0	12104	16478	84937	234604	24459	4548	114774	211107	130907	117709	134298	185507
AARSD1	0	0	24125	7563	15836	0	0	0	0	20345	0	29479	9747	0	8637	0	0	0	23406	0	11869	16855	0	0	0	24021	0	0	14645	0	0	0	0	0	0	0	26295	0	0	0	0	1930	0	0	24331	28707	0	37491	26263	30506
AASDHPPT	0	66596	16960	66558	0	0	0	25955	20876	14677	24540	17916	15930	0	20612	26236	0	9652	31448	19818	18966	15237	17499	0	14681	10763	19848	65791	16236	0	0	23117	0	24054	0	26126	8502	47292	8378	0	0	0	23736	0	135875	67276	57131	21062	40785	34297
AASS	0	0	0	0	0	0	0	0	5245	0	0	0	4532	0	0	0	0	4746	0	0	0	63334	0	0	0	0	0	21146	0	0	0	0	0	0	7046	0	46892	0	0	0	0	0	66807	0	6140	0	0	0	0	0
AATF	97606	0	99872	47925	76742	27638	0	154885	206738	181401	0	90371	76301	128837	184146	60032	181026	70919	44910	34182	39519	146313	29417	137953	89733	116335	78323	101941	121731	53627	0	20223	57402	15987	237339	3177	168452	28788	9334	0	0	15904	91038	88716	105042	56757	38985	0	0	0
ABAT	0	0	0	0	0	0	0	0	0	0	0	0	0	5432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	0	0	244866	161634	332084	0	0	150792	0	109808	0	201718	1379	0	98593	109107	48468	389269	28200	199515	0	80730	0	0	81953	0	0	185972	0	49576	56757	15953	0	0	0	177633	0	184819	389769	44078	0	266284	92808	59279	214239	298342	361172	0	51964	0
ABCB1	0	0	16827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	148783	36455	40265	427913	45524	1259174	36687	53745	37800	95950	0	39871	30675	91972	16061	32209	96950	60387	51460	0	127871	65637	45123	67759	102774	68257	41758	56208	45644	80667	76541	14241	69138	46120	199734	0	319828	58525	32800	34360	39784	82685	19546	0	26342	2938	0	0	0	0
ABCB11	45205	0	2482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17663	0	0	0	0	0	0	0	0	4805	0	0	0	0	0	0	0	0	0	0	0	0	0
