Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RAB44_112s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	0.186	1.436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB44_115s	-0.579	0.244	-1.237	0.629	0.1	0.64	-0.642	-0.023	-0.147	-0.377	0.577	-1.4	-0.105	0.093	-0.515	-0.143	-0.809	0.083	1.369	-0.765	0.48	-0.853	0.445	0.596	-0.169	-1.314	0.078	-1.085	0.158	0.691	0.395	-0.599	-0.396	1.359	-0.19	-0.75	-2.568	0.227	-0.427	0.486	0.955	0.443	-0.177	-0.839	1.045	1.046	-0.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB44_131s	NA	1.049	NA	NA	NA	NA	NA	NA	NA	-0.393	NA	NA	-0.388	NA	NA	NA	-0.426	NA	NA	NA	NA	-0.482	NA	NA	NA	NA	NA	NA	1.754	NA	NA	-0.07	NA	NA	-0.77	NA	NA	0.955	NA	NA	NA	NA	NA	NA	1.73	3.011	2.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB44_398t	NA	NA	NA	NA	0.858	NA	NA	-0.034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.596	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871	NA	NA	1.149	NA	NA	NA	NA	NA	NA	0.707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB44_399s	0.28	0.118	-1.0675	0.717	-0.27	0.591	-0.686	-0.424	-0.004	-0.38	-0.1	-1.524	-0.145	-0.346	-1.609	-0.3635	-0.939	-0.391	0.951	-1.4565	0.024	-0.869	0.884	1.651	-0.589	-1.2405	0.1945	-1.1235	-0.01	0.6365	1.125	-0.557	-0.798	1.684	-0.11	-0.907	-2.86	-0.339	-0.294	0.54	0.349	0.4365	-0.5005	-0.6905	0.888	1.646	1.7725	0.461	NA	1.275	0.206	NA	0.255	NA	NA	0.378	NA	NA	NA	NA	NA	NA	0.397	NA	NA	NA	0.647	NA	NA	NA	0.429	NA	0.858	0.254	0.012	NA	0.648	NA	NA	0.205	NA	NA	0.53	NA	NA	NA	0.373	NA	0.011	0.069	0.689	0.58	0.701	0.142
RAB44_403t	0.078	0.673	-1.122	0.863	-0.127	0.562	-1.326	0.012	-0.229	-0.112	0.018	-1.288	-0.633	-0.552	-1.088	0.257	-0.449	-0.253	0.476	-1.647	0.105	-0.972	0.137	1.6225	0.811	-1.0855	-0.154	-1.1345	1.146	1.259	0.86	-0.334	-0.9235	0.254	0.2	-0.9475	-2.317	-0.024	-0.482	0.9505	0.385	0.4725	-0.621	-0.427	1.229	2.042	2.3555	0.747	NA	1.352	0	NA	0.296	NA	NA	0.059	NA	NA	NA	NA	NA	NA	0.481	NA	NA	NA	0.378	NA	NA	NA	0.469	NA	0.639	0.239	0.004	NA	0.232	NA	NA	0.028	NA	NA	0.473	NA	NA	NA	0.207	NA	0.04	0.239	0.317	0.098	0.141	0.682
RAB44_411s	-0.52	0.502	-1.226	0.026	-0.284	1.239	-0.3	-0.091	0.079	-0.059	0.291	-0.743	0.113	-0.584	-0.7265	-0.026	-0.419	-0.1205	0.5145	-0.231	0.561	-0.548	0.35	0.042	0.3115	-2.119	0.0165	-0.501	0.654	0.626	0.5175	-0.7	-0.169	1.242	-0.472	-0.177	-0.709	0.172	-0.3075	0.567	0.903	0.338	0.019	-0.197	-0.004	0.746	2.503	1.177	NA	2.162	NA	NA	NA	NA	NA	NA	NA	0.066	0.182	NA	NA	0.756	NA	NA	0.151	1.216	NA	NA	NA	0.462	0.496	0.084	NA	0.373	NA	NA	NA	0.356	NA	NA	NA	NA	NA	0.595	NA	0.145	NA	NA	0.553	NA	0.693	NA	NA	NA
RAB44_413s	NA	NA	NA	NA	NA	NA	-0.927	NA	NA	NA	0.539	-1.231	NA	NA	NA	NA	NA	-0.137	NA	NA	NA	NA	0.632	NA	0.541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.341	NA	-0.138	NA	NA	NA	NA	NA	-0.037	1.295	2.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB44_434t	1.852	-0.3045	-1.097	1.491	0.217	0.627	-0.1895	0.55	-0.4315	-0.276	0.2955	-1.5885	-0.009	1.711	-1.006	-0.1255	-1.018	-0.1155	3.133	-1.225	-0.098	-0.751	0.381	0.917	-0.5055	-0.894	3.387	-1.0535	0.851	1.334	0.778	-0.4365	-0.1685	2.115	-0.2965	-0.084	-2.876	0.153	0.9335	0.5775	1.205	1.419	-0.222	-0.03	0.8795	0.7965	1.2925	NA	0.664	NA	0.672	NA	NA	0.788	NA	0.559	0.774	1.006	0.527	0.075	NA	NA	0.504	0.488	0.377	NA	0.902	NA	0.337	0.11	NA	0.078	NA	NA	0.894	1.345	NA	NA	0.938	0.329	NA	0.059	0.144	0.317	0.301	0.535	0.425	NA	NA	0.219	NA	0.79	0.445	0.384
RAB44_474s	NA	0.103	NA	-0.162	-0.672	NA	-0.377	-0.209	0.024	-0.16	0.362	-0.772	0.185	0.553	-0.793	-0.5	-0.035	-0.583	0.319	-0.218	0.592	-0.281	0.384	NA	-0.283	NA	NA	-0.318	0.142	NA	0.215	-0.317	0.485	1.654	-0.539	-0.077	-1.606	-0.312	-0.726	0.323	0.117	NA	-0.116	NA	0.087	1.384	1.807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
