Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RBM10_115s	NA	NA	NA	1.277	0.464	NA	NA	0.237	-1.32	NA	NA	NA	NA	0.559	-0.149	0.561	NA	NA	1.37	-0.189	0.171	NA	NA	NA	NA	NA	NA	1.041	NA	NA	0.095	NA	0.396	1.066	NA	0.929	NA	NA	NA	-0.208	0.567	NA	0.856	NA	-0.224	-0.411	-0.889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_125s	NA	0.441	NA	-0.473	-0.547	NA	0.369	-0.353	NA	0.446666667	0.151333333	0.171	0.332	0.765	-0.383	-0.332	0.156333333	0.364	0.656	NA	-0.502	0.663	-0.116333333	NA	0.004666667	NA	NA	0.013	1.298	NA	0.113	0.14	-0.447	0.42	0.438666667	-0.383	0.482333333	0.454333333	0.458	NA	0.506	NA	0.091	NA	-0.328	-1.052	-0.599	NA	0.303	NA	NA	NA	NA	0.136	NA	NA	0.233	0.084	0.131	0.284	NA	NA	NA	0.717	0.129	NA	NA	NA	0.704	0.184	NA	0.181	NA	NA	NA	0.378	NA	NA	0.04	NA	NA	0.565	NA	0.133	0.244	0.159	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_126s	NA	0.699	NA	NA	NA	NA	0.526	NA	NA	0.566	0.228	0.261	0.437	NA	NA	NA	0.862	0.329	NA	NA	NA	1.364	-0.046	NA	0.111	NA	NA	NA	1.624	NA	NA	NA	NA	NA	1.081	NA	0.343	0.687	0.287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_130s	NA	0.517	NA	-0.473	-0.547	NA	0.3	-0.353	NA	0.596	0.164	0.231	0.549	0.765	-0.383	-0.332	0.179	0.256	0.656	NA	-0.502	0.669	0.022	NA	-0.204	NA	NA	0.013	1.387	NA	0.113	0.168	-0.447	0.42	0.219	-0.383	0.609	0.476	0.487	NA	0.506	NA	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_138s	NA	0.056	NA	NA	NA	NA	0.281	NA	NA	0.309	0.062	0.021	-0.2625	NA	NA	NA	-0.0645	0.507	NA	NA	NA	0.205	-0.325	NA	0.107	NA	NA	NA	0.7975	NA	NA	-0.021	NA	NA	0.044	NA	0.495	0.5175	0.6	NA	NA	NA	NA	NA	-0.115	0.381	1.372	NA	0.072	NA	NA	NA	NA	NA	NA	NA	0.185	NA	NA	0.385	NA	NA	NA	0.718	NA	NA	NA	NA	0.352	NA	NA	NA	NA	NA	NA	0.121	NA	NA	0.188	NA	NA	0.04	NA	NA	0.449	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_141s	NA	0.005	NA	NA	NA	NA	NA	NA	NA	0.44	NA	NA	-0.535	NA	NA	NA	0.443	NA	NA	NA	NA	0.454	NA	NA	NA	NA	NA	NA	0.712	NA	NA	-0.154	NA	NA	0.072	NA	NA	0.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_154s	0.059	-0.284	0.3015	0.088	0.107	-0.48	0.406	0.061	-0.3885	0.3115	-0.7005	-0.057	0.4055	0.1505	-0.1	0.1985	0.011	0.075	0.254	0.407	-0.312	0.072	0.076	-0.0945	-0.006	-0.168	0.259	-0.1515	0.211	-0.117	0.214	0.01	0.126	0.093	-0.3025	0.299	0.6795	-0.0755	0.359	-0.063	0.025	0.541	0.6085	0.8315	-0.045	-0.3815	-1.114	0.307	0.126	0.626	0.806	0.205	0.776	0.27	0.403	0.033	0.122	0.317	0.103	0.148	1.092	0.233	0.19	0.249	0.007	0.363	0.191	0.443	0.331	0.264	0.084	0.294	0.221	0.322	0.668	0.106	0.808	0.482	0.533	0.286	0.281	0.667	0.175	0.559	0.269	0.081	0.485	0.322	0.256	0.122	0.209	0.412	0.267	0.522
RBM10_156t	-1	NA	0.27	NA	NA	-0.539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.289	NA	-0.209	0.183	NA	NA	-0.518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.412	NA	0.765	0.184	-0.143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_30s	-0.27	-0.035	-0.054	0.46	0.22	0.049	-0.047	0.136	0.474	0.079	-0.392	-0.23	0.376	-0.764	-0.007	0.48	-0.088	-0.748	0.228	-0.208	0.336	0.186	0.142	-0.087	-0.001	-0.399	-0.359	0.02	0.017	-0.209	0.465	0.196	0.244	0.018	-0.214	0.292	-0.021	-0.114	0.202	-0.193	-0.106	-0.057	0.355	0.348	0.093	-0.123	0.684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10_4s	0.517	0.791	0	0.534	0.373	1.033	-0.672	0.186	-0.066	0.305	-0.545	-1.133	0.224	0.311	-0.133	-0.424	0.198	NA	0.213	1.146	0.482	0.132	-1.171	-0.323	0.041	0.626	-0.12	-0.073	0.693	0.04	-0.303	0.658	0.282	0.548	1.036	NA	-1.044	0.057	-0.2	0.362	0.717	-0.585	-0.097	-0.314	0.143	0.241	-0.304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
