Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PABIR1_104s	0.002	-0.063	0.429	-0.201	0.111	-0.1915	0.1995	-0.17	0.5935	-0.06	0.134	0.04	-0.06	-0.242	0.315	0.45	0.356	-0.273	0.577	0.242	0.157	0.254	0.203	0.5455	0.1395	-0.019	0.1445	0.0995	-0.276	0.2935	-0.214	-0.168	-0.0935	-0.013	-0.176	0.3295	-0.313	0.455	0.102	0.274	-0.314	-0.0725	-0.2065	0.077	0.238	-0.109	0.635	NA	NA	0.02	0.14	NA	0.764	0.366	NA	0.011	NA	0.048	0.127	NA	NA	NA	0.286	NA	0.222	NA	0.068	NA	NA	0.023	0.248	0.363	0.134	0.257	0.09	NA	0.245	NA	NA	0.135	NA	NA	0.312	0.167	NA	0.15	0.161	NA	0.402	0.19	0.093	NA	NA	NA
PABIR1_185s	-0.1115	-0.413	-0.04	-0.286	0.4965	-1.0165	0.833	-0.15	0.231	0.14	0.704	0.243	0.07	0.351	-0.0905	0.163	0.1685	-0.0525	0.8185	0.19	-0.3245	0.4875	0.274	-0.2175	-0.044	0.0365	0.503	0.18	0.597	0.2465	0.07	0.3125	-0.028	0.426	-0.169	-0.055	0.192	0.343	0.488	0.288	-0.3425	0.128	-0.147	0.2915	0.4075	0.0225	1.149	0.777	0.157	0.301	NA	0.264	0.124	0.556	0.156	NA	0.437	0.837	0.013	0.226	1.106	0.053	NA	0.028	0.053	0.919	NA	0.366	0.511	0.12	0.04	0.095	0.487	1.3	NA	1.051	0.467	0.027	0.664	NA	0.503	0.243	NA	0.513	0.115	0.429	NA	0.025	0.775	NA	0.274	0.336	0.108	0.184
PABIR1_189s	-0.069	-0.7645	0.31	-0.067	0.4965	-0.753333333	0.62	-0.15	0.3135	-0.4195	0.61975	0.146	-0.038	0.351	-0.0905	0.119	-0.0595	-0.212	0.8185	0.3985	-0.3245	-0.273	0.2965	-0.078666667	-0.16825	0.063666667	0.459333333	-0.074	-0.241	0.152	0.07	-0.402	-0.2045	0.426	-0.2495	-0.142	0.3585	0.015	0.60425	0.0605	-0.3425	-0.076333333	0.112	0.137333333	-0.236333333	-0.366333333	0.388333333	0.554	0.34	0.643	0.31	0.264	0.464	0.695	0.156	0.117	0.354	0.787	0.435	0.074	1.106	0.053	0.062	0.295	0.188	0.919	0.295	0.366	0.564	0.29	0.242	0.18	0.348	0.922	0.359	0.134	0.369	0.027	0.346	0.25	0.503	0.357	0.123	0.469	0.349	0.435	0.322	0.025	0.652	0.366	0.33	1.14	0.678	1.324
PABIR1_191t	NA	-0.302	NA	NA	NA	NA	NA	NA	NA	0.449	NA	NA	0.23	NA	NA	NA	0.188	NA	NA	NA	NA	0.849	NA	NA	NA	NA	NA	NA	1.34	NA	NA	0.782	NA	NA	-0.341	NA	NA	0.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABIR1_229s	NA	NA	NA	NA	NA	NA	0.617	NA	NA	NA	0.346	0.279	NA	NA	NA	NA	NA	-0.289	NA	NA	NA	NA	0.176	NA	-0.276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.373	NA	-0.078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABIR1_231s	-0.912	-1.345	-0.473	0.277	NA	-0.748	0.435	NA	0.361	-0.293	0.3	0.066	-0.213	NA	NA	0.516	0.019	-0.811	NA	0.208	NA	0.092	0.076	0.306	-0.414	-0.558	0.087	0.387	-0.208	0.382	NA	-0.861	0.468	NA	-0.658	0.151	0.246	0.171	-0.432	0.472	NA	-0.409	-0.501	0.505	0.807	0.623	0.551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABIR1_309s	-1.502	0.0035	0.012	0.3265	0.175	-0.899	0.347	-0.123	0.815	-0.7355	-0.708	0.231	-0.6665	-0.456	0.357	0.1525	0.0085	-0.108	0.863	0.157	0.024	0.143	0.056	0.172	0.014	-0.302	-0.035	0.744	-0.645	0.221	0.185	0.043	0.526	-0.25	-0.314	-0.125	-0.013	-0.082	-0.085	0.3195	-1.118	-0.09	-0.182	-0.243	0.469	0.311	0.122	NA	0.472	NA	0.278	NA	NA	NA	NA	0.453	0.523	NA	NA	0.411	NA	NA	0.487	0.028	NA	NA	0.018	NA	0.488	NA	NA	NA	NA	NA	1.079	0.573	NA	NA	0.092	0.608	NA	0.187	0.618	NA	0.311	NA	0.327	NA	NA	0.201	NA	NA	NA	NA
PABIR1_312s	-0.644	-0.319333333	0.212	-0.037666667	0.363	-1.001	0.6	-0.243	0.497666667	-0.468	0.054	0.149	-0.148333333	0.014	-0.257	0.164666667	0.202666667	-0.514	0.49	0.198333333	-0.376	0.215333333	0.225	0.099	-0.245	-0.134	0.481	0.741333333	-0.425333333	0.056	-0.009	0.187666667	0.057333333	-0.257	-0.328666667	-0.176	-0.291	0.119	0.367	0.213333333	-0.698	-0.48	-0.376333333	0.332	0.073	-0.225	-0.517	NA	0.097	NA	0.288	NA	NA	NA	NA	0.57	0.615	NA	NA	0.702	NA	NA	0.379	0.232	NA	NA	0.055	NA	0.376	NA	NA	NA	NA	NA	0.664	0.545	NA	NA	0.248	0.797	NA	0.398	0.485	NA	0.412	NA	0.15	NA	NA	0.423	NA	NA	NA	NA
PABIR1_318s	NA	-0.411	NA	-0.37	NA	NA	NA	NA	0.037	0.122	NA	NA	0.301	NA	NA	0.123	0.45	NA	NA	0.262	NA	0.528	NA	NA	NA	NA	NA	0.316	-0.178	NA	NA	0.462	-0.563	NA	-0.655	-0.334	NA	0.137	NA	0.38	NA	NA	-0.823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABIR1_77s	NA	NA	NA	NA	-0.112	NA	NA	0.506	NA	NA	NA	NA	NA	-0.159	0.591	NA	NA	NA	1.144	NA	-0.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.333	NA	NA	0.29	NA	NA	NA	NA	NA	NA	-0.185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABIR1_79s	-0.05	0.147	0.726	0.203	0.127	0.115	0.583	-0.05	0.543	0.077	0.028	0.351	0.313	-0.07	0.555	-0.047	0.358	-0.389	0.529	0.298	-0.153	0.02	0.309	0.083	0.097	0.047	0.354	-0.111	0.226	0.105	-0.207	-0.005	0.017	-0.119	-0.296	0.149	0.256	0.353	0.304	0.173	-0.35	0.118	-0.06	0.18	0.28	0.234	0.739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
