Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
LAT2_106s	NA	NA	NA	NA	NA	NA	0.823	NA	NA	NA	-0.638	1.4655	NA	NA	NA	NA	NA	0.6825	NA	NA	NA	NA	0.6815	NA	0.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.746	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.513	NA	NA	NA	0.554	0.718	NA	NA	NA	NA	NA	0.139	NA	NA	NA	NA	0.183	NA	0.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.226	NA	0.462	NA	NA	NA	NA	NA	NA	NA	NA
LAT2_135s	-0.58	-0.821	0.635	0.119	-0.249	-0.916	0.388	-0.179	0.15	-0.828	-3.046	1.494	-0.98	-0.7455	0.383	0.631	-0.178	0.486	0.392	-0.555	-1.2255	0.007	0.845	-0.694	-0.073	0.948	-0.318	-1.561	1.168	0.422	-0.196	-0.39	-3.077	-1.3565	-1.242	-0.2265	1.267	0.622	0.492	0.682	-0.929	-0.333	-0.996	-1.01	-0.19	-0.4745	-1.3895	NA	NA	NA	0.066	0.082	NA	NA	0.04	0.038	NA	NA	NA	NA	0.175	0.065	0.006	NA	NA	0.052	0.082	0.199	NA	NA	NA	NA	NA	NA	0.033	NA	NA	0.083	NA	0.264	0.103	NA	0.052	NA	NA	NA	0.057	0.281	NA	0.095	NA	0.074	0.166	0.043
LAT2_167s	NA	NA	NA	NA	NA	NA	0.413	NA	NA	NA	-3.396	0.962	NA	NA	NA	NA	NA	0.612	NA	NA	NA	NA	0.878	NA	0.051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.731	NA	0.517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAT2_183s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.506	0.926	1.348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAT2_217s	-0.08	-0.238333333	0.367	0.564	0.0635	0.066	0.352666667	0.3325	0.051	-0.302666667	0.478666667	1.081333333	-0.138	-0.035	0.882	0.219	0.000666667	0.519666667	0.284	-0.292	-0.238	0.620666667	0.342333333	-0.055	-0.069	0.298	-0.108	-0.045	0.846333333	0.019	-0.1175	-0.029333333	-0.834	0.169	-0.1845	-0.619	0.873	0.178333333	0.206333333	-0.45	-0.165	0.095	-0.321	-0.0535	0.5305	0.9675	1.3015	NA	0.62	NA	NA	0.383	NA	0.081	0.486	NA	0.53	0.676	0.167	0.414	NA	0.051	NA	0.224	0.187	0.191	NA	NA	0.717	0.251	NA	0.11	NA	0.042	NA	0.374	NA	0.129	0.495	NA	NA	0.074	NA	0.036	0.582	0.179	NA	0.406	NA	NA	0.233	0.405	0.002	0.05
LAT2_223s	NA	-0.523	NA	0.2905	-0.3385	NA	0.451	0.05	0.5795	-0.404333333	0.168	0.7695	-0.230666667	-0.2755	0.265	-0.043	0.366	0.2515	-0.1925	-0.426	-0.2785	0.182	0.325	NA	0.198	NA	NA	-0.149	0.432333333	NA	0.252	-0.039	-0.466	-0.1015	-0.49	-0.0255	0.443	-0.096666667	0.073	-0.2505	0.5145	NA	-0.118	NA	0.617	0.752	1.0015	NA	0.358	NA	0.09	0.279	NA	0.092	0.04	0.04	0.542	1.53	0.172	0.556	0.431	0.257	0.283	0.357	0.101	0.306	0.281	0.24	0.132	0.332	NA	0.218	NA	NA	0.059	0.177	NA	0.276	0.199	0.315	0.138	0.228	0.107	0.61	0.234	0.109	0.155	0.603	NA	0.055	NA	0.226	0.935	0.062
LAT2_44s	-1.02	-0.495666667	0.951	0.324666667	-0.27275	-0.063	0.23675	0.267	0.069666667	-0.589666667	-0.32225	1.07925	-0.407	-0.35625	0.62425	0.467666667	0.189666667	0.43975	-0.18975	-0.416	-0.5805	0.043333333	0.35875	-0.5875	0.12425	0.938	-1.359	-0.606333333	0.825	0.275	-0.04175	0.048	-0.862	-0.62825	-0.293333333	-0.416666667	1.506	-0.199666667	0.42875	0.057	-0.384	-0.441	-0.030666667	0.067	-0.276	-0.407	-0.1955	0.074	0.333	0.003	0.463	0.252	0.238	0.247	0.203	0.169	0.513	1.036	0.309	0.103	0.389	0.248	0.184	0.211	0.358	0.362	0.655	0.196	0.185	0.31	0.06	0.192	0.021	0.52	0.607	0.583	0.372	0.223	0.348	0.595	0.256	0.092	0.475	0.913	0.361	0.391	0.199	0.154	0.279	0.257	1.117	0.561	0.795	1.257
LAT2_51s	0.2688	-0.3862	0.4036	0.5785	-0.0715	-0.0442	0.404142857	0.521166667	-0.192	-0.34	-0.332	1.241285714	-0.4454	0.388166667	0.719333333	0.50975	0.143	0.379	0.554166667	0.1	-0.3625	-0.0268	0.343142857	-0.3634	0.024	1.1496	0.1458	-0.169	1.5614	0.8816	0.0435	0.4938	-0.4845	-0.477166667	-0.3252	0.0845	1.704857143	-0.1978	0.486142857	-0.00825	-0.095	0.1712	0.077	0.333	-0.6455	-0.8965	-0.8325	1.244	0.352	0.461	0.436	0.318	0.285	0.322	0.418	0.355	0.64	0.89	0.223	0.094	0.882	0.142	0.202	0.194	0.256	0.813	0.504	0.184	0.315	0.28	0.193	0.18	0.527	1.23	0.122	0.978	0.496	0.189	0.611	0.241	0.319	0.168	0.48	1.106	0.274	0.477	0.1	0.285	0.378	0.392	0.389	0.039	0.103	0.356
LAT2_53t	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	-0.152	0.988	NA	NA	NA	NA	NA	0.094	NA	NA	NA	NA	0.573	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.781	NA	0.555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAT2_55s	1.206	-0.541666667	-0.012666667	0.704	0.11675	-0.301333333	0.70125	0.586	-0.226333333	0.027	-0.21125	1.38175	-0.484333333	0.38325	0.82225	0.539333333	0.160666667	0.6695	0.33625	0.335666667	-0.44625	0.071333333	0.5145	-0.224333333	-0.07125	1.496333333	0.999666667	-0.147666667	2.043	1.234333333	0.04075	0.842333333	-0.397666667	-0.348	-0.333666667	0.285	2.39525	-0.293333333	0.8185	-0.031333333	-0.15675	0.571666667	0.110333333	0.255666667	NA	NA	NA	0.877	0.292	0.509	0.436	0.252	0.308	0.215	0.366	0.426	0.552	0.718	0.189	0.064	1.014	0.065	0.236	0.221	0.122	0.948	0.22	0.339	0.153	0.09	0.217	0.061	0.278	0.967	0.14	1.02	0.367	0.034	0.54	0.204	0.249	0.201	0.324	1.028	0.194	0.367	0.109	0.363	0.113	0.473	0.414	NA	NA	NA
