Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RFC1_108s	-0.468	-1.077	0.752	NA	0.512	0.001	-0.4765	0.041	NA	0.572	-0.413	0.4225	0.497	0.026	0.279	NA	0.194	0.0645	0.221	NA	0.032	0.324	-0.17	-0.15	0.4745	0.431	0.639	NA	0.266	-0.098	-0.24	-0.626	NA	0.107	0.189	NA	0.783	0.107	-0.0045	NA	0.475	0.02	NA	0.489	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	NA	0.027	0.391	NA	NA	NA	NA	NA	0.234	NA	NA	NA	NA	0.257	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.441	NA	0.326	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_1105s	NA	NA	NA	NA	0.121	NA	NA	0.553	NA	NA	NA	NA	NA	-0.134	0.563	NA	NA	NA	1.075	NA	0.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.033	NA	NA	-0.269	NA	NA	NA	NA	NA	NA	0.726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_156s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155	0.499	-1.104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_161t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155	0.499	-1.104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_190s	0.166	-0.621	0.025	0.979	0.636	-0.957	-0.7	-0.277	-0.387	-0.752	0.81	0.231	-0.1395	-0.306	-0.101	0.339	-0.278	-0.005	0.647	0.701	-0.463	-0.34	-0.686	-0.008	-0.559	-0.082	-0.859	-0.651	-0.444	-0.866	-0.072	0.722	0.047	-0.117	-0.418	-0.504	0.271	-0.675	0.555	0.705	0.059	0.845	1.072	-1.271	-1.137	-1.5195	-2.1695	NA	0.205	NA	NA	NA	NA	NA	NA	NA	0.139	NA	NA	0.088	NA	NA	NA	0.119	NA	NA	NA	NA	0.031	NA	NA	NA	NA	NA	NA	0.153	NA	NA	0.085	NA	NA	0.481	NA	NA	0.034	NA	NA	NA	NA	NA	NA	0.133	0.26	0.535
RFC1_29s	NA	NA	NA	-0.242	NA	NA	NA	NA	0.169	NA	NA	NA	NA	NA	NA	0.501	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	-0.263	NA	NA	NA	NA	0.562	NA	NA	-0.79	NA	NA	NA	-0.109	NA	NA	0.097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_311s	NA	NA	NA	0.109	NA	NA	NA	NA	0.013	NA	NA	NA	NA	NA	NA	-0.475	NA	NA	NA	-0.026	NA	NA	NA	NA	NA	NA	NA	0.706	NA	NA	NA	NA	0.428	NA	NA	-1.405	NA	NA	NA	0.19	NA	NA	0.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_312s	-0.21	-0.405	-0.969	-0.025	NA	-0.787	-2.197	NA	-0.025	-0.683	-0.256	0.091	0.094	NA	NA	-0.581	0.276	0.986	NA	-0.213	NA	-0.082	-0.026	-0.748	-0.629	-0.659	0.112	0.541	-0.482	-1.39	NA	-0.794	0.313	NA	-0.148	-1.189	0.877	-0.459	-0.049	-0.13	NA	-0.198	0.663	-1.432	0.556	0.609	-0.925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_366s	0.358	0.395	-0.353	-0.262	NA	0.101	-0.958	NA	-0.044	0.427	0.306	-0.002	0.236	NA	NA	0.055	0.502	0.34	NA	0.192	NA	0.564	0.16	0.127	0.345	0.829	0.571	-1.237	0.67	-0.115	NA	0.133	0.848	NA	0.731	-0.976	0.233	0.232	-0.003	0.532	NA	0.024	-0.163	-0.766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1_368s	0.054	0.481666667	-0.291666667	-0.107333333	0.554	0.011	-1.359666667	0.539	0.187333333	0.258333333	0.156666667	-0.047	0.267333333	0.058	-0.0065	0.053333333	0.515333333	0.348	0.328	0.089	0.541	0.573333333	-0.103333333	0.045666667	0.425666667	0.635	0.313333333	-1.308333333	0.438666667	-0.142333333	-0.9355	-0.011333333	0.921333333	-0.481	0.528	-1.083666667	0.053333333	0.110666667	-0.119666667	0.600666667	-0.2415	0.114	-0.063666667	-0.973	0.3325	0.63	-1.069	0.271	0.137	0.126	0.145	0.098	0.08	0.376	0.027	0.236	0.151	0.349	0.073	0.054	0.409	0.012	0.024	0.065	0.062	0.119	0.192	0.061	0.035	0.271	0.074	0.121	0.187	0.229	0.214	0.208	0.092	0.206	0.224	0.105	0.065	0.176	0.175	0.245	0.151	0.18	0.07	0.006	0.093	0.086	0.185	0.155	0.02	0.745
