Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
NUP98_1005t	0.504	-0.083	-1.202	NA	0.048	0.682	NA	-0.004	NA	0.676	NA	NA	0.787	0.312	-0.504	NA	0.351	NA	-0.568	NA	0.307	0.064	NA	0.31	NA	-1.033	-0.3	NA	0.653	-0.186	-0.134	-0.219	NA	-0.046	0.387	NA	NA	0.194	NA	NA	0.07	0.792	NA	-0.653	0.53	0.843	-0.331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP98_1006s	0.6135	-0.441	-0.758	0.2725	0.0555	0.301	-0.047	0.5535	-0.3135	1.0195	0.577	0.2375	0.057	1.051	0.1565	-0.558	0.4135	0.4245	0.652	-0.389	0.519	0.238	-0.1275	0.6015	0.2175	0.929	1.0445	-0.934	0.3575	0.4875	0.111	-0.602	0.855	-0.174	0.587	-0.5305	0.459	0.271	0.33	0.2825	0.64	0.408	0.1085	-0.0135	-0.339	-0.09	1.186	0.91	0.208	0.133	0.507	0.243	0.404	0.223	0.5	0.062	0.455	0.098	0.173	0.433	0.679	0.103	0.305	0.05	0.153	0.718	0.81	0.194	0.181	0.37	0.129	0.26	0.471	0.718	0.583	0.342	0.456	0.204	0.3	0.342	0.297	0.023	0.081	0.967	0.013	0.085	0.192	0.16	0.286	0.31	0.301	NA	NA	NA
NUP98_1011s	1.276	-0.732	-0.609	0.3815	0.113	0.5205	-0.2435	0.6585	-0.5575	1.142	0.01	0.1955	0.4725	1.242	0.0765	-0.3305	0.303	0.338	0.8205	-0.154	0.315	0.3405	-0.554	0.5055	-0.223	1.0885	1.2155	-0.1995	0.4945	0.721	-0.0735	-0.623	0.8475	0.0695	0.3895	-0.603	0.808	0.083	0.3195	-0.0695	0.708	0.4235	0.0795	0.2315	-0.286	-0.499	0.324	0.027	0.204	0.344	0.353	0.161	0.094	0.054	0.351	0.284	0.281	0.704	0.233	0.155	0.409	0.011	0.016	0.206	0.276	0.48	0.478	0.482	0.036	0.233	0.006	0.363	0.245	0.476	0.456	0.148	0.126	0.057	0.33	0.353	0.047	0.257	0.021	0.474	0.253	0.1	0.306	0.064	0.264	0.269	0.046	NA	NA	NA
NUP98_1021s	NA	NA	NA	NA	-0.372	NA	NA	0.405	NA	NA	NA	NA	NA	0.463	1.114	NA	NA	NA	-0.424	NA	-0.427	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.639	NA	NA	0.192	NA	NA	NA	NA	NA	NA	1.326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP98_1026s	-0.112	-0.297	-1.0915	-0.2155	NA	0.787	0.0775	NA	-0.6355	0.5935	0.979	-0.416	-0.0545	NA	NA	-0.0825	-0.0025	0.1125	NA	-0.749	NA	-0.159	0.7125	0.4795	0.2315	0.448	-0.673	0.132	0.469	0.637	NA	0.1335	1.106	NA	-0.262	-0.5375	1.084	-0.5805	0.337	-0.426	NA	0.4885	0.01	0.084	-0.2055	-0.4405	-1.102	4.039	0.239	0.589	0.494	NA	0.03	1.08	NA	0.52	0.596	1.198	0.608	0.172	NA	NA	0.2	0.104	0.448	NA	0.492	NA	0.197	0.245	0.008	0.23	0.557	3.779	1.032	1.368	0.776	NA	0.715	0.597	NA	0.263	0.749	1.498	0.155	1.428	0.116	NA	1.023	0.54	1.049	0.675	0.196	0.737
NUP98_1043s	0.57	-0.769333333	-0.779333333	-0.697	-0.833	1.052333333	-0.694	-0.152	0.0815	-0.139333333	0.482	0.177	-0.454333333	-0.308	-0.0385	-0.4475	-0.052666667	0.2315	-0.667	-0.4015	-0.267	0.111333333	0.2885	0.435333333	0.162	0.101666667	-0.681333333	0.02	-0.416666667	0.268666667	0.5345	-0.623333333	0.3295	-0.2035	0.453666667	-0.5555	0.749	-0.147	-0.3	-0.146	0.9	0.229333333	-0.1755	-0.24	0.52	1.3355	1.782	0.474	0.431	0.158	0.137	0.134	0.585	0.522	0.47	0.107	0.105	0.006	0.245	0.216	0.03	0.07	0.162	0.021	0.015	0.025	0.17	0.519	0.137	0.08	0.272	0.539	0.073	0.785	0.184	0.543	0.142	0.262	0.538	0.122	0.315	0.156	0.309	0.604	0.255	0.619	0.054	0.049	0.444	0.26	0.223	1.151	1.529	0.957
NUP98_1047s	0.9045	-0.564	-0.682	-0.388	-0.465	1.6425	-1.049	0.156666667	0.2175	0.2275	0.218	0.067	-0.22	-0.03	-0.032	-0.2705	0.1175	-0.262	-0.575666667	-0.4355	0.169	0.079	0.01	0.6345	0.3645	0.0225	-0.126	-0.158	0.042	0.4945	0.669	-0.2375	0.206	-0.176666667	0.373	-0.807	0.8865	-0.421	-0.032	-0.2475	0.639333333	0.3685	-0.529	0.0785	-0.726	-0.709	0.149	0.04	0.372	0.174	0.3	0.268	0.186	0.02	0.127	0.299	0.377	0.379	0.4	0.049	0.357	0.07	0.412	0.213	0.683	0.161	0.218	0.135	0.228	0.474	0.479	0.252	0.011	0.31	0.068	0.291	0.088	0.352	0.241	0.297	0.379	0.027	0.047	0.409	0.004	0.24	0.197	0.258	0.252	0.24	0.206	NA	NA	NA
NUP98_1053t	-0.3695	-1.2085	-0.0265	-0.688	-0.530666667	0.605	0.045	-0.035666667	0.019	0.155	-1.052	0.398	-0.0915	-0.42	-0.182666667	-0.121	-0.0485	-0.401	-0.726333333	-0.969	-0.270333333	0.2455	-0.962	0.8545	0.169	0.043	-1.4195	-1.357	-0.743	0.258	0.780333333	-1.0175	-0.051	-0.201333333	0.724	-0.838	0.216	0.122	-0.228	-0.029	0.572666667	-0.302	-0.918	-0.1175	0.364	0.9405	1.213	0.571	0.084	0.825	NA	0.368	0.3	NA	0.397	NA	0.571	NA	NA	0.837	0.378	0.143	NA	0.002	NA	0.358	NA	0.358	0.169	NA	0.149	NA	0.079	0.224	NA	0.42	0.078	0.374	0.173	NA	0.603	0.127	NA	NA	0.328	NA	NA	0.27	0.034	NA	0.528	1.372	2.088	1.762
NUP98_1448s	NA	NA	NA	NA	NA	NA	0.369	NA	NA	NA	0.565	0.182	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	0.256	NA	0.377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.291	NA	0.679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP98_1452s	1.6	NA	0.526	NA	NA	1.135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.888	NA	0.181	1.272	NA	NA	0.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.064	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
