Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RB1CC1_1222s	NA	NA	NA	NA	NA	NA	0.655	NA	NA	NA	0.104	-0.089	NA	NA	NA	NA	NA	0.164	NA	NA	NA	NA	-0.169	NA	-0.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.322	NA	0.897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_222s	0.779	0.374	-0.437	0.721	0.219	-0.335	0.715	0.181	-0.891	0.148	1.033	0.357	-0.27	1.109	0.461	0.347	-0.439	0.346	0.895	0.138	-0.436	-0.282	0.296	0.065	-0.557	0.566	1.018	0.361	0.614	0.379	-0.101	0.136	-0.009	0.249	-0.195	1.075	1.217	0.036	0.793	0.032	0.19	0.469	0.769	0.051	0.082	-0.034	-1.351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_257s	NA	-0.065	NA	-0.1	NA	NA	NA	NA	0.454	-0.319	NA	NA	0.393	NA	NA	-0.116	-0.336	NA	NA	-0.314	NA	-0.208	NA	NA	NA	NA	NA	0.257	0.615	NA	NA	-0.392	-0.398	NA	-0.236	-0.054	NA	0.28	NA	0.901	NA	NA	-0.147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_261s	NA	NA	NA	NA	0.164	NA	NA	-0.477	NA	NA	NA	NA	NA	0.353	0.082	NA	NA	NA	0.168	NA	0.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.202	NA	NA	-0.168	NA	NA	NA	NA	NA	NA	0.114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_642s	NA	-0.552	NA	NA	NA	NA	0.161	NA	NA	0.022	0.422	-0.347	0.476	NA	NA	NA	-0.036	-0.02	NA	NA	NA	0.318	0.339	NA	-0.209	NA	NA	NA	0.136	NA	NA	0.064	NA	NA	-0.023	NA	0.196	-0.109	0.021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_644s	-0.637	-0.551	-0.148	-0.122	-0.219	-0.753	-0.207	0.2	0.613	-0.015	-0.645	-0.138	0.412	-0.534	0.103	0.003	0.038	0.074	0.28	0.04	-0.072	-0.216	0.089	0.295	-0.094	0.613	0.486	0.55	-0.059	-0.444	-0.023	-0.119	0.338	-0.44	-0.278	0.123	-0.11	0.172	0.163	0.739	-0.031	-0.111	0.193	-0.128	0.111	-0.077	0.427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_646t	0.106	-0.861	-0.701	NA	NA	-1.648	NA	NA	NA	-0.111	NA	NA	-0.34	NA	NA	NA	-0.312	NA	NA	NA	NA	-0.264	NA	-0.412	NA	0.404	-0.234	NA	0.296	-0.417	NA	-0.588	NA	NA	0.431	NA	NA	0.066	NA	NA	NA	-0.194	NA	-0.403	0.429	-0.311	1.449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_647s	NA	NA	NA	0.061	0.197	NA	0.54	-0.068	0.043	NA	-0.052	-0.284	NA	0.379	-0.407	0.097	NA	0.887	-0.145	0.106	-0.516	NA	0.628	NA	-0.004	NA	NA	0.238	NA	NA	0.057	NA	-0.111	-0.752	NA	-0.271	0.772	NA	0.247	0.138	-0.13	NA	0.077	NA	0.124	-0.16	1.033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1_652s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.025	-0.226	1.088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
