Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
GIT1_370s	1.325	NA	-0.33	-0.005	NA	0.299	NA	NA	-0.175	NA	NA	NA	NA	NA	NA	-0.232	NA	NA	NA	0.606	NA	NA	NA	0.555	NA	0.05	1.381	1.102	NA	-0.131	NA	NA	-0.343	NA	NA	0.555	NA	NA	NA	-0.127	NA	0.18	-0.667	-0.583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_375s	NA	0.573	NA	NA	NA	NA	0.366	NA	NA	0.182	0.926	0.689	-0.125	NA	NA	NA	-0.45	0.058	NA	NA	NA	0.372	0.041	NA	-0.293	NA	NA	NA	0.737	NA	NA	-0.178	NA	NA	0.346	NA	0.421	0.145	-0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_385s	-0.846	0.497	-0.069	0.155	-0.262	0.564	0.15	0.091	-0.237	0.047	1.188	0.621	0.063	-0.265	-0.244	0.075	-0.111	-0.304	0.985	-0.018	0.242	0.244	0.255	-0.176	-0.168	-0.306	0.161	0.288	1.086	-0.412	-0.543	0.01	-0.189	0.614	-0.25	0.275	-0.007	0.236	-0.469	-0.333	-0.46	-0.114	-0.652	0.005	0.253	0.041	-0.275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_388s	-0.7525	0.616333333	0.131	-0.1005	0.0805	0.4185	0.047333333	-0.047	0.208	-0.048333333	0.932333333	0.48	-0.048	0.146	0.271	0.28	-0.367	-0.108666667	0.5115	0.054	0.4065	0.168666667	-0.004	-0.1935	-0.133	-0.1835	0.1985	0.2805	0.485	-0.315	-0.3825	0.050666667	-0.35	0.5615	-0.157333333	-0.042	0.416	0.186	-0.31	-0.255	-0.3175	-0.1075	-0.3825	0.0535	-0.282	-0.007	0.48	0.132	0.146	0.283	0.361	0.484	0.206	0.381	0.195	0.629	0.29	0.253	0.305	0.099	0.581	0.728	0.29	0.226	0.183	0.67	0.102	0.233	0.25	0.284	0.025	0.18	0.173	0.053	0.011	0.759	0.137	0.227	0.251	0.228	0.074	0.464	0.448	0.421	0.046	0.227	0.11	0.202	0.009	0.381	0.069	0.757	0.068	1.068
GIT1_410s	NA	-0.13	NA	NA	0.363	NA	1.087	-0.127	NA	0.466	1.859	1.383	0.113	0.694	0.127	NA	-0.042	0.315	0.823	NA	0.323	-0.17	0.284	NA	-0.228	NA	NA	NA	0.124	NA	-0.51	0.059	NA	1.144	-0.493	NA	1.096	0.317	0.244	NA	-0.806	NA	NA	NA	-0.148	-0.74	-1.285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_498s	NA	NA	NA	NA	NA	NA	-0.196	NA	NA	NA	-0.605	-0.0575	NA	NA	NA	NA	NA	-0.403	NA	NA	NA	NA	-0.0025	NA	0.884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.422	NA	-0.155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.387	NA	1.032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_571s	0.613	NA	0.189	NA	NA	-0.021	-0.399	NA	NA	NA	0.33	0.542	NA	NA	NA	NA	NA	0.081	NA	NA	NA	NA	-0.193	-0.065	0.468	-0.531	-0.523	NA	NA	-0.191	NA	NA	NA	NA	NA	NA	0.366	NA	-0.477	NA	NA	-0.109	NA	-0.026	0.069	-0.031	1.105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_577s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.252	0.108	-0.357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIT1_592s	-0.66325	0.074666667	-0.6925	0.111	0.047666667	-0.038	-0.081333333	-0.592	-0.292	-0.271333333	0.438	0.192666667	-0.567	-0.572666667	-1.039666667	0.088666667	-0.561666667	-0.747	-0.186666667	0.303	-0.097666667	-0.538333333	-0.234666667	-0.2675	-0.163	-1.09725	-0.0145	0.276	-0.794	-0.684	-0.452333333	-0.318666667	-0.419666667	0.477666667	-0.879333333	-0.207	-0.403	-0.098333333	-0.821	-0.469333333	-1.322666667	-0.36825	-0.924666667	-0.262	-0.34725	-0.5605	-1.60225	0.244	0.69	0.753	0.237	0.216	0.42	0.075	0.151	0.309	0.47	0.286	0.153	0.155	0.411	0.727	0.191	0.297	0.31	0.246	0.179	0.296	0.416	0.218	0.232	0.449	0.589	0.352	0.168	0.321	0.366	0.235	0.309	0.226	0.093	0.365	0.227	0.754	0.085	0.651	0.326	0.334	0.128	0.626	0.146	0.228	0.133	0.536
GIT1_596s	-1	-0.274	-1.417	-0.144	0.111	-0.449	-0.028	-0.607	-0.263	-0.584	0.332	0.098	-0.652	-0.4905	-0.7775	-0.13	-0.774	-1.044	-0.044	0.327666667	-0.152	-0.85	-0.407	-0.469	-0.448	-1.799	-0.417	0.287	-0.965	-1.106	-0.445	-0.466	-0.330333333	0.578	-0.942	-0.174333333	-0.928	-0.176	-1.246	-0.598	-1.181	-0.433	-1.029666667	-0.462	-0.524	-0.565	-1.553	NA	NA	NA	0.249	0.31	NA	NA	0.175	0.359	NA	NA	NA	NA	0.37	0.866	0.193	NA	NA	0.363	0.153	0.277	NA	NA	NA	NA	NA	NA	0.152	NA	NA	0.253	NA	0.311	0.158	NA	0.283	NA	NA	NA	0.119	0.305	NA	0.559	NA	NA	NA	NA
