Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
SPECC1_131s	-0.294	0.407	-0.195	0.27	0.361	-1.905	0.71	0.698	-0.803	-0.004	-0.142	0.175	0.167	-0.001	-0.203	0.743	0.053	0.757	0.313	0.474	-0.768	-0.448	0.457	0.434	0.532	0.542	0.042	-0.924	0.126	0.063	0.629	-0.395	-1.2	-1.271	-0.366	0.379	-0.869	0.691	-0.728	0.586	-0.626	0.109	-0.63	-0.725	-0.073	-0.255	0.646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_134s	0.603	0.735	-0.159	0.094	0.3	-1.862	0.278	0.001	-0.168	-0.356	0.706	-0.049	-0.809	-0.263	0.232	0.106	0.181	-0.358	0.226	0.008	-0.421	-0.114	0.496	0.001	0.128	0.264	0.518	0.512	0.138	-0.997	0.084	-0.187	-1.504	-0.44	0.188	0.384	0.223	0.618	0.581	0.469	0.2	0.471	-0.486	-1.246	0.285	0.786	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_151s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.076	-1.362	-1.279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_312s	0.312	-0.001	-0.758	-0.37	0.085	-1.841	0.691	-0.272	-2.312	-0.613	-0.346	-0.08	-0.618	-0.228	0.256	-0.468	0.072	0.126	0.504	0.797	-1.209	-0.27	0.543	0.506	-0.538	0.664	1.371	0.345	-0.627	-0.669	0.069	-0.539	-2.274	-0.953	-0.119	1.745	0.213	-0.1	0.234	0.392	-1.421	0.16	-0.962	-1.383	-1.363	-2.11	-1.344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_314s	-0.338	0.463	-0.042	0.965	0.341	-1.536	0.797	-0.04	0.344	-0.458	0.146	-0.009	-0.478	-0.336	0.539	0.472	0.143	0.392	-0.153	-0.302	-0.879	-0.016	0.506	0.493	0.12	0.498	0.344	0.433	0.007	-0.669	0.552	0.176	-2.328	-0.475	-0.157	0.487	0.213	0.43	0.194	0.891	-0.62	0.441	-0.424	-1.146	-0.729	-0.414	-1.065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_315s	-0.288	0.36	-0.02	0.268	0.101	-1.691	-0.06	-0.759	0.588	-0.519	-0.492	-0.461	-1.445	-0.738	0.984	-0.01	-0.187	-0.562	-0.214	-0.737	-1.841	-0.654	0.379	0.052	-0.913	0.68	0.975	0.983	-0.238	-1.21	0.457	-0.78	-1.916	-1.424	-0.383	0.7	-1.262	0.22	-0.456	-0.068	-2.038	0.433	-0.147	-1.514	-1.134	-0.546	-0.993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_325s	0.004	0.398	-0.98	NA	NA	-1.834	1.036	NA	NA	-0.176	0.328	0.258	-1.514	NA	NA	NA	0.542	0.559	NA	NA	NA	-0.284	1.29	-0.412	0.108	0.896	0.634	NA	-0.683	-1.036	NA	-0.279	NA	NA	0.417	NA	0.682	1.242	0.548	NA	NA	0.391	NA	-1.427	0.0015	0.0915	0.326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.076	0.087	0.047
SPECC1_361s	-0.188	-0.627	-0.714	-0.198	0.608	-1.735	0.178	-0.4485	-0.528	-0.424	0.2	0.104	-1.114	-0.3235	-0.129	-0.053	0.344	0.556	0.0885	-0.331	-0.628	-0.458	1.049	0.082	0.29	1.093	0.84	-0.685	-0.044	-0.936	-0.632	-0.802	-1.947	-0.288	0.447	0.655	0.256	0.972	0.42	1.151	-0.5275	0.618	-1.421	-1.974	-0.01	-0.047	-0.627	NA	NA	NA	NA	0.044	NA	NA	0.086	NA	NA	NA	NA	NA	0.029	0.105	NA	NA	NA	0.136	NA	0.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.178	NA	NA	0.351	NA	NA	NA	NA	NA	NA	0.298	NA	NA	NA	NA	NA	NA
SPECC1_37s	-0.046	0.589	-0.012	-0.898	0.274	-1.924	0.548	-0.554	-0.123	-0.551	-0.69	0.166	-1.298	-0.649	0.039	0.419	0.431	-0.868	0.437	0.264	-1.444	0.064	0.902	-0.175	0.152	0.953	1.113	-0.187	0.154	-1.05	0.754	-0.26	-1.593	-0.602	-0.531	1.118	-2.171	-0.182	-0.222	0.669	-1.472	1.09	-0.616	-1.026	-0.84	0.099	-0.684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_54s	NA	-0.786	NA	NA	NA	NA	NA	NA	NA	0.556	NA	NA	-1.2	NA	NA	NA	0.238	NA	NA	NA	NA	-0.082	NA	NA	NA	NA	NA	NA	0.909	NA	NA	-0.766	NA	NA	-1.002	NA	NA	-0.018	NA	NA	NA	NA	NA	NA	-0.865	-0.765	-0.878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_55s	-0.79	-0.1282	-0.1834	-0.463	0.632	-1.6516	0.81875	-0.093	-0.87625	-0.0278	-0.57825	0.313	-0.9842	-0.89275	-0.0445	0.37675	0.4244	-0.64325	0.49425	0.41625	-1.176	-0.1318	0.6745	0.4064	0.0355	0.719	0.1712	-0.149	-0.1236	-0.565	0.6955	-0.3316	-1.702	-0.696	-0.666	1.1115	-1.3475	0.44	0.44775	0.26425	-0.8635	0.7038	-0.2045	-0.49	-0.6214	-0.5612	-1.6066	1.359	0.5	0.5	0.356	0.245	0.709	0.883	0.495	0.812	0.526	0.802	0.589	0.142	0.962	0.261	0.153	0.167	0.236	1.811	0.473	0.343	0.197	0.115	0.344	0.428	0.531	1.74	0.685	0.974	1.257	0.125	0.297	0.486	0.731	0.333	0.778	0.766	0.362	0.857	0.653	0.746	0.761	0.299	1.046	0.233	0.358	0.454
SPECC1_810s	0.51	NA	-1.239	0.362	NA	-1.546	0.783	NA	-0.928	NA	0.06	-0.164	NA	NA	NA	0.5	NA	0.216	NA	0.237	NA	NA	0.568	-0.173	0.004	0.832	0.472	-1.156	NA	-0.33	NA	NA	-1.402	NA	NA	1.101	0.609	NA	0.51	0.423	NA	0.507	-0.406	-1.45	-0.421	-0.75	-1.603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPECC1_914s	NA	NA	NA	0.767	NA	NA	NA	NA	-0.559	NA	NA	NA	NA	NA	NA	0.486	NA	NA	NA	0.126	NA	NA	NA	NA	NA	NA	NA	-0.895	NA	NA	NA	NA	-0.969	NA	NA	1.235	NA	NA	NA	0.524	NA	NA	-1.393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
