Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
APOBR_118s	1.0995	0.1365	-0.4685	-0.081	0.404	0.5915	0.9205	-0.234	-0.0455	0.53	-1.192	-0.6095	-1.399	0.3355	0.5525	0.0805	-0.5495	0.005	-0.5485	-0.214	-0.837	-1.183	0.5285	0.7435	-0.26	0.0715	1.0065	-5e-04	0.9695	0.297	0.1665	-0.094	-0.918	-0.024	0.044	1.6095	-0.9835	-1.2615	1.947	0.0855	0.198	1.5465	-0.3465	-0.3365	-0.56	-1.071	-0.9675	0.36	0.015	0.37	0.085	0.141	0.357	0.398	0.19	0.199	0.017	0.854	1.046	1.015	0.182	0.095	0.006	0.292	0.273	0.825	0.479	0.776	0.748	0.064	0.268	0.232	0.021	0.36	0.278	0.086	0.167	1.623	0.126	0.788	0.523	0.068	0.46	1.447	1.371	0.486	0.278	0.28	0.381	0.633	0.467	0.322	0.75	1.33
APOBR_162s	NA	NA	-0.05	NA	NA	0.376	-1.761	NA	NA	NA	NA	-0.985	NA	NA	NA	NA	NA	-0.311	NA	NA	NA	NA	1.248	1.19	0.28	-1.102	-1.008	NA	NA	-1.115	NA	NA	NA	NA	NA	NA	-2.246	NA	-2.337	NA	NA	-1.076	NA	-2.001	1.09	1.767	2.099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_286t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.382	-0.329	0.299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_442s	0.094	NA	-0.466	NA	NA	-0.313	0.446	NA	NA	NA	-0.42	-0.568	NA	NA	NA	NA	NA	0.628	NA	NA	NA	NA	0.263	0.34	-0.01	-0.52	-0.003	NA	NA	-0.441	NA	NA	NA	NA	NA	NA	0.141	NA	0.951	NA	NA	1.041	NA	-0.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_510s	NA	NA	NA	-0.278	NA	NA	NA	NA	0.073	NA	NA	NA	NA	NA	NA	0.205	NA	NA	NA	-0.368	NA	NA	NA	NA	NA	NA	NA	-0.571	NA	NA	NA	NA	-0.193	NA	NA	0.933	NA	NA	NA	0.663	NA	NA	-0.341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_572t	0.436	-0.306	-0.608	-0.0695	0.707	-0.093	1.00375	-0.1065	0.1065	-0.147	-1.646	-0.56475	-1.5425	-0.197	0.1265	-0.227	-0.8135	-0.13775	-0.902	0.1495	-0.655	-1.421	0.39625	0.219	0.1465	-0.361	-0.006	-0.829	0.5245	-1.149	1.8145	-0.644	-1.203	-0.583	-0.6445	1.0735	-1.37	-0.55	1.77675	0.8475	-0.43	0.933	-1.249	-1.507	0.45825	1.0175	0.95725	NA	1.36	NA	0.276	0.208	NA	0.319	0.354	0.834	0.436	0.311	0.573	0.342	0.307	0.004	0.305	0.043	0.097	0.601	0.334	0.031	0.281	0.365	NA	0.285	NA	NA	0.044	0.586	NA	0.477	0.552	0.124	0.134	0.2	0.501	0.438	1.138	0.991	0.387	0.049	NA	0.444	NA	0.425	0.533	0.696
APOBR_574t	NA	NA	NA	NA	NA	NA	1.163	NA	NA	NA	-1.484	-0.487	NA	NA	NA	NA	NA	-0.531	NA	NA	NA	NA	0.713	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.129	NA	1.256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_637t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.406	1.347	2.752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_814s	NA	NA	NA	NA	0.284	NA	NA	-0.392	NA	NA	NA	NA	NA	0.333	0.453	NA	NA	NA	0.667	NA	-0.232	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.294	NA	NA	0.054	NA	NA	NA	NA	NA	NA	0.447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBR_860s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.131	0.431	0.187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
