Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
EPB41_14s	NA	NA	NA	NA	NA	NA	-0.905	NA	NA	NA	-0.196	0.064	NA	NA	NA	NA	NA	0.702	NA	NA	NA	NA	-0.334	NA	-0.295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.423	NA	-0.669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPB41_505s	-2.184	-0.228	-0.253	-0.152	0.028	0.556	-1.429	0.169	-0.777	1.737	-0.368	0.006	0.269	0.397	-0.18	-0.021	-0.375	0.324	-0.33	0.745	0.436	0.625	0.154	-0.468	-0.141	-0.169	-1.846	-0.232	0.552	0.482	0.179	0.965	-0.118	1.027	0.872	-0.928	0.876	0.269	-0.174	-0.025	-0.236	-0.534	-0.516	-1.137	-0.283	-0.529	-0.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPB41_507s	-0.166	-0.4435	0.1345	-0.205	-0.145	0.67	-1.13	0.486	-1.0435	1.6755	-0.074	0.169	0.1305	0.87	-0.2515	-0.0605	-0.347	0.016	-0.189	1.3395	0.209	0.392	0.029	-0.1825	-0.162	0.5185	-0.753	-0.328	0.277	0.6295	-0.039	0.7605	0.206	1.091	1.2465	-0.4285	0.658	0.0085	0.1765	-0.261	-0.514	0.001	-0.426	-0.746	-0.4455	-0.4535	-0.1	2.854	0.305	0.548	0.075	0.245	0.161	0.423	0.448	0.377	0.087	0.416	0.231	0.196	0.669	0.101	0.056	0.04	0.436	0.199	0.841	0.321	0.33	0.177	0.404	0.03	0.972	1.546	0.136	0.389	0.209	0.308	0.289	0.458	0.091	0.53	0.706	0.308	0.368	0.496	0.334	0.393	0.757	0.127	0.553	0.23	0.107	0.46
EPB41_520s	3.562	-0.033	0.171	NA	-0.11	-0.367	-0.392	0.572	NA	0.303	0.42	-0.059	0.039	2.969	-0.273	NA	0.774	0.652	-0.101	NA	0.501	0.529	0.365	-0.349	0.352	0.331	0.848	NA	-0.128	0.919	-0.111	0.956	NA	0.204	2.273	NA	2.638	-0.047	0.289	NA	-0.202	0.405	NA	0.274	0.083	-0.35	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPB41_595s	0.868	0.127	0.567	0.312	0.527	-0.177	0.132	0.062	2.352	0.47	-0.004	0.112	-0.312	0.748	-0.057	0.104	0.209	-0.745	-1.237	1.447	0.363	0.227	-0.021	-0.861	0.742	-0.379	0.54	-0.093	0.2	-0.108	0.548	1.137	0.416	-0.466	0.828	-0.455	-0.166	-0.2545	0.574	0.578	-0.882	-0.127	0.298	-0.143	0.1785	0.4095	-0.925	NA	0.761	NA	NA	NA	NA	NA	NA	NA	0.711	NA	NA	0.198	NA	NA	NA	0.209	NA	NA	NA	NA	0.197	NA	NA	NA	NA	NA	NA	0.025	NA	NA	0.403	NA	NA	0.03	NA	NA	0.575	NA	NA	NA	NA	NA	NA	0.173	0.238	0.877
EPB41_60t	NA	NA	NA	-1.107	NA	NA	NA	NA	0.212	NA	NA	NA	NA	NA	NA	-0.216	NA	NA	NA	1.328	NA	NA	NA	NA	NA	NA	NA	1.684	NA	NA	NA	NA	-0.401	NA	NA	-1.203	NA	NA	NA	-0.547	NA	NA	-0.605	NA	0.4	0.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPB41_620s	1.5	0.0765	0.275	-0.221	0.2465	-0.2185	-0.6105	0.174	-0.079	0.2795	0.3865	-0.3465	0.017	1.0255	-0.641	-0.318	0.2435	0.039	-1.312	0.6475	0.14	-0.221	-0.129	-0.072	0.0955	0.4615	-0.062	-0.5015	0.301	0.7855	0.0615	0.54	-0.064	-0.399	1.198	-1.005	0.997	-0.065	-0.4065	0.443	-0.6715	-0.4595	-0.2015	0.5155	0.901	1.371	2.345	1.222	0.302	0.221	0.296	0.33	1.37	0.787	0.434	0.41	0.278	0.202	0.51	0.914	0.34	0.256	0.46	0.083	0.007	0.083	0.535	0.752	0.222	0.448	0.498	0.904	0.791	0.182	0.38	0.123	0.223	0.087	0.345	0.028	0.313	0.216	0.225	0.291	0.072	0.213	0.014	0.288	0.026	0.415	0.373	NA	NA	NA
EPB41_623s	2.603	0.044	0.519	-0.012	0.013	0.5945	-1.401	-0.133	-0.369	0.521	-0.363333333	-0.489333333	-0.425	0.785	-0.46	-0.643	0.58	0.171333333	-1.371	0.269	0.672	-0.092	-0.111	0.01	-0.262666667	0.4015	0.0155	-0.77	0.325	1.01	0.123	0.4315	-0.084	-0.178	1.5835	-1.164	1.583	-0.0635	-0.276333333	0.433	-0.468	-0.241	0.092	-0.192	-0.786	-0.05	-0.904	0.338	0.256	0.566	NA	NA	0.22	0.203	NA	NA	0.619	1.183	0.199	0.288	NA	NA	NA	0.393	0.26	NA	NA	NA	0.404	0.341	0.382	0.364	0.876	0.073	NA	0.157	0.095	NA	0.192	NA	NA	0.329	NA	0.736	0.07	0.745	NA	NA	0.283	NA	0.628	NA	NA	NA
EPB41_684s	NA	0.875	NA	-0.244	NA	NA	NA	NA	1.772	0.341	NA	NA	0.068	NA	NA	0.125	0.461	NA	NA	1.254	NA	-0.154	NA	NA	NA	NA	NA	-0.687	-0.516	NA	NA	1.774	-0.188	NA	1.517	-1.118	NA	0.167	NA	0.636	NA	NA	-0.673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPB41_92s	-0.582	-0.375	1.534	-1.173	0.458	-0.608	-0.482	-0.394	0.739	0.783	-0.509	0.668	-0.562	0.351	0.563	-0.467	0.711	-0.732	-2.103	1.671	0.03	-0.163	-1.061	0.295	-0.666	0.205	0.761	1.065	-0.593	-0.317	-0.844	0.738	-0.105	-0.709	0.174	-0.956	0.496	-0.564	-1.45	-0.492	-1.199	-1.311	-0.588	0.242	0.157	-0.743	-1.664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
