Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
WDHD1_251s	-0.43425	0.10275	-0.52875	-0.374	-0.053	-0.364	-0.3495	0.2965	0.7035	-0.249	0.3135	0.169	-0.0345	-0.902	-0.7005	-0.6445	0.27075	0.74625	-0.835	-0.297	0.4365	-0.257	0.3115	0.4565	0.33775	0.85125	-0.36375	-0.5015	0.1145	0.40025	-1.2165	-0.062	-0.351	-0.343	0.22675	-1.182	0.8315	0.2065	-1.09575	0.114	-0.332	-0.01025	-0.3755	-0.9545	-0.1	1.121	-0.41	1.996	0.252	0.612	0.076	0.098	0.303	0.709	0.213	0.163	0.361	0.858	0.564	0.244	0.109	0.049	0.168	0.132	0.135	0.054	0.239	0.046	0.152	0.121	0.248	0.455	0.288	2.502	0.098	0.716	0.641	0.508	0.44	0.083	0.32	0.094	0.113	0.525	0.428	0.564	0.042	0.252	0.641	0.223	0.529	NA	NA	NA
WDHD1_260s	-0.2845	0.1975	-0.579666667	-0.144	0.40575	-0.552833333	-0.558	0.52325	0.542333333	-0.298666667	0.435	-0.0105	0.143	-0.272	-0.32775	-0.699666667	0.265666667	0.771666667	-0.65475	-0.170666667	0.34625	0.066166667	0.062	0.233166667	0.331666667	0.7155	-0.366	-0.903	0.179333333	0.240833333	-1.39525	-0.061166667	-0.126	-0.69425	0.178666667	-1.52	0.770666667	0.009166667	-0.516	0.000666667	-0.27075	0.144	-0.042666667	-0.718	-0.184333333	0.532333333	0.129333333	1.566	0.335	0.489	0.402	0.54	0.426	0.637	0.367	0.302	0.296	0.765	0.634	0.352	0.73	0.464	0.152	0.149	0.127	0.457	0.276	0.155	0.528	0.412	0.447	0.37	0.339	1.949	0.699	0.568	0.57	0.423	0.341	0.394	0.446	0.11	0.591	0.421	0.504	1.008	0.199	0.162	0.551	0.598	0.592	0.387	0.708	0.61
WDHD1_271s	1.798	NA	-0.918	0.16	NA	-0.171	NA	NA	-0.375	NA	NA	NA	NA	NA	NA	-0.357	NA	NA	NA	0.56	NA	NA	NA	0.029	NA	0.568	0.858	0.959	NA	-0.026	NA	NA	0.852	NA	NA	-0.926	NA	NA	NA	-0.301	NA	0.54	0.573	-0.649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_284s	0.629666667	0.380666667	-0.387333333	0.216666667	0.417	0.109	-0.911666667	0.079	-0.183333333	0.046	0.589	0.203	0.151333333	0.149	-0.034	-0.088333333	0.036666667	0.638666667	-0.555	-0.117333333	-0.018	0.281666667	-0.359333333	0.036	0.400666667	0.492333333	-0.185	-0.419	0.594333333	-0.088333333	-0.652	0.061333333	0.568	-0.463	0.260666667	-0.351666667	0.83	-0.030666667	0.51	0.315	-0.263	0.156666667	0.539	-0.596666667	0.989666667	1.030333333	1.146333333	0.087	0.14	0.044	0.165	NA	0.123	0.15	NA	0.108	0.187	0.167	0.47	0.163	NA	NA	0.113	0.029	0.221	NA	0.527	NA	0.2	0.125	0.243	0.053	0.19	0.062	0.206	0.116	0.135	NA	0.107	0.212	NA	0.08	0.214	0.069	0.202	0.123	0.179	NA	0.123	0.29	0.153	0.196	0.148	0.244
WDHD1_333s	NA	NA	NA	NA	NA	NA	-1.3645	NA	NA	NA	0.429	0.36	NA	NA	NA	NA	NA	1.002	NA	NA	NA	NA	-0.0615	NA	0.7985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.043	NA	-0.0855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015	NA	NA	NA	0.083	0.078	NA	NA	NA	NA	NA	0.007	NA	NA	NA	NA	0.094	NA	0.176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.204	NA	0.015	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_374s	NA	0.256	NA	-0.476	-0.012	NA	-0.1806	0.586	0.768	-0.042	0.0996	0.2846	-0.346666667	0.031	-0.525	-0.457	0.21	0.8022	-0.052	-0.621	0.565	-0.47	-0.1962	NA	0.8604	NA	NA	-0.546	-0.239333333	NA	-1.405	-0.329333333	-0.291	-0.052	0.481333333	-0.947	0.8662	0.386666667	-0.3794	0.206	-0.145	NA	-0.244	NA	NA	NA	NA	NA	0.538	NA	NA	NA	NA	0.581	NA	NA	0.546	0.916	0.721	0.212	NA	NA	NA	0.233	0.424	NA	NA	NA	0.308	0.376	NA	0.592	NA	NA	NA	0.068	NA	NA	0.238	NA	NA	0.335	NA	1.027	0.037	0.861	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_383s	NA	0.4905	NA	-0.476	-0.012	NA	-0.334	0.586	0.768	-0.3525	-0.97	-0.472	-0.26	0.031	-0.525	-0.457	0.2525	0.527	-0.052	-0.621	0.565	-0.293	-0.266	NA	-0.064	NA	NA	-0.546	-0.215	NA	-1.405	-0.35	-0.291	-0.052	0.3015	-0.947	-0.449	0.4025	-0.981	0.206	-0.145	NA	-0.244	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	0.134	NA	NA	0.211	NA	NA	NA	0.313	NA	NA	NA	NA	0.047	NA	NA	NA	NA	NA	NA	0.075	NA	NA	0.332	NA	NA	0.175	NA	NA	0.035	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_407s	NA	-0.026	NA	0.284	NA	NA	-1.151	NA	-0.013	-0.63	0.969	0.628	-0.313	NA	NA	-0.927	-0.424	0.84	NA	0.28	NA	-0.134	-0.313	NA	0.443	NA	NA	-0.63	0.092	NA	NA	-0.37	0.467	NA	-0.13	-0.781	1.242	-0.145	0.43	0.129	NA	NA	0.167	NA	1.198	0.904	1.503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_767s	1.38	0.515	-0.327	-0.308	0.09	-0.644	-0.731	0.515	-0.323	-1.022	-0.426	-0.07	-0.327	-0.405	-0.74	-0.557	0.348	0.689	-0.321	0.824	0.074	0.06	0.458	-0.039	0.068	-0.6	-0.533	1.262	-0.258	-0.405	-1.288	-0.065	0.422	-1.032	0.014	-1.206	0.056	-0.092	-0.223	0.413	-0.473	0.116	-0.406	-1.174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDHD1_770s	0.306	0.381	-0.577	NA	NA	0.177	-1.374	NA	NA	-0.883	0.208	-0.818	0.046	NA	NA	NA	-0.053	0.825	NA	NA	NA	-0.001	0.127	-0.448	0.082	0.43	-0.174	NA	-0.256	-0.311	NA	-0.784	NA	NA	-0.359	NA	0.656	-0.19	-1.286	NA	NA	-0.13	NA	-0.544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
