Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
UBE4B_101s	-1.368	0.803	0.891	-0.516	0.614	0.197	-0.691	-0.753	1.771	-0.931	-0.549	-0.593	0.436	-0.914	0.34	-0.2325	-0.116	0.191	-1.69	0.527	-0.117	-0.261	-0.159	-0.466	1.024	-0.372	-1.789	-0.99	-1.102	-1.64	0.284	0.727	-0.4365	-0.324	0.797	-0.3355	-1.306	0.498	-0.643	0.1395	0.14	-0.797	-0.312	-1.199	-0.361	-0.6095	-0.2145	NA	NA	NA	0.064	NA	NA	NA	NA	0.105	NA	NA	NA	NA	NA	NA	0.022	NA	NA	NA	0.075	NA	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	NA	0.054	NA	NA	0.062	NA	NA	NA	0.064	NA	NA	0.007	NA	0.106	0.187	0.388
UBE4B_105s	-0.366	-0.428	0.377	0.0855	-0.177	-0.195	0.653	-0.111	0.0065	-0.234	0.717	1.057	-0.13	0.465	-0.138	0.367	-0.667	-0.054	0.118	0.5305	-0.099	-0.176	0.441	0.242	-0.298	-0.247	0.557	0.2845	0.16	0.127	-0.135	-0.494	0.2655	0.082	-0.422	0.275	-0.188	0.741	0.239	-0.448	-0.602	0.101	0.008	0.033	NA	NA	NA	NA	NA	NA	0.052	NA	NA	NA	NA	0.298	NA	NA	NA	NA	NA	NA	0.164	NA	NA	NA	0.407	NA	NA	NA	NA	NA	NA	NA	0.07	NA	NA	NA	NA	0.095	NA	NA	0.069	NA	NA	NA	0.115	NA	NA	0.141	NA	NA	NA	NA
UBE4B_224s	NA	0.503	NA	NA	NA	NA	NA	NA	NA	0.056	NA	NA	0.54	NA	NA	NA	0.452	NA	NA	NA	NA	0.254	NA	NA	NA	NA	NA	NA	0.186	NA	NA	0.005	NA	NA	0.864	NA	NA	0.014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_226t	NA	0.503	NA	NA	NA	NA	NA	NA	NA	0.056	NA	NA	0.54	NA	NA	NA	0.452	NA	NA	NA	NA	0.254	NA	NA	NA	NA	NA	NA	0.186	NA	NA	0.005	NA	NA	0.864	NA	NA	0.014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_228t	NA	0.503	NA	NA	NA	NA	NA	NA	NA	0.056	NA	NA	0.54	NA	NA	NA	0.452	NA	NA	NA	NA	0.254	NA	NA	NA	NA	NA	NA	0.186	NA	NA	0.005	NA	NA	0.864	NA	NA	0.014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_229s	NA	0.503	NA	NA	NA	NA	NA	NA	NA	0.056	NA	NA	0.54	NA	NA	NA	0.452	NA	NA	NA	NA	0.254	NA	NA	NA	NA	NA	NA	0.186	NA	NA	0.005	NA	NA	0.864	NA	NA	0.014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_238s	NA	-0.943	NA	NA	NA	NA	NA	NA	NA	-0.715	NA	NA	0.208	NA	NA	NA	-0.691	NA	NA	NA	NA	0.078	NA	NA	NA	NA	NA	NA	-0.827	NA	NA	-0.717	NA	NA	0.31	NA	NA	0.094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_31s	1.394	NA	0.035	-0.183	-0.281	0.929	NA	-0.086	-0.195	NA	NA	NA	NA	0.716	-0.228	0.044	NA	NA	-0.008	0.318	0.166	NA	NA	0.144	NA	0.734	0.972	1.298	NA	0.267	0.223	NA	-0.101	1.656	NA	-0.085	NA	NA	NA	-0.268	-0.188	0.199	0.042	0.151	0.345	0.329	0.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE4B_78s	-0.38	-0.0185	0.405	0.0965	-0.305	0.427	0.028	0.026	0.296	-0.1145	0.42	0.449	0.115	0.066	0.186	-0.0215	0.1035	0.113	-0.041	0.105	-0.166	0.064	0.298	0.143	0.518	0.065	-0.262	0.1075	0.357	-0.164	-0.513	0.116	-0.108	0.596	0.2815	-0.0575	0.241	0.149	-0.372	-0.285	0.172	0.146	-0.0435	-0.442	-0.361	-0.2735	-0.124	NA	0.098	NA	0.103	NA	NA	NA	NA	0.083	0.244	NA	NA	0.033	NA	NA	0.11	0.103	NA	NA	0.112	NA	0.17	NA	NA	NA	NA	NA	0.176	0.228	NA	NA	0.222	0.093	NA	0.022	0.083	NA	0.154	NA	0.16	NA	NA	0.047	NA	0.154	0.049	0.31
UBE4B_87s	NA	NA	NA	NA	0.52	NA	NA	-0.364	NA	NA	NA	NA	NA	-0.071	-0.202	NA	NA	NA	0.185	NA	0.373	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.145	NA	NA	0.127	NA	NA	NA	NA	NA	NA	-0.298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
