Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
GMIP_19s	-0.873	0.734	-1.121	-0.518	NA	-1.265	0.965	NA	-0.991	0.018	-0.278	-0.383	-1.08	NA	NA	0.038	0.11	0.306	NA	-1.01	NA	-0.836	0.858	-0.86	-0.192	-0.926	-0.666	-1.412	0.74	0.509	NA	-0.714	-0.956	NA	-0.574	1.179	-0.049	1.16	-0.092	1.163	NA	0.335	-1.039	-1.246	-0.011	0.835	2.058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_234s	0.15	0.31	-0.288	0.139	0.199	-0.359	0.64	-0.05	0.301	-0.288	0.586	-0.736	-0.379	0.178	0.206	-0.068	0.219	0.364	0.245	-0.011	-0.311	-0.512	0.559	-0.063	-0.042	-0.2	0.2	-0.712	-0.394	-0.364	0.116	-0.339	-0.243	0.035	-0.06	0.634	-0.796	0.548	0.29	0.842	-0.555	0.57	-0.278	-0.819	0.376	0.633	0.586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_243s	0.875	1.063	-0.719	0.179	0.179	0.233	0.314	-0.387	0.284	-0.322	0.781	-0.397	-0.318	0.184	0.255	0.155	-0.252	0.488	0.118	-0.452	-0.025	-0.506	0.15	0.313	0.317	-0.271	-0.579	-0.214	0.186	0.403	-0.136	-0.009	-0.517	0.064	0.033	-0.517	0.097	0.766	-0.149	-0.16	-0.121	-0.086	-0.158	-0.875	1.823	2.242	2.069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_421s	NA	NA	NA	NA	NA	NA	-0.513	NA	NA	NA	0.44	-0.315	NA	NA	NA	NA	NA	-0.292	NA	NA	NA	NA	-0.068	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.315	NA	-0.614	NA	NA	NA	NA	NA	1.003	1.255	1.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_425s	NA	NA	NA	NA	NA	NA	0.738	NA	NA	NA	1.051	-0.441	NA	NA	NA	NA	NA	-0.015	NA	NA	NA	NA	0.871	NA	0.239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.31	NA	-0.114	NA	NA	NA	NA	NA	0.624	0.786	1.328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_437s	0.136	0.069	-0.449	0.672	0.189	-0.484	0.880666667	0.0225	0.012	-0.3765	0.443333333	-0.52	-0.785	-0.1825	-0.357	0.042	-0.242	-0.367333333	0.542	-0.01	-0.261	-0.846	0.458	0.269	-0.023333333	-0.546	0.238	-0.5445	0.025	-0.102	0.143	-0.581	-0.39	-0.067	-0.6415	0.684	-1.105	0.591	0.484666667	0.5615	-0.5025	0.612	-0.816	-0.772	0.107333333	0.847666667	1.295	NA	0.037	NA	0.389	0.049	NA	0.222	0.233	0.279	0.276	0.462	0.127	0.065	0.117	0.144	0.457	0.071	0.143	0.243	0.396	0.168	0.146	0.118	NA	0.201	NA	NA	0.156	0.154	NA	0.025	0.049	0.167	0.174	0.134	0.426	0.462	0.298	0.111	0.504	0.622	NA	0.051	NA	0.696	0.2	0.465
GMIP_439t	NA	NA	NA	0.436	NA	NA	NA	NA	0.061	NA	NA	NA	NA	NA	NA	0.575	NA	NA	NA	-0.71	NA	NA	NA	NA	NA	NA	NA	-0.563	NA	NA	NA	NA	-0.391	NA	NA	0.787	NA	NA	NA	0.753	NA	NA	-0.737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_440s	-0.442	0.262	-0.294	0.726	0.165	-0.471	0.862	0.041	-0.055	-0.058	0.178	-0.411	-0.075	-0.56	-0.363	0.269	0.547	-0.209	0.469	-0.592	-0.317	-0.846	0.244	-0.052	-0.252	-0.663	0.133	-0.747	0.402	-0.258	0.098	-0.352	-0.248	-0.323	-0.111	0.779	-0.586	0.89	0.267	0.807	-0.629	0.374	-0.774	-0.046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMIP_441s	-0.296	0.1525	0.024	0.491333333	0.021666667	-0.34	0.522333333	0.033666667	0.07	-0.1195	0.196	-0.606666667	-0.453	-0.291333333	-0.175666667	-0.077666667	0.1275	-0.394	0.356666667	-0.234333333	-0.209333333	-0.7945	0.233666667	0.0755	-0.152333333	-0.446	0.3155	-0.540666667	0.268	-0.138	0.093666667	-0.484	-0.012	-0.013666667	-0.4235	0.598666667	-0.541666667	0.846	0.473	0.472	-0.414666667	0.226	-0.335666667	-0.2665	-0.697	0.202	0.6325	0.206	0.155	0.45	0.205	0.239	0.185	0.714	0.157	0.335	0.087	0.277	0.174	0.535	0.24	0.41	0.302	0.593	0.269	0.12	0.449	0.094	0.073	0.095	0.18	0.151	0.307	0.258	0.281	0.19	0.17	0.034	0.187	0.43	0.281	0.442	0.2	1.12	0.062	0.227	0.307	0.307	0.209	0.828	0.312	0.01	0.601	0.274
GMIP_454s	NA	NA	NA	NA	0.43	NA	NA	-0.05	NA	NA	NA	NA	NA	0.469	0.405	NA	NA	NA	0.854	NA	-0.323	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.872	NA	NA	0.115	NA	NA	NA	NA	NA	NA	-0.552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
