Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
NUMA1_1225s	NA	NA	NA	NA	0.429	NA	-0.535	1.118	NA	NA	-0.532	-0.581	NA	1.014	0.146	NA	NA	0.725	-1.342	NA	0.733	NA	-0.74	NA	0.609	NA	NA	NA	NA	NA	-0.129	NA	NA	0.217	NA	NA	0.47	NA	-0.056	NA	2.028	NA	NA	NA	-1.635	-2.288	-2.833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_169s	-0.466	-1.102	-0.195	-0.788	-0.375	0.546	-0.318	-0.273	0.125	0.186	-0.436	0.266	0.61	0.449	-0.106	-0.385	0.087	0.68	-0.622	-0.292	0.18	0.332	-0.383	0.153	0.13	-0.248	0.02	-0.298	-0.062	0.476	-0.087	-0.347	0.096	-0.08	0.424	-0.453	0.578	-0.102	-0.109	0.284	1.108	-0.303	-0.32	0.888	-1.102	-1.586	-0.748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1721s	NA	-2.22	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA	0.032	NA	NA	NA	0.561	NA	NA	NA	NA	0.466	NA	NA	NA	NA	NA	NA	0.505	NA	NA	-1.083	NA	NA	0.724	NA	NA	-0.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1724s	NA	NA	NA	NA	-0.402	NA	NA	0.144	NA	NA	NA	NA	NA	0.152	-0.449	NA	NA	NA	-0.761	NA	-0.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.495	NA	NA	-0.163	NA	NA	NA	NA	NA	NA	1.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1728s	NA	-2.416	NA	NA	NA	NA	-0.608	NA	NA	-0.657	0.639	-0.383	0.353	NA	NA	NA	0.272	0.732	NA	NA	NA	-0.248	-0.19	NA	-0.768	NA	NA	NA	-0.703	NA	NA	-0.945	NA	NA	0.631	NA	0.055	-0.156	-0.703	NA	NA	NA	NA	NA	-0.723	-1.059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1757s	-1.029	0.166	0.735	-0.9115	-0.3585	0.585	-1.512	-0.514	0.8535	-0.573	-1.0095	-0.707	0.072	-0.146	-0.0365	-0.473	0.469	-0.3585	-0.854	-0.228	0.6495	0.1135	-0.614	0.414	0.4525	-0.764	-0.964	-0.793	-0.7205	-0.624	-0.214	-0.021	-0.4115	-0.303	0.971	-0.9715	-1.418	-0.333	-1.3655	0.8555	0.315	-0.764	-0.6265	-0.7345	-0.958	-0.3205	-0.4385	1.814	0.496	1.396	0.357	0.192	0.255	1.315	0.796	1.699	1.09	1.795	0.751	0.339	0.626	0.097	0.182	0.552	0.815	0.767	0.841	0.927	0.65	0.404	0.03	0.718	1.08	1.577	1.256	1.172	1.711	0.256	0.618	0.947	0.854	0.911	0.476	2.294	0.034	1.761	1.169	0.911	1.109	0.924	1.802	0.168	0.299	0.568
NUMA1_1769s	0.575	-1.309	0.527	-1.119	-0.983	0.073	-1.376	0.021	-0.111	-0.912	0.561	0.06	-0.34	0.662	0.395	-0.665	-0.715	0.282	-0.047	0.372	-0.084	-0.5	-0.4	-0.91	-1.704	0.172	0.471	1.832	-0.597	-0.405	-0.474	-1.237	0.412	0.797	-0.111	-0.748	-0.299	-0.999	-1.08	-0.751	1.49	1.064	1.214	0.072	-1.208	0.011	-0.267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1789s	1.91	-0.748	-1.08	-0.941	-0.682	0.7	NA	0.902	-1.098	-0.708	NA	NA	0.161	1.122	-0.378	-0.678	-0.159	NA	0.519	1.256	-0.373	0.366	NA	0.702	NA	0.139	1.494	2.094	0.484	1.256	0.208	0.708	-0.054	0.435	0.47	0.752	NA	-0.579	NA	-0.355	0.882	0.802	-0.038	0.821	-0.738	-1.355	-0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1800s	1.718	NA	-1.22	-1.282	NA	-0.583	NA	NA	-0.578	NA	NA	NA	NA	NA	NA	-1.183	NA	NA	NA	0.908	NA	NA	NA	0.345	NA	-0.914	-0.214	2.029	NA	0.45	NA	NA	-0.047	NA	NA	-0.864	NA	NA	NA	0.626	NA	-0.255	-0.689	-0.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMA1_1830s	-0.591	0.1345	-0.576	-0.758	-0.615	-0.345	-1.486	0.232	0.748	-0.367	-0.657	-1.105	-0.114	-0.475	-0.389	-0.51	0.192	-0.302	-0.342	1.188	0.314	0.255	-0.144	0.675	-0.666	-0.44	0.468	0.454	-0.5475	0.172	-0.623	0.591	0.177	0.354	0.399	-0.301	-0.827	-0.5745	-1.127	0.917	0.044	0.385	-0.799	-0.149	0.1675	0.582	0.489	NA	0.261	NA	NA	NA	NA	NA	NA	NA	0.498	NA	NA	0.407	NA	NA	NA	0.547	NA	NA	NA	NA	0.338	NA	NA	NA	NA	NA	NA	0.078	NA	NA	0.223	NA	NA	0.123	NA	NA	0.381	NA	NA	NA	NA	NA	NA	0.037	0.291	0.475
