Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
LRRFIP1_116s	-1.17	0.623	-1	0	1.275	-1.387	2	0.136	-0.838	-0.428	-1.426	0.624	-0.012	-0.007	-0.102	0.505	-0.544	1.053	-0.022	0.17	-1.383	0.036	0.84	-0.469	0.316	-0.234	0.625	0.623	0.424	-0.659	-0.299	-0.096	-0.917	-1.497	-0.17	1.189	-0.745	1.159	0.1	-0.906	-0.086	0.302	-1.231	0.189	-0.908	-1.189	0.691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_120s	-0.246	0.414	-0.181	-0.142	0.311	-0.257	0.594	-0.366	0.088	0.042	0.232	0.108	-0.297	-0.247	-0.337	0.177	-0.283	0.474	0.506	-0.162	-0.125	-0.322	0.344	0.244	0.136	0.03	0.343	-0.178	0.43	-0.066	-0.086	0.083	-0.285	0.236	0.082	0.564	-0.326	0.505	0.424	0.377	-0.362	0.448	-0.321	-0.437	0.32	0.859	0.582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_123t	NA	0.524	NA	-0.326	0.516	NA	0.693	-0.346	-0.231	-0.076	0.044	0.076	-0.388	-0.101	-0.648	0.221	-0.148	0.308	0.083	0.148	-0.249	-0.328	0.52	NA	0.034	NA	NA	-0.413	0.332	NA	0.111	0.055	-0.47	0.056	-0.015	0.341	-0.225	0.607	0.203	0.587	-0.293	NA	0.052	NA	0.423	1.481	1.347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_244s	NA	0.085	NA	NA	0.182	NA	NA	-0.453	NA	-0.33	NA	NA	-0.959	-0.771	0.101	NA	0.175	NA	0.405	NA	-1.517	-0.69	NA	NA	NA	NA	NA	NA	0.202	NA	0.692	-0.274	NA	-1.267	0.099	NA	NA	-0.375	NA	NA	-0.801	NA	NA	NA	-0.14	0.518	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_271t	NA	NA	NA	NA	0.176	NA	-0.695	-0.526	NA	NA	1.496	-0.394	NA	0.215	-0.892	NA	NA	0.529	0.201	NA	0.639	NA	-0.415	NA	0.549	NA	NA	NA	NA	NA	0.062	NA	NA	0.914	NA	NA	-0.965	NA	0.375	NA	-0.691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_443s	NA	NA	NA	-0.654	NA	NA	0.659	NA	-0.331	NA	-0.973	-0.234	NA	NA	NA	-0.307	NA	-0.647	NA	0.072	NA	NA	0.702	NA	-1.115	NA	NA	0.971	NA	NA	NA	NA	-0.414	NA	NA	1.297	-1.536	NA	-0.368	0.383	NA	NA	-0.3	NA	0.229	0.687	0.082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.033	0.168	0.301
LRRFIP1_497s	-0.189333333	-1.0935	-0.628333333	-0.502	0.202	-1.065666667	0.26875	-0.914	-0.43275	-0.314	-0.1865	0.02075	-1.433	-0.647	-0.434	-0.18275	-0.2725	-0.3255	0.744	-0.3655	-1.321	-0.7245	0.344	-0.036333333	-0.45125	-0.088666667	0.376	1.31625	-0.366	-1.120666667	-0.662	-0.746	-0.25775	-0.369	-0.455	0.30025	-0.919	0.638	0.066	0.3745	-0.985	0.410333333	-0.71875	-0.669333333	0.580666667	1.117833333	-0.4098	0.456	0.009	0.381	0.129	NA	0.126	0.095	NA	0.201	0.045	0.231	0.481	0.161	NA	NA	0.144	0.029	0.281	NA	0.502	NA	0.029	0.127	0.482	0.346	0.711	0.14	0.27	0.153	0.383	NA	0.076	0.224	NA	0.03	0.334	0.303	0.021	0.604	0.327	NA	0.156	0.189	0.079	0.523	0.375	1.026
LRRFIP1_531s	0.219	-0.3465	-0.9295	-0.2375	-0.047	-0.899	1.136	-0.5015	-0.59	-0.1175	0.5145	-0.3515	-0.6085	-0.668	-0.3025	0.053	-0.004	-0.6055	1.2025	0.0775	-1.053	-0.637	0.516	0.178	-0.8305	-0.351	2.4575	0.681	0.163	-0.626	-0.4835	0.138	-0.146	0.0795	-0.8465	1.562	-1.0775	0.3415	0.638	0.0315	-0.7905	0.7595	-0.5495	-0.7005	0.4345	0.9265	-0.845	0.137	0.6	0.384	0.173	0.252	0.088	0.621	0.622	0.668	0.657	0.855	1.057	0.357	0.966	0.069	0.242	0.021	0.281	1.767	0.285	0.505	0.445	0.089	0.888	0.04	0.498	0.151	0.424	1.058	0.901	0.723	0.354	0.324	0.255	0.05	0.397	1.241	0.375	0.928	0.387	0.746	0.704	0.276	1.384	0.032	0.226	1.093
LRRFIP1_541s	0.382	-0.551	-0.624	-0.793	0.037	-1.186	0.875	-0.097	-0.59	-0.744	-0.164	-0.37	-1.493	-0.511	0.14	-0.093	-0.216	-0.932	0.566	0.519	-0.282	-0.42	0.411	0.493	-0.823	-0.653	1.356	1.467	0.132	-0.388	0.208	-0.642	-0.719	-0.609	-0.909	1.961	-0.41	0.185	-0.181	0.397	-1.014	0.924	-0.754	-0.983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRFIP1_582s	NA	-0.067	NA	NA	NA	NA	NA	NA	NA	-0.458	NA	NA	-0.089	NA	NA	NA	-0.267	NA	NA	NA	NA	0.084	NA	NA	NA	NA	NA	NA	-0.046	NA	NA	-1.019	NA	NA	-0.42	NA	NA	0.654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
