Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PHF20L1_356s	0.65	NA	-0.243	NA	NA	0.515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127	NA	0.435	0.099	NA	NA	0.214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.423	NA	1.12	-0.345	-0.843	-1.331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_394t	NA	NA	NA	NA	-0.257	NA	NA	0.095	NA	NA	NA	NA	NA	0.358	-0.095	NA	NA	NA	0.215	NA	0.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.193	NA	NA	-0.606	NA	NA	NA	NA	NA	NA	0.587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_395s	-1.07	NA	-1.117	NA	-0.22	-0.634	NA	0.117	NA	NA	NA	NA	NA	0.107	-0.008	NA	NA	NA	0.219	NA	0.072	NA	NA	-0.448	NA	0.778	0.208	NA	NA	-0.367	-0.116	NA	NA	-0.884	NA	NA	NA	NA	NA	NA	0.573	0.441	NA	0.275	0.094	-0.015	-0.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_432s	NA	-0.01	NA	0.512	-0.415	NA	NA	-0.052	0.187	-0.372	NA	NA	0.359	-0.595	-0.399	-0.101	0.462	NA	0.397	-0.123	-0.069	-0.28	NA	NA	NA	NA	NA	-0.214	-0.242	NA	0.271	0.266	0.124	-0.495	0.154	-0.012	NA	-0.335	NA	0.558	0.648	NA	-0.201	NA	0.064	0.021	-0.497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_433s	-1.414	0.1965	-0.878	0.455	-0.314	-0.888	-0.201	-0.06	0.5855	-0.318	-2.876	-0.417	-0.181	-0.529	-0.199	0.0425	0.056	-0.382	0.631	0.1175	-0.022	-0.359	-0.241	-0.319	-0.246	-0.183	0.134	0.169	-0.64	-0.394	0.584	-0.271	0.4165	-1.001	0.138	0.1155	-0.194	-0.3925	0.216	0.684	0.627	-0.159	0.1475	0.45	-0.053	0.016	-0.311	NA	0.108	NA	0.245	NA	NA	NA	NA	0.68	0.167	NA	NA	0.286	NA	NA	0.124	0.43	NA	NA	0.766	NA	0.001	NA	NA	NA	NA	NA	0.451	0.085	NA	NA	0.134	0.275	NA	0.074	0.004	NA	0.217	NA	0.173	NA	NA	0.035	NA	NA	NA	NA
PHF20L1_435s	-1.34	-0.1105	-0.803	0.5715	-0.403	-1.181	0.012	0.158	0.7985	-0.2645	-1.512	-0.262	-0.2135	-0.473	0.443	-0.129	-0.011	0.007	-0.062	0.4465	-0.331	-0.22	0.333	-1.048	0.556	-0.014	0.093	0.208	-0.442	-0.564	0.475	-0.293	0.378	-1.004	0.0565	0.131	-0.3	-0.3845	0.762	0.3995	0.652	0.435	0.48	0.516	-0.342	-0.864	-1.007	NA	0.542	NA	0.08	NA	NA	NA	NA	0.378	0.243	NA	NA	0.24	NA	NA	0.119	0.335	NA	NA	0.301	NA	0.198	NA	NA	NA	NA	NA	0.396	0.365	NA	NA	0.103	0.33	NA	0.042	0.025	NA	0.206	NA	0.575	NA	NA	0.505	NA	NA	NA	NA
PHF20L1_584s	NA	NA	NA	NA	0.038	NA	NA	0.053	NA	NA	NA	NA	NA	-0.289	-0.116	NA	NA	NA	-0.159	NA	0.294	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.489	NA	NA	0.032	NA	NA	NA	NA	NA	NA	0.033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_599s	-1.163	-1.126	-1.617	0.314	-0.155	0.269	-0.293	-0.165	0.423	-0.463	-0.765	-0.143	-0.126	-0.015	-0.541	0.239	0.042	0.417	0.226	-0.287	-0.217	0.284	0.035	-0.059	0.214	-0.034	-1.156	-0.801	-0.358	-0.107	0.028	-0.807	0.635	-0.473	0.278	0.086	-0.001	-0.21	-0.145	0.367	0.664	-0.183	-0.063	0.314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_604s	-0.605	-0.459	-0.454	-0.123	-0.426	-0.581	0.44	0.353	0.265	-1.523	-1.01	-0.606	-0.66	-0.874	-0.598	-0.013	0.554	0.134	-0.023	0.984	-0.369	-0.154	0.785	0.199	-0.293	-0.497	-0.33	0.508	-0.54	0.165	-0.012	0.31	-0.202	-0.301	0.125	0.741	-0.778	-0.229	-0.794	0.488	-0.14	0.297	-0.49	-0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF20L1_607s	-0.178	0.859	-0.698	0.216	NA	0.01	-0.463	NA	0.787	-0.838	-1.302	-1.129	-0.149	NA	NA	-0.458	0.349	-0.325	NA	0.571	NA	-0.284	-0.317	0.649	-0.455	-0.312	0.521	0.838	-0.164	0.172	NA	0.686	-0.1	NA	0.037	1.055	-0.747	-0.551	-1.063	0.41	NA	0.58	0.314	-0.778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
