Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
TPR_1185s	1.342	-0.142	-0.87	-0.579	-0.326	0.313	-0.527	0.016	-0.512	0.387	0.894	-0.281	-0.792	0.829	-0.977	-0.623	0.268	1.363	-0.393	-0.23	0.665	0.174	-0.399	0.19	0.156	1.32	0.052	-0.069	-0.172	0.031	-0.756	-1.032	0.318	-0.104	0.807	-1.056	0.01	-0.112	0.579	0.142	0.323	0.597	0.145	-1.551	-0.056	-0.114	-1.037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_1677t	NA	0.233	NA	0.27	NA	NA	NA	NA	0.566	0.697	NA	NA	-0.588	NA	NA	-0.865	0.859	NA	NA	-0.606	NA	-0.076	NA	NA	NA	NA	NA	0.936	0.144	NA	NA	0.059	0.829	NA	0.286	-1.458	NA	-0.905	NA	-0.693	NA	NA	0.915	NA	1.4075	0.5485	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.095	0.17	0.051
TPR_2034s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.108	-0.347	-0.438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_2037s	0.246	0.518	-0.204	0.038	-0.4285	1.098	-0.596	0.048	0.137	0.424	0.118	-0.519	0.509	-0.14	0.104	0.102	-0.096	-0.549	0.142	-0.319	-0.021	0.044	-0.654	0.245	-0.692	-0.19	0.234	0.324	0.038	0.23	0.0795	0.405	0.06	0.294	-0.022	0.033	-0.951	0.172	-1.371	-0.092	-0.0265	0.071	-0.237	-0.074	-0.67	-0.07	0.433	NA	NA	NA	NA	0.179	NA	NA	0.334	NA	NA	NA	NA	NA	0.202	0.092	NA	NA	NA	0.171	NA	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135	NA	NA	0.426	NA	NA	NA	NA	NA	NA	0.009	NA	NA	NA	NA	NA	NA
TPR_2048s	NA	-0.035	NA	0.466	-0.357	NA	NA	-0.231	-0.638	-0.041	NA	NA	-0.13	-0.103	0.143	-0.278	-0.181	NA	-0.493	-0.657	0.195	-0.268	NA	NA	NA	NA	NA	-0.101	0.914	NA	0.855	-0.045	0.363	0.265	-0.133	1.909	NA	0.386	NA	0.802	0.005	NA	0.678	NA	0.578	0.723	1.277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_2061s	0.604	NA	0.24	-0.163	NA	-0.665	NA	NA	0.18	NA	NA	NA	NA	NA	NA	-0.303	NA	NA	NA	-0.304	NA	NA	NA	1.514	NA	-0.116	0.514	0.589	NA	0.025	NA	NA	0.027	NA	NA	0.045	NA	NA	NA	0.461	NA	-0.025	-0.1	0.264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_2155s	-0.336	0.891	-0.427	-0.136	0.436	-0.447	0.076	-0.221	-0.522	-0.065	0.897	0.078	-0.04	-0.868	-0.377	1.086	-0.118	0.287	0.227	-0.447	-0.913	0.11	0.483	0.315	0.415	0.211	-0.208	0.875	0.39	0.472	-0.441	-0.266	0.363	-0.076	-0.515	-0.06	-0.68	0.523	-0.288	-0.06	-0.118	-0.742	-0.441	0.265	2.002	2.035	2.369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_379s	1.273	-0.997	0.223	-0.015	-0.305	5e-04	-0.5665	0.275	-0.0575	0.2525	-0.142	-0.4555	0.0575	0.9035	0.027	-0.276	0.2925	0.182	-1.002	0.063	-0.094	0.322	-0.926	0.4975	0.2485	0.554	-0.103	0.552	-0.058	0.207	0.2595	-0.024	0.336	-0.101	0.9295	-0.5485	0.6635	-0.5465	0.3185	-0.2905	1.0145	-0.0675	0.3865	0.0295	-1.3125	-1.6635	-0.93	0.095	0.071	0.397	0.126	0.19	0.136	0.443	0.426	0.057	0.094	0.682	0.974	0.179	0.373	0.156	0.18	0.105	0.042	0.3	0.496	0.202	0.344	0.171	0.177	0.404	0.604	0.222	0.263	0.404	0.055	0.23	0.013	0.355	0.028	0.332	0.293	0.052	0.568	0.284	0.207	0.312	0.18	0.231	0.425	0.078	0.581	0.191
TPR_523s	-0.164	NA	-0.029	NA	NA	-0.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.184	NA	0.29	0.695	NA	NA	0.114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.254	NA	0.338	-1.235	-0.473	0.325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPR_62s	-0.24	0.211	0.371	0.286	-0.291	1.201	-0.44	0.612	0.842	0.659	NA	-1.133	0.202	1.084	0.161	-0.361	0.429	1.073	-0.32	NA	0.711	0.346	-1.252	0.148	0.386	0.344	0.379	-0.917	0.035	0.231	NA	-0.008	1.251	NA	0.835	0.369	-0.032	-0.437	NA	NA	0.652	0.648	0.081	-0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
