Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
SPEN_1006s	-0.963	NA	-0.067	0.591	0.148	-1.279	0.0745	0.9	0.165	NA	-1.487	0.293	NA	-0.078	0.214	-0.258	NA	-0.3275	-0.612	-0.364	-0.553	NA	-0.042	-0.279	0.1545	-0.3	0.208	-0.109	NA	-0.376	0.306	NA	0.734	-0.433	NA	0.267	0.547	NA	0.219	0.143	1.092	-0.794	0.555	0.856	-0.318	-0.299	-0.754	NA	NA	NA	NA	NA	NA	0.063	NA	NA	NA	0.011	0.091	NA	NA	NA	NA	NA	0.394	NA	NA	NA	NA	0.042	NA	0.354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.209	NA	0.051	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1062s	-0.997	-0.156	-0.784	0.1	-0.416	0.187	-0.056	-0.053	-0.215	0.165	-0.206	0.194	0.3	0.236	-0.345	0.123	-0.278	-0.689	-0.043	-0.528	0.004	0.37	-0.59	-0.251	-0.144	-0.436	0.278	-0.159	-0.18	-0.06	0.04	0.075	0.248	-0.212	-0.426	-0.061	0.483	-0.351	-0.056	-0.336	0.608	-0.514	-0.042	1.058	-0.1815	-0.196	-1.3295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.627	0.601	0.514
SPEN_1140t	-2.478	NA	-0.387	NA	NA	0.467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027	NA	-0.857	-1.926	NA	NA	0.185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.102	NA	0.694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1222s	0.158	-0.409	-0.391	0.325	NA	0.684	-0.358	NA	0.069	-0.091	0.312	0.314	0.335	NA	NA	-0.451	-0.416	0.192	NA	-0.856	NA	0.501	-0.076	0.11	0.414	0.329	0.077	-0.397	0.154	0.481	NA	0.019	0.62	NA	0.493	-0.441	0.845	-0.511	0.511	0.49	NA	0.277	-0.123	0.401	0.402	0.369	-0.179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1252s	-0.8955	0.215	-0.3885	0.0765	0.005	0.5405	-0.23	0.213	0.065	0.489	0.116	-0.157	0.495	-0.776	-0.217	-0.089	0.287	-0.651	-0.206	-0.323	-0.018	0.826	-0.452	-0.1845	0.103	-0.1055	-0.514	-0.065	0.05	-0.1165	0.197	0.198	0.0495	-0.513	0.048	0.0215	0.346	0.008	-0.135	-0.1505	0.599	0.096	0.0705	0.406	-0.57	-0.807	-0.031	0.538	NA	0.125	0.08	NA	0.062	NA	NA	0.318	NA	NA	NA	NA	NA	NA	0.307	NA	NA	NA	0.443	NA	NA	NA	0.001	NA	0.1	0.023	0.624	NA	0.206	NA	NA	0.029	NA	NA	0.407	NA	NA	NA	0.203	NA	0.071	0.292	0.46	NA	NA	NA
SPEN_1255s	-0.515	NA	-0.3	0.133	NA	0.584	NA	NA	0.29	NA	NA	NA	NA	NA	NA	-0.306	NA	NA	NA	-0.01	NA	NA	NA	-0.184	NA	-0.176	-0.498	0.376	NA	-0.262	NA	NA	0.029	NA	NA	0.309	NA	NA	NA	-0.007	NA	0.146	0.277	0.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1261s	-0.494	0.593	-0.303	-0.029	0.262	0.477	-0.313	0.009	-0.482	0.288	-0.028	-0.196	0.599	-0.113	-0.412	0.144	-0.14	-0.576	-0.001	-1.023	0.009	1.692	-0.487	0.05	0.116	-0.067	0.153	-0.901	0.09	0.292	-0.018	0.102	0.247	-0.527	-0.01	-0.364	0.448	-0.518	0.43	-0.109	0.555	-0.373	-0.195	0.84	-0.671	-1.326	-1.035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1268s	0.242	-0.351	-0.076	0.21	0.096	0.337	0.176	-0.09	0.419	0.273	0.464	0.086	-0.097	-0.007	-0.039	-0.369	-0.255	-0.17	-0.13	0.097	0.003	-0.236	-0.028	-0.135	0.27	0.296	-0.108	0.239	-0.364	-0.395	0.302	-0.065	-0.254	0.07	-0.698	-0.31	0.467	-0.764	-0.176	-0.315	0.615	0.374	0.128	0.427	-0.675	-0.681	-1.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1278s	-0.756	-0.047	0.083	-0.42	-0.109	0.293	-0.137	0.27	-0.04	-0.053	0.074	0.117	0.687	-0.127	-0.301	0.08	-0.061	0.08	-0.008	0.107	0.238	0.142	-0.636	0.233	0.196	-1.156	0.138	-0.596	-0.37	0.292	-0.223	0.328	0.354	0.008	0.066	-0.091	0.356	-0.09	0.276	-0.072	-0.171	-0.214	0.228	0.619	0.177	0.149	-0.514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN_1369s	NA	-0.208	NA	NA	NA	NA	NA	NA	NA	-1.198	NA	NA	-0.559	NA	NA	NA	0.518	NA	NA	NA	NA	-0.46	NA	NA	NA	NA	NA	NA	-1.552	NA	NA	-0.683	NA	NA	-0.194	NA	NA	-0.118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
