Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PTPN12_342s	-0.737	-0.373	-0.67	0.38	-0.31	-0.477	0.14	-0.006	-0.679	0.098	-0.322	-0.298	-0.367	0.083	-0.177	0.357	-0.078	0.196	-0.654	-0.569	-0.225	-0.729	0.506	-0.67	-0.222	-0.342	-1.471	-0.317	0.752	1.143	0.195	-0.625	-0.808	-0.009	-0.378	0.926	-0.633	0.59	-0.096	0.517	-0.987	-0.013	-0.654	-1.021	1.342	1.835	0.237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_412s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.672	2.097	1.077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_449s	0.166	1.118	-0.724	0.839	-0.212	0.249	0.343	-0.894	-0.031	-0.409	-0.28	-0.803	-1.067	-0.032	-0.595	0.375	-0.552	-0.576	0.762	-0.424	0.272	-1.52	0.985	-0.693	-0.562	-0.234	-0.588	0.167	-0.298	-0.158	0.043	-0.718	-1.016	0.089	-0.639	1.04	-1.343	0.485	-0.451	0.817	-1.303	-0.208	-0.738	-1.304	0.935	2.216	2.399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_468s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.611	2.839	1.874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_509t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.525	0.274	0.477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_588s	NA	-0.901	NA	NA	NA	NA	NA	NA	NA	0.547	NA	NA	-0.071	NA	NA	NA	-0.002	NA	NA	NA	NA	-1.258	NA	NA	NA	NA	NA	NA	0.532	NA	NA	-0.899	NA	NA	-0.178	NA	NA	1.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_603s	-1.198	-0.218	-0.606	0.902	0.238	-0.676	1.165	-0.182	0.131	0.105	-1.252	-0.344	-0.105	-0.67	-0.06	0.423	0.309	-0.446	-0.396	-0.112	0.136	-0.625	0.765	-0.653	-0.034	0.264	-0.525	-0.899	0.08	-0.172	0.209	-0.52	-1.104	-0.308	-0.434	1.62	-0.917	1.128	1.078	0.909	-0.988	0.263	-0.541	-0.186	0.468	0.538	0.317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_606s	-1.198	0.2875	-0.606	0.902	0.238	-0.676	0.746	-0.182	0.131	0.2345	-0.523	-0.4325	0.277	-0.67	-0.06	0.423	0.2465	-0.372	-0.396	-0.112	0.136	-0.507	0.36	-0.653	-0.1965	0.264	-0.525	-0.899	0.238	-0.172	0.209	-0.297	-1.104	-0.308	-0.2275	1.62	-0.3455	0.945	0.922	0.909	-0.988	0.263	-0.541	-0.186	0.468	0.538	0.317	NA	0.715	NA	NA	NA	NA	0.593	NA	NA	0.183	1.031	0.125	0.54	NA	NA	NA	0.088	0.105	NA	NA	NA	0.167	0.573	NA	0.23	NA	NA	NA	0.223	NA	NA	0.315	NA	NA	0.292	NA	0.808	0.259	0.221	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_636s	NA	NA	NA	NA	NA	NA	0.739	NA	NA	NA	-0.753	-0.544	NA	NA	NA	NA	NA	0.294	NA	NA	NA	NA	0.013	NA	-0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.578	NA	0.848	NA	NA	NA	NA	NA	-1.011	-0.566	-0.183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPN12_673s	0.046	0.639	-0.522	0.916	0.378	-0.069	0.641	-0.088	-0.59	0.426	-0.43	-0.077	0.102	-0.015	0.021	0.353	-0.104	-0.193	0.32	0.661	-0.1	-0.195	0.402	-0.506	-0.33	-0.181	0.251	-0.413	0.842	0.373	0.194	0.187	-0.284	0.265	-0.049	1.129	-0.273	0.567	0.645	0.28	0.053	0.534	0.059	-0.072	0.761	0.975	1.179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
