Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RAI1_1064s	0.936	-0.125	-0.744	-1.296	-0.451	0.862	-0.827	-0.076	0.718	0.519	-1.166	0.32	-0.272	-0.285	-0.604	-0.838	-0.143	-1.831	-0.319	0.234	-0.339	0.13	-0.646	0.596	-0.248	-0.349	1.038	0.959	0.164	0.528	0.27	0.743	-0.233	0.735	0.467	-0.877	0.615	-0.99	-2.046	-0.883	0.139	0.104	-0.001	-0.832	-0.527	-0.52	-0.066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1068t	0.706	0.272	-0.566	NA	NA	0.325	NA	NA	NA	0.568	NA	NA	0.245	NA	NA	NA	0.561	NA	NA	NA	NA	0.734	NA	0.67	NA	-0.02	1.226	NA	0.801	1.125	NA	1.74	NA	NA	0.312	NA	NA	-0.802	NA	NA	NA	0.243	NA	0.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1133s	0.246	0.0555	1.035	-0.479	NA	-0.718	-1.476	NA	1.75	-0.1375	-1.616	-0.458	-0.0615	NA	NA	0.207	0.5135	-1.13	NA	0.566	NA	0.807	-0.674	-0.302	0.669	-0.331	0.542	0.199	0.398	-1.231	NA	0.821	0.19	NA	1.201	-0.9	-0.691	0.044	-1.973	0.585	NA	-0.791	-0.035	-1.515	-0.001	-0.395	-2.057	NA	0.337	NA	NA	NA	NA	NA	NA	NA	0.644	NA	NA	0.128	NA	NA	NA	0.234	NA	NA	NA	NA	0.677	NA	NA	NA	NA	NA	NA	0.331	NA	NA	0.305	NA	NA	0.085	NA	NA	0.481	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1135s	NA	NA	NA	0.194	NA	NA	NA	NA	0.39	NA	NA	NA	NA	NA	NA	0.174	NA	NA	NA	0.232	NA	NA	NA	NA	NA	NA	NA	0.581	NA	NA	NA	NA	0.831	NA	NA	-0.262	NA	NA	NA	0.031	NA	NA	0.672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1136t	0.376	-0.784	-0.317	-0.552	0.206	-0.082	-1.456	0.611	0.465	0.529	-1.175	0.473	-0.198	-0.139	-0.263	-0.471	0.327	-0.264	0.736	-0.086	-0.018	0.573	-1.034	0.918	0.168	0.251	0.288	0.123	0.573	0.277	0.027	0.083	0.138	0.302	0.689	-1.571	0.823	-0.997	-0.148	-0.47	0.726	0.285	0.353	-0.265	-0.168	-0.053	-0.942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1266s	0.406	-0.843	-0.305	-0.974	-0.182	0.886	-0.933	0.212	-0.748	0.524	-1.258	0.393	-0.057	-0.282	-0.331	0.457	0.225	-0.803	0.578	0.15	0.414	1.296	-0.305	1.123	-0.304	-0.09	1.086	0.317	0.294	0.651	-0.167	0.817	0.735	0.452	0.154	-1.022	0.774	-0.668	-0.609	-0.213	0.613	0.167	0.063	0.928	-0.326	-0.419	-0.544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1358s	0.579	-0.109	-0.047	-1.808	-0.409	1.338	-1.295	0.036	0.572	-0.662	-0.713	-0.234	-0.155	0.168	-0.917	-0.005	0.104	-0.613	0.084	0.588	0.513	0.48	-0.344	1.052	-0.476	-0.583	0.226	0.531	-0.424	0.42	-0.371	0.868	0.248	0.374	0.809	-1.409	0.311	-0.6	-1.374	0.398	0.874	0.117	-0.842	-0.394	0.1015	0.0825	-0.062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012	0.006	0.041
RAI1_1374s	0.346	0.01	0.187	-1.169	-0.251	1.039	-1.363	0.233	0.592	0.324	-1.272	0.276	-0.06	0.201	-0.412	0.189	0.16	-0.398	-0.068	0.102	0.513	1.16	-0.606	0.753	0.107	0.207	0.359	-0.077	0.23	0.477	-0.565	0.753	0.462	0.013	0.603	-1.459	0.41	-0.154	-1.356	-0.108	0.736	0.096	-0.034	0.008	-0.504	-0.162	-0.602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1492s	-0.176	-0.342	0.708	0.19	NA	0.035	-1.334	NA	0.873	0.12	-0.943	0.009	-0.572	NA	NA	0.763	0.004	-0.682	NA	1.255	NA	0.881	-0.289	0.526	0.645	0.076	0.017	0.981	0.274	0.004	NA	0.13	1.257	NA	0.424	0.551	0.474	-0.317	-0.996	0.189	NA	-0.285	0.426	-0.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAI1_1551s	0.698	NA	0.037	-0.223	-0.078	0.959	-2.649	0.162	0.603	NA	-1.096	-1.956	NA	0.877	-0.546	-0.318	NA	0.028	-1.11	-0.704	0.315	NA	-1.374	0.939	-0.576	0.488	0.374	-0.088	NA	0.184	-1.586	NA	0.403	-0.05	NA	-0.415	-1.665	NA	0.031	0.409	0.77	0.481	0.312	-0.871	-1.796	-2.519	-2.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
