Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
CTR9_1037s	-0.623	NA	0.071	0.111	NA	-0.441	0.105	NA	0.1	NA	0.644	0.468	NA	NA	NA	-0.203	NA	-0.408	NA	-0.213	NA	NA	-0.266	-0.015	0.123	0.273	0.254	0.152	NA	-0.124	NA	NA	0.364	NA	NA	0.189	0.007	NA	0.205	-0.236	NA	0.243	0.529	0.763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1039s	-0.9275	-0.749	-0.027	0.1115	NA	-0.557	0.0695	NA	0.04	0.436	0.228	0.555	0.394	NA	NA	-0.053	0.324	-0.325	NA	-0.5395	NA	-0.228	-0.044	0.01	-0.0935	0.072	0.0675	0.1955	-0.052	-0.2355	NA	-0.452	0.397	NA	-0.396	0.269	0.141	0.306	0.128	-0.171	NA	-0.0675	0.346	0.675	NA	NA	NA	0.431	NA	0.139	0.001	NA	0.164	0.05	NA	0.085	NA	0.588	0.123	NA	NA	NA	0.212	NA	0.117	NA	0.462	NA	NA	0.314	0.035	0.306	0.284	0.264	0.062	NA	0.158	NA	NA	0.047	NA	NA	0.113	0.19	NA	0.109	0.092	NA	0.439	0.259	0.124	NA	NA	NA
CTR9_1041s	-1.828666667	-0.585	0.273333333	0.3925	-0.218	-0.897	-0.121	-0.737	0.0565	0.353	-0.302	0.661	0.2875	-1	0.018	0.191	0.271	-0.35	0.961	-0.736	0.543	-0.2535	-0.034	-0.115333333	-0.1715	-0.556	-0.982666667	-0.027	-0.045	-1.091666667	0.189	-0.459	0.3975	-0.524	-0.403	0.3165	0.234	0.332	0.14	0.038	-0.785	-1.127	0.178	-0.038666667	-0.923	-1.811	-1.928	0.923	0.232	0.49	0.397	NA	0.296	0.219	NA	0.108	0.117	0.161	0.027	0.151	NA	NA	0.133	0.075	0.153	NA	0.184	NA	0.036	0.3	0.307	0.196	0.657	1.496	0.376	0.01	0.884	NA	0.01	0.046	NA	0.01	0.046	0.058	0.037	0.126	0.204	NA	0.848	0.021	1.048	NA	NA	NA
CTR9_1043s	-1.52725	-0.585	0.22275	0.298666667	-0.218	-0.783	-0.045666667	-0.737	0.071	0.353	0.013333333	0.596666667	0.2875	-1	0.018	0.059666667	0.271	-0.369333333	0.961	-0.561666667	0.543	-0.2535	-0.111333333	-0.09025	-0.073333333	-0.34875	-0.6735	0.032666667	-0.045	-0.84975	0.189	-0.459	0.386333333	-0.524	-0.403	0.274	0.158333333	0.332	0.161666667	-0.053333333	-0.785	-0.7845	0.295	0.16175	-0.923	-1.811	-1.928	0.965	0.232	0.412	0.324	NA	0.332	0.203	NA	0.081	0.117	0.558	0.113	0.151	NA	NA	0.246	0.075	0.113	NA	0.329	NA	0.036	0.251	0.256	0.219	0.678	1.369	0.285	0.01	0.869	NA	0.01	0.038	NA	0.01	0.08	0.137	0.037	0.097	0.214	NA	0.974	0.203	0.945	NA	NA	NA
CTR9_1057s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.641	0.06	0.796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1061s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.641	0.06	0.796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1066s	NA	NA	NA	0.752	NA	NA	-0.082	NA	NA	NA	-0.428	-0.75	NA	NA	NA	-0.096	NA	-0.956	NA	1.277	NA	NA	0.104	NA	-0.731	NA	NA	2.441	NA	NA	NA	NA	1.496	NA	NA	0.963	-0.512	NA	0.29	NA	NA	NA	0.963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1068s	NA	NA	NA	0.752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.096	NA	NA	NA	1.277	NA	NA	NA	NA	NA	NA	NA	2.441	NA	NA	NA	NA	1.496	NA	NA	0.963	NA	NA	NA	NA	NA	NA	0.963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1073s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.128	-0.243	0.307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTR9_1081s	-0.797857143	-0.215875	0.282	-0.060666667	-0.2055	-1.003857143	-0.066	-0.12	0.246222222	0.263875	-0.334	0.296714286	0.17375	-0.4935	0.154	-0.02725	0.184625	-0.236142857	-0.20775	-0.381142857	-0.04725	-0.318	0.246714286	-0.122142857	-0.076	-0.409571429	-0.331714286	0.202666667	-0.243625	-0.932571429	-0.009	-0.10925	0.197222222	-0.25075	-0.4295	0.456888889	-0.150428571	0.36025	-0.176571429	-0.260666667	-0.2495	-0.115714286	0.263875	0.332857143	0.0022	0.0474	-0.52075	1.448	0.495	0.243	0.476	0.179	0.712	0.463	0.552	0.582	0.379	0.597	0.355	0.386	0.528	0.215	0.308	0.079	0.308	1.387	0.243	0.712	0.621	0.325	0.311	0.208	0.582	2.195	0.484	1.031	1.071	0.136	0.398	0.406	0.406	0.353	0.538	0.585	0.118	0.539	0.385	0.402	0.689	0.261	0.901	1.367	1.427	1.38
