Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
OXSR1_310t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.137	0.306	0.943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_312s	NA	NA	NA	0.257	NA	NA	-0.339	NA	-0.205	NA	1.303	-0.673	NA	NA	NA	-0.326	NA	0.324	NA	-0.525	NA	NA	0.876	NA	-0.801	NA	NA	1.194	NA	NA	NA	NA	0.458	NA	NA	0.126	-0.528	NA	-0.582	-0.445	NA	NA	-0.199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_324s	-0.4115	-0.047	0.0275	-0.512	NA	0.4715	-1.131	NA	0.734	-1.056	1.876	-1.046	-0.635	NA	NA	NA	-0.735	0.005	NA	NA	NA	NA	1.126	-0.389	-1.5155	-0.734	0.507	1.709	-0.52	-0.686	NA	-0.527	-0.292	NA	0.388	NA	-1.8885	-0.745	-1.5645	NA	NA	-0.501	NA	-1.1345	-1.219	-1.23	0.115	0.474	NA	0.361	NA	NA	0.122	0.059	NA	NA	NA	0.173	0.008	NA	NA	NA	NA	NA	0.296	NA	NA	NA	NA	0.358	0.025	0.182	0.079	0.856	NA	NA	0.165	NA	NA	NA	NA	NA	NA	0.026	NA	0.735	NA	NA	0.011	NA	0.001	0.605	0.791	NA
OXSR1_325s	-1.498	0.816	-0.011	0.053	NA	1.021	-1.272	NA	-0.221	0.759	0.999	-0.336	-1.011	NA	NA	0.764	-0.503	0.106	NA	NA	NA	-1.062	-0.029	-0.395	0.022	0.718	-1.167	0.971	-0.794	-0.105	NA	1.004	-0.214	NA	-1.112	-0.523	-1.687	0.018	-1.556	-0.977	NA	-0.307	-1.398	0.107	1.096	1.331	2.904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_339s	-0.759	0.831	0.433	-0.446	0.158	0.94	0.681	-0.401	0.031	0.076	1.146	0.551	0.019	-0.038	0.056	0.02	-0.451	-0.362	0.178	-1.383	0.342	-0.056	-0.035	-0.455	-0.301	-0.019	0.314	-0.936	0.078	-0.07	0.139	0.472	-0.438	1.105	-0.518	0.663	-2.224	0.647	-0.275	0.233	-1.025	0.207	-0.871	0.258	0.749	0.819	-0.397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_359s	-0.322	-1.381	1.366	NA	NA	-1.878	NA	NA	NA	-0.44	NA	NA	-1.201	NA	NA	NA	-0.419	NA	NA	NA	NA	-1.113	NA	-1.187	NA	0.207	-1.858	NA	-0.768	NA	NA	-0.062	NA	NA	-0.2	NA	NA	-0.77	NA	NA	NA	-1.48	NA	-0.558	0.844	0.82	3.918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_422s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	0.309	0.473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_423s	NA	NA	NA	0.517	-0.575	NA	NA	-0.066	0.6	NA	NA	NA	NA	0.255	0.047	-0.155	NA	NA	-0.679	0.436	-0.154	NA	NA	NA	NA	NA	NA	1.062	NA	NA	0.497	NA	0.444	0.723	NA	0.475	NA	NA	NA	0.194	-0.184	NA	0.342	NA	0.027	-0.193	0.786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_425s	-0.541	-1.544	0.013	-0.023	-0.969	-1.385	-0.922	-0.26	-0.492	0.351	1.05	-0.387	0.209	-0.346	-0.065	-0.618	0.303	0.403	-0.275	-0.319	-0.556	-1.31	1.918	-0.751	-0.967	-0.455	0.453	1.502	0.017	-1.096	-0.102	-0.283	-0.236	0.203	-0.36	0.194	-1.837	0.012	-1.24	-0.531	-0.383	-0.55	-0.18	-0.717	-0.049	-0.371	-0.243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXSR1_427s	-0.79	-1.649	0.077	0.663	0.507	-1.759	0.242	-0.314	0.028	-0.32	0.278	-0.398	-0.049	-0.156	0.024	-0.07	-0.427	0.25	0.21	-0.604	-0.551	-0.751	0.666	-0.82	-0.23	-0.421	0.288	0.835	-0.583	-1.192	-0.081	-0.056	-0.349	0.59	-0.202	0.303	-0.989	-0.101	0.026	-0.599	-0.214	0.682	0.291	-0.671	-0.686	-1.103	-1.161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
