Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
SMARCA4_1382s	0.576	0.588	0.253	-0.25	NA	0.487	-0.616	NA	-0.438	-0.788	0.11	-0.306	0.466	NA	NA	-0.128	0.114	-0.064	NA	-0.038	NA	0.442	-0.305	0.491	-0.124	-0.03	0.176	0.028	-0.024	0.192	NA	0.316	-0.318	NA	0.624	-0.694	-0.356	0.004	-0.833	0.199	NA	-0.364	-0.093	-0.619	-0.621	-1.107	-2.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_1417s	0.955	-0.868666667	0.841	-0.80125	NA	0.4035	-0.27625	NA	-0.3494	0.493	0.0705	0.34525	-0.425	NA	NA	-0.5008	0.090666667	0.37525	NA	-0.40975	NA	0.148333333	-0.3865	0.4455	0.475	1.64725	0.344	-0.5788	0.160666667	0.07275	NA	0.302666667	-0.4106	NA	0.68	-0.5592	1.565	-0.524	-0.10525	-0.82225	NA	-0.05575	-0.3126	0.08325	-0.816	-0.7545	-0.9425	0.569	0.37	0.266	0.222	NA	0.877	0.227	NA	0.903	0.157	0.22	0.096	0.072	NA	NA	0.382	0.11	0.306	NA	0.665	NA	0.199	0.056	0.086	0.185	0.351	0.362	0.527	0.178	0.145	NA	0.318	0.268	NA	0.129	0.583	0.19	0.192	0.128	0.61	NA	0.278	0.315	0.206	0.079	0.135	0.422
SMARCA4_1421s	0.119	-0.2125	0.284	-0.165	NA	-0.3005	-0.416	NA	0.455333333	-0.2865	0.3525	0.2115	0.0205	NA	NA	-0.162666667	-0.0705	0.1605	NA	-0.676	NA	-0.014	-0.494	5e-04	0.3985	0.819	-0.198	-0.555666667	-0.8	-0.326	NA	-0.1545	-0.293666667	NA	0.6515	-0.879	1.106	-0.051	-0.191	-0.286	NA	0.04	-0.198333333	0.3105	-0.257	-0.378	-0.267	0.426	0.173	0.335	0.834	NA	0.821	0.625	NA	0.384	0.476	0.255	0.244	0.575	NA	NA	0.386	0.356	0.769	NA	0.677	NA	0.569	0.048	0.616	0.368	0.457	0.485	0.72	1.239	0.351	NA	0.745	0.686	NA	0.588	0.682	0.813	0.092	0.283	0.352	NA	0.436	0.369	0.023	NA	NA	NA
SMARCA4_1422s	NA	-0.249	NA	-0.413	NA	NA	0.295	NA	0.2885	-0.5975	0.793	0.1	-0.0825	NA	NA	-0.185	-0.0615	-0.341	NA	-0.2125	NA	0.0795	-0.381	NA	0.025	NA	NA	-0.7565	-0.672	NA	NA	-0.3145	0.109	NA	0.3105	-0.8595	-0.159	-0.2245	0.005	-0.3795	NA	NA	-0.6105	NA	-0.7395	-1.014	-0.257	NA	0.704	NA	1.138	NA	NA	NA	NA	0.046	0.571	NA	NA	1.146	NA	NA	0.502	0.071	NA	NA	0.702	NA	1.225	NA	NA	NA	NA	NA	0.851	0.935	NA	NA	0.646	0.01	NA	0.491	0.351	NA	0.193	NA	0.022	NA	NA	0.715	NA	1.107	1.433	NA
SMARCA4_1423t	-0.117	0.041	-0.116	-0.484	NA	1.09	-1.357	NA	0.068	-0.367	0.422	0.122	-0.100666667	NA	NA	-0.315	0.238	-0.029	NA	-0.1655	NA	-0.080666667	-0.509	1.419	-0.236	0.12	-0.179	-0.5285	-0.72	0.428	NA	-0.415	0.2915	NA	0.875	-0.537	-0.709	-0.051333333	-0.149	0.2755	NA	0.6	-0.4485	0.911	-0.29	-0.7005	1.739	NA	1.029	NA	1.038	NA	NA	NA	NA	0.266	0.794	NA	NA	0.967	NA	NA	0.318	0.382	NA	NA	0.769	NA	0.921	NA	NA	NA	NA	NA	1.173	1.37	NA	NA	0.541	0.268	NA	0.206	0.808	NA	0.347	NA	0.948	NA	NA	0.944	NA	1.742	1.876	NA
SMARCA4_1452s	0.1125	0.264	0.352	-0.02	NA	0.6875	-0.994	NA	-0.098	-0.235	0.407	0.0735	0.49	NA	NA	-0.07	-0.183	0.361	NA	-0.347666667	NA	0.797333333	-0.581	0.025	0.0115	0.999	-0.354	-0.852666667	-0.286666667	0.017	NA	-0.21	0.413	NA	0.701666667	-1.138333333	0.4505	-0.358333333	-0.418	0.229666667	NA	-0.4535	-0.156666667	-0.115	-0.073	-0.3415	-0.9095	1.425	0.626	0.344	0.513	NA	0.295	0.407	NA	1.289	0.785	0.604	0.634	0.137	NA	NA	0.099	0.326	0.048	NA	0.097	NA	0.526	0.078	0.512	0.456	0.303	1.738	0.358	1.172	0.935	NA	0.327	0.528	NA	0.443	0.453	0.82	0.263	0.849	0.37	NA	0.411	0.309	0.822	0.44	0.385	1.224
SMARCA4_1570s	NA	-1.088	NA	NA	NA	NA	NA	NA	NA	-0.769	NA	NA	0.247	NA	NA	NA	0.23	NA	NA	NA	NA	-0.252	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.186	NA	NA	-0.335	NA	NA	0.756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_1575s	NA	-1.088	NA	NA	NA	NA	NA	NA	NA	-0.769	NA	NA	0.247	NA	NA	NA	0.23	NA	NA	NA	NA	-0.252	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.186	NA	NA	-0.335	NA	NA	0.756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_596t	NA	-0.5085	NA	NA	NA	NA	NA	NA	NA	0.475	NA	NA	0.151	NA	NA	NA	-0.1675	NA	NA	NA	NA	0.1155	NA	NA	NA	NA	NA	NA	-0.0915	NA	NA	0.178	NA	NA	0.555	NA	NA	-0.1935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.124	NA	NA	NA	NA	NA	NA	NA	0.082	NA	NA	0.147	NA	NA	NA	0.064	NA	NA	NA	NA	0.124	NA	NA	NA	NA	NA	NA	0.057	NA	NA	0.003	NA	NA	0.133	NA	NA	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_609t	NA	-0.392	NA	NA	NA	NA	NA	NA	NA	-0.181	NA	NA	0.404	NA	NA	NA	-0.412	NA	NA	NA	NA	0.324	NA	NA	NA	NA	NA	NA	-0.144	NA	NA	0.512	NA	NA	0.264	NA	NA	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_610s	-0.735333333	-0.855625	0.6265	0.4974	NA	0.384833333	-0.685666667	NA	0.3444	-0.167875	-0.288666667	-0.159333333	0.853125	NA	NA	-0.469	-0.06775	0.005	NA	-0.1094	NA	0.70725	-0.292	0.297166667	-0.185	0.515	-0.267	-0.322	0.272	-0.239333333	NA	0.20925	0.0244	NA	0.64675	-0.9766	-0.055333333	0.04525	-0.476666667	-0.472	NA	-0.2545	-0.222	0.382333333	-0.789	-1.2585	-1.793	0.458	0.408	0.247	0.492	NA	0.472	0.125	NA	0.227	0.347	0.165	0.523	0.172	NA	NA	0.48	0.239	0.3	NA	0.311	NA	0.227	0.097	0.263	0.293	0.407	0.365	0.124	0.285	0.263	NA	0.249	0.33	NA	0.149	0.454	0.148	0.545	0.302	0.252	NA	0.113	0.242	0.195	0.03	0.366	0.86
SMARCA4_613s	-0.155	-0.5	0.8554	0.0236	NA	0.4772	-0.5975	NA	-0.0084	0.1	-0.128	-0.0815	0.392	NA	NA	-0.0472	-0.1174	0.10175	NA	0.3064	NA	0.4556	-0.48425	0.2314	0.7165	0.7944	-0.2814	-0.3802	0.1321	-0.0896	NA	0.208	0.1636	NA	0.5284	-0.6076	0.2015	0.0511	-0.607	-0.071	NA	-0.1958	-0.2264	0.0342	NA	NA	NA	0.348	0.35	0.2	0.221	NA	0.483	0.267	NA	0.238	0.289	0.148	0.278	0.375	NA	NA	0.284	0.237	0.343	NA	0.232	NA	0.298	0.163	0.08	0.505	0.653	0.429	0.173	0.29	0.151	NA	0.288	0.468	NA	0.274	0.388	0.341	0.495	0.206	0.258	NA	0.075	0.237	0.459	NA	NA	NA
SMARCA4_695s	0.728	-0.242	0.854	0.216	NA	0.381	-1.131	NA	-0.067	-0.375	-0.016	0.09	0.676	NA	NA	-0.269	-0.001	0.122	NA	-0.372	NA	0.789	-0.486	-0.128	0.091	0.664	-0.374	-0.729	0.07	0.104	NA	0.048	0.394	NA	0.764	-0.986	0.612	-0.256	-0.523	-0.244	NA	-0.285	0.183	-0.075	-0.987	-1.268	-1.271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMARCA4_699s	-0.332	0.125	0.384	0.376	NA	0.984	-0.732	NA	-0.577	0.158	0.272	0.055	0.402	NA	NA	0.148	-0.166	-0.27	NA	-0.545	NA	0.692	-0.363	-0.001	0.304	0.618	-0.339	-0.682	0.32	0.018	NA	0.37	0.206	NA	0.418	-1.171	-0.288	0.144	-0.308	0.365	NA	-0.447	0.14	0.089	-0.354	-0.579	-0.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
