Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RREB1_1120t	NA	NA	NA	-0.249	NA	NA	NA	NA	0.635	NA	NA	NA	NA	NA	NA	-0.089	NA	NA	NA	-0.026	NA	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	0.987	NA	NA	0.094	NA	NA	NA	0.172	NA	NA	-0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1121t	NA	-0.307	NA	-0.408	-0.184	NA	NA	-0.095	0.597	0.188	NA	NA	0.073	0.279	-0.275	-0.254	0.11	NA	0.341	-0.796	0.577	-0.262	NA	NA	NA	NA	NA	-0.241	-0.292	NA	-0.187	-0.459	0.777	-0.043	-0.005	-0.207	NA	-0.502	NA	0.287	0.758	NA	-0.351	NA	0.052	0.167	-0.521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1122s	-0.422	-0.187	-0.381	-0.334	-0.2	0.265	-0.801	-0.107	0.426	0.22	-0.184	0.017	0.079	0.076	-0.024	-0.158	-0.04	0.282	0.227	-0.611	0.466	-0.006	-0.225	-0.227	0.084	-0.106	0.242	-0.059	0.148	-0.462	-0.363	-0.496	0.944	-0.22	0.264	-0.145	0.523	-0.322	-0.369	0.341	0.864	0.113	-0.158	0.574	0.162	0.025	-0.508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1167s	-0.185	-0.486	0.104	-0.859	0.297	1.3535	-1.618	-1.044	1.5235	1.698	-0.5385	0.6165	0.442	-0.363	-0.891	0.1145	-0.321	-0.773	-2.258	-1.132	-0.024	0.824	-0.979	-0.3145	0.6795	0.399	-0.788	-1.9785	0.034	0.2125	-0.485	0.452	0.2855	-1.362	0.169	-0.687	1.263	-0.702	-0.2085	-0.0615	-0.028	-0.1495	-0.307	1.1665	0.655	-0.979	-0.05	0.304	NA	0.082	0.228	NA	0.357	0.707	NA	0.08	NA	0.581	0.425	NA	NA	NA	0.059	NA	0.54	NA	0.113	NA	NA	0.843	0.991	0.436	0.16	0.897	0.466	NA	0.197	NA	NA	0.579	NA	NA	1.041	0.516	NA	0.145	0.856	NA	0.911	0.325	0.578	NA	NA	NA
RREB1_1175s	-0.4	NA	0.162	-0.698	NA	1.101	-1.118	NA	1.58	NA	-0.949	0.316	NA	NA	NA	0.073	NA	-1.155	NA	-1.052	NA	NA	-0.383	0.386	0.371	0.286	-0.154	-1.649	NA	0.352	NA	NA	-0.124	NA	NA	0.049	0.898	NA	-0.311	0.544	NA	0.495	-0.077	0.758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1204t	NA	NA	NA	NA	-0.538	NA	NA	0.002	NA	NA	NA	NA	NA	-0.329	0.308	NA	NA	NA	0.169	NA	0.404	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.287	NA	NA	0.15	NA	NA	NA	NA	NA	NA	1.035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1219s	-0.24	-0.603333333	-0.3865	-0.2685	0.051	1.312	-0.4405	-0.179666667	0.652	0.069333333	0.64675	0.05	0.111333333	-0.411333333	-0.165666667	-0.243	0.257666667	0.07225	-0.156333333	-0.38275	0.52	0.086333333	-0.23975	0.1715	0.2315	-0.4275	0.024	-0.23075	-0.082666667	0.0645	-0.373	0.022333333	0.69425	-0.015	-0.291666667	-0.30325	0.42775	-0.169	0.01225	0.1585	0.510666667	-0.011	-0.344	0.478	0.3345	0.48	-0.14	0.331	0.13	0.076	0.107	0.212	0.102	0.201	0.284	0.336	0.285	0.14	0.066	0.172	0.468	0.199	0.202	0.48	0.397	0.162	0.591	0.246	0.05	0.066	0.086	0.167	0.097	0.223	0.092	0.193	0.159	0.212	0.123	0.171	0.066	0.275	0.266	0.114	0.378	0.198	0.201	0.318	0.158	0.184	0.081	0.088	0.154	0.027
RREB1_1225s	-0.006	-0.487	-0.44	-0.211	-0.022	1.384	-0.5485	-0.0205	0.8365	0.316	0.583	0.0625	0.203	-0.1465	-0.1245	-0.3705	0.798	0.4135	-0.0725	-0.6695	0.65	0.128	-0.276	0.232	0.341	-0.359	0.182	-0.2385	0.128	0.177	-0.274	0.126	0.602	-0.05	-0.047	-0.49	0.364	0.106	0.1795	0.265	0.6405	-0.123	-0.247	0.421	0.3345	0.48	-0.14	NA	NA	NA	0.03	0.24	NA	0.211	0.097	0.443	NA	0.12	0.018	NA	0.128	0.262	0.228	NA	0.012	0.103	0.838	0.141	NA	0.055	NA	0.16	NA	NA	0.124	NA	NA	0.175	NA	0.001	0.035	NA	0.074	0.15	NA	0.015	0.26	0.319	NA	0.235	NA	0.088	0.154	0.027
RREB1_1238s	-0.152	-0.001	-0.019	-2.058	-0.094	1.559	-0.176	-0.454	0.121	0.124	-0.428	0.529	-0.858	0.096	-0.082	-0.449	0.052	-0.235	-0.663	-0.27	1.228	-0.875	-0.597	0.248	0.636	-0.067	-0.27	-0.291	-0.566	-0.062	-0.471	-0.255	-0.171	0.345	0.228	-0.017	1.065	-0.085	-0.985	-0.469	0.977	-0.531	-0.847	0.001	0.068	0.768	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1271s	NA	NA	NA	NA	NA	NA	-0.912	NA	NA	NA	-0.796	0.091	NA	NA	NA	NA	NA	-0.358	NA	NA	NA	NA	-0.394	NA	0.321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.596	NA	-0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RREB1_1320s	0.387666667	-0.294	-0.496	0.071	0.319	0.512	0.649666667	0.195	0.225	0.2305	0.274666667	0.264333333	0.464	0.5185	0.339666667	0.139	-0.108	0.128666667	0.265666667	0.105	0.198	0.21	0.301333333	0.297	-0.384	0.195333333	0.2	0.435	0.4825	0.381333333	0.204	-0.041	0.729	0.419	0.1995	0.439	0.362333333	0.329	0.383	0.113	0.644333333	0.497666667	0.106	0.59	-0.359333333	-0.385333333	-0.082	0.55	0.564	0.547	NA	0.149	0.266	0.796	0.59	NA	0.217	0.171	0.384	0.17	0.602	0.15	NA	0.085	0.145	0.507	NA	0.304	0.221	0.644	0.056	0.346	0.534	0.869	NA	0.159	0.557	0.111	0.426	NA	0.464	0.144	NA	0.332	0.236	0.205	NA	0.401	0.416	NA	0.655	0.52	0.246	0.503
