Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PNISR_290s	0.481	0.0545	0.2065	0.11375	0.0265	-0.271	0.239	0.029	0.719	0.003	-0.276	-0.066	0.2845	-0.099	0.1235	0.173	-0.128	-0.228	-0.0405	-0.40625	0.312	0.1775	0.357	0.23525	0.005	0.17875	0.93725	0.25425	0.0715	0.35425	0.255	-0.06925	-0.0665	0.4645	0.07125	-0.25925	0.222	-0.25325	0.464	-0.003	-0.351	-0.06	0.086	0.41725	NA	NA	NA	1.046	0.402	0.144	0.481	0.146	0.39	NA	0.298	0.037	0.128	NA	NA	0.058	0.18	0.179	0.039	0.136	NA	0.163	0.119	0.194	0.133	NA	0.129	NA	0.458	1.575	0.109	0.135	0.395	0.025	0.376	0.233	0.071	0.141	0.258	NA	0.064	NA	0.12	0.259	0.651	0.129	0.248	NA	NA	NA
PNISR_304s	-0.171	0.446	0.415	-0.347	0.13	0.257	NA	-0.182	0.667	0.07	NA	NA	0.244	-0.226	0.25	0.15	0.068	NA	0.075	-0.546	0.449	0.358	NA	0.427	NA	0.131	0.165	0.225	-0.016	0.426	0.273	0.458	0.096	0.515	0.134	-0.488	NA	-0.297	NA	0.131	-0.534	-0.797	-0.001	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_305s	NA	0.321	NA	-0.253	NA	NA	NA	NA	0.719	0.105	NA	NA	0.37	NA	NA	0.134	-0.201	NA	NA	-0.378	NA	0.196	NA	NA	NA	NA	NA	0.416	-0.072	NA	NA	-0.09	-0.398	NA	0.108	-0.467	NA	-0.158	NA	0.038	NA	NA	0.274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_309t	2.043	NA	0.084	NA	NA	-0.473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.188	NA	0.84	3.299	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.774	NA	0.592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_311s	NA	0.413	NA	NA	NA	NA	0.46	NA	NA	0.179	0.462	0.048	0.32	NA	NA	NA	-0.441	0.021	NA	NA	NA	0.751	-0.128	NA	-0.026	NA	NA	NA	1.548	NA	NA	0.745	NA	NA	-0.294	NA	0.692	-0.12	0.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_313s	NA	0.413	NA	NA	NA	NA	0.46	NA	NA	0.179	0.462	0.048	0.32	NA	NA	NA	-0.441	0.021	NA	NA	NA	0.751	-0.128	NA	-0.026	NA	NA	NA	1.548	NA	NA	0.745	NA	NA	-0.294	NA	0.692	-0.12	0.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_321s	NA	0.413	NA	NA	NA	NA	0.46	NA	NA	0.179	0.462	0.048	0.32	NA	NA	NA	-0.441	0.021	NA	NA	NA	0.751	-0.128	NA	-0.026	NA	NA	NA	1.548	NA	NA	0.745	NA	NA	-0.294	NA	0.692	-0.12	0.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_485t	-0.855	NA	1.118	-0.368	NA	-0.713	NA	NA	-0.036	NA	NA	NA	NA	NA	NA	-0.144	NA	NA	NA	-0.549	NA	NA	NA	-0.117	NA	0.523	-0.032	0.592	NA	-0.323	NA	NA	0.116	NA	NA	0.387	NA	NA	NA	-1.301	NA	-0.6	0.343	0.799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_559s	NA	NA	NA	-0.908	NA	NA	NA	NA	-0.341	NA	NA	NA	NA	NA	NA	-0.418	NA	NA	NA	-0.725	NA	NA	NA	NA	NA	NA	NA	-0.353	NA	NA	NA	NA	-1.062	NA	NA	-1.128	NA	NA	NA	-0.207	NA	NA	0.034	NA	-1.054	-2.116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR_561s	0.844	0.498	-0.461	-0.097	0.394	-0.017	0.97	0.674	-0.4395	0.616	0.817	0.596	0.582	0.792	0.55	-0.0185	-0.08	-0.559	2.159	0.0135	-0.432	0.601	-0.025	-0.022	-0.444	0.841	1.654	0.7095	1.308	0.854	-0.231	1.406	-0.0925	1.074	-0.494	-0.022	1.076	-0.11	0.95	-0.1945	0.287	0.634	0.563	1.39	-0.75	-1.4765	NA	NA	NA	NA	1.147	NA	NA	NA	NA	0.139	NA	NA	NA	NA	NA	NA	0.565	NA	NA	NA	1.044	NA	NA	NA	NA	NA	NA	NA	1.503	NA	NA	NA	NA	1.371	NA	NA	1.564	NA	NA	NA	0.018	NA	NA	0.748	NA	0.43	0.904	NA
