Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
SPN_291s	-0.329	-0.4005	0.0875	0.111	0.0105	0.508	-0.144	0.364	-0.0965	0.254	-0.306	-0.962	-0.3185	0.125	-1.5055	-0.7865	-1.0595	-0.94	-0.296	-0.0585	0.2595	-0.4765	-0.28	-0.4515	-0.111	0.0925	-0.501	-0.9485	-0.298	-0.5475	1.1665	0.02	0.0745	0.3015	-0.3905	0.131	0.669	-0.95	0.494	0.386	-2.2255	0.0245	1.1045	0.323	-2.747	-3.69	-1.318	0.601	0.152	0.009	0.451	0.128	0.057	NA	0.139	0.482	0.099	NA	NA	0.015	0.274	0.401	0.053	0.261	NA	0.549	0.501	0.053	0.077	NA	0.213	NA	0.011	0.202	0.045	0.091	0.054	0.018	0.173	0.037	0.132	0.046	0.065	NA	0.317	NA	0.421	0.261	0.2	0.074	0.352	1.075	3.14	NA
SPN_322s	-0.268	-0.585333333	0.4415	-0.664	-0.158	-0.6845	0.23125	0.009	-0.135	-0.272666667	0.3195	0.84475	-0.062333333	0.2865	-0.195	-0.266	-0.280333333	0.7935	-0.7805	0.3835	-0.56	-0.318333333	0.298	-0.453	0.1565	-0.5155	-0.0655	-0.1255	0.713666667	-0.027	0.3825	-0.232333333	-0.5915	-0.01	-0.189	-0.369	1.47075	0.120333333	-0.3735	0.249	0.439	-0.1085	0.649	-0.3075	-0.530666667	-0.160666667	-0.647666667	0.096	1.157	0.168	0.049	0.122	0.05	0.325	0.008	0	0.232	0.284	0.297	0.098	0.644	0.096	0.182	0.282	0.2	0.446	0.92	0.455	0.271	0.219	0.11	0.174	0.718	0.442	0.036	0.227	0.451	0.383	0.09	0.158	0.071	0.079	0.262	0.244	0.212	0.204	0.847	0.331	0.013	0.057	0.359	0.133	0.222	0.357
SPN_328s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.312	1.515	1.637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPN_336s	-0.6095	-0.4155	0.7025	0.2145	0.6435	-1.8165	-0.133	0.193	0.4315	0.758	-1.1135	-0.0025	0.29	-0.2465	-0.6735	0.4265	-0.4905	0.2155	-1.757	1.011	-1.0865	-0.441	-0.5035	-0.202	-0.1225	-0.0305	0.0295	0.6765	0.281	-0.533	0.049	0.1585	0.0255	-1.1115	-0.2465	0.1255	0.6735	-0.6905	-0.67	-0.09	-0.6835	-0.2685	0.7745	1.0585	-0.1345	0.422	2.764	2.494	0.132	0.921	0.531	0.121	0.022	1.148	0.409	0.999	0.438	0.612	0.548	0.106	2.126	0.409	0.163	0.115	0.159	1.742	0.264	0.449	0.194	0.286	0.013	0.295	0.455	2.901	0.757	1	1.184	0.639	0.592	0.4	0.903	0.23	0.579	1.19	0.039	1.223	0.088	0.432	0.726	0.23	1.023	0.527	0.134	0.233
SPN_337s	NA	-0.472	NA	NA	NA	NA	NA	NA	NA	1.326	NA	NA	-0.083	NA	NA	NA	-0.22	NA	NA	NA	NA	-0.352	NA	NA	NA	NA	NA	NA	1.921	NA	NA	0.048	NA	NA	-0.356	NA	NA	0.518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPN_341t	-0.629	-0.292	-0.211	-0.041	-0.274	-2.597	0.753	0.936	-0.499	-0.047	-0.955	0.154	0.86	-0.359	-0.616	0.528	-0.236	1.395	-1.355	-0.166	-0.762	-1.01	0.68	-0.587	0.889	-0.695	-0.044	-0.601	0.024	0.651	0.028	0.083	-0.409	-1.068	-0.819	-0.335	-1.68	0.365	-0.501	0.357	0.517	0.021	-1.236	0.932	0.209	-0.107	1.957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPN_351s	-1.046	0.677	0.4875	-0.5605	0.2515	-0.5735	-0.075	-0.231	0.2725	-0.1495	0.06	0.2915	-0.006	-0.37	-0.8355	0.211	-0.5175	0.281	-0.173	-0.057	0.368	-0.316	0.18	-0.2035	0.0095	-0.729	-0.049	0.277	0.312	-0.581	-0.6055	0.166	0.0155	0.434	-1.0905	0.098	-1.155	0.0565	-1.163	0.2915	-0.696	-0.4475	-0.0065	-0.1225	-0.0425	0.98	-0.4535	0.222	0.013	0.047	0.129	0.078	0.018	0.112	0.023	0.093	0.042	0.091	0.05	0.107	0.146	0.05	0.028	0.06	0.004	0.045	0.112	0.03	0.096	0.01	0.045	0.032	0.106	0.099	0.031	0.099	0.055	0.05	0.127	0.035	0.099	0.241	0.018	0.127	0.029	0.134	0.009	0.074	0.057	0.045	0.04	0.029	0.062	0.094
SPN_355s	-1.2515	-0.054	0.4715	-0.336	0.264	-0.4475	0.007	-0.1855	0.276	-0.0895	-0.016	0.235	-0.2875	-0.9025	-0.4715	0.136	0.513	0.099	-0.9385	0.168	0.434	-0.9085	0.131	-0.287	0.038	-0.7895	-0.0045	0.171	0.0525	-0.449	0.6615	-0.135	-0.011	-0.2065	-0.098	0.095	-0.968	-0.0385	-0.977	0.353	-0.2945	-0.475	0.034	-0.094	-1.345	0.158	-1.273	0.344	0.137	0.062	NA	0.034	0.269	NA	0.002	NA	0.025	NA	NA	0.146	0.766	0.261	NA	0.175	NA	1.105	NA	0.064	0.415	NA	0.04	NA	0.172	0.07	NA	0.067	0.006	0.795	0.242	NA	0.764	0.074	NA	NA	0.028	NA	NA	0.069	0.212	NA	0.01	1.652	0.921	0.834
SPN_363s	1.265	-0.718	0.2775	-0.6085	-0.332	-1.8185	0.2115	0.024	-0.237	-0.246	-0.5575	0.548	-1.336	0.254	-0.577	-0.1265	-0.542	0.5	-2.086	0.6105	-0.961	-0.763	-0.163	0.1495	-0.8515	-0.486	2.5445	0.7855	-0.114	-0.144	0.266	0.316	-0.448	-0.918	-0.267	1.021	1.7095	-0.647	-0.5015	-0.0645	-0.229	-0.033	-0.1085	-0.104	1.407	2.492	1.902	1.631	NA	0.465	0.142	NA	0.196	0.226	NA	0.076	NA	0.291	0.53	NA	NA	NA	0.131	NA	0.098	NA	0.766	NA	NA	0.081	0.252	0.206	0.332	1.899	0.388	NA	0.86	NA	NA	0.334	NA	NA	0.803	0.483	NA	0.436	0.204	NA	0.356	0.561	0.441	NA	NA	NA
SPN_365s	0.594	-0.16	-0.293	-0.265	0.15	-0.032	0.9345	0.419	0.193	0.229	-0.922	0.7315	0.07	0.8495	-0.1915	0.536666667	-0.105333333	-0.248	0.1275	0.252666667	0.478	-0.284	-1.109	0.223	-0.172	-0.2625	1.828	0.139333333	1.353666667	0.3555	0.556	0.116	-0.543333333	0.211	-0.205333333	1.090666667	0.4225	0.186	0.7855	0.224333333	-0.983	-0.0455	-0.505333333	0.41	0.103	0.986	-0.094	1.211	0.302	0.066	0.382	0.082	0.516	0.617	0.426	0.448	0.536	0.651	0.64	0.139	1.066	0.301	0.28	0.084	0.065	0.517	0.237	0.057	0.266	0.214	0.205	0.103	0.596	1.662	0.609	0.708	0.705	0.062	0.126	0.221	0.225	0.095	0.305	0.289	0.287	0.551	0.238	0.252	0.265	0.159	0.744	NA	NA	NA
