Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
ZC3HC1_24s	2.254	-0.321	-1.235	0.6705	-0.0705	0.574	-0.6185	0.557	-0.555	0.642	-0.263	0.0795	-0.0075	0.449	-0.098	-0.221	0.368	-0.008	-0.89	-0.4055	0.497	0.077	-1.158	0.241	0.238	1.302	1.46	-0.5665	-0.2995	0.928	-0.468	-0.6445	0.9155	0.098	0.225	-0.478	0.8225	-0.3245	0.5225	-0.1425	-0.258	0.969	0.1805	0.313	-0.18	-0.4925	-0.652	NA	0.239	NA	1.068	0.006	NA	1.037	0.943	1.529	0.868	1.121	0.411	0.09	2.844	0.495	0.348	0.098	0.585	2.546	0.992	0.382	0.018	0.607	NA	0.414	NA	NA	1.483	1.49	NA	0.151	1.128	0.627	1.218	0.453	1.068	1.658	0.194	1.658	0.612	0.474	NA	0.978	NA	0.291	0.356	0.27
ZC3HC1_28t	0.469	NA	0.008	NA	NA	-0.25	-0.982	NA	NA	NA	0.076	-0.246	NA	NA	NA	NA	NA	0.326	NA	NA	NA	NA	-0.57	0.471	0.101	0.661	-0.176	NA	NA	-0.394	NA	NA	NA	NA	NA	NA	0.897	NA	0.807	NA	NA	0.461	NA	-0.856	-0.746	-1.862	-0.839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3HC1_329s	NA	0.074	NA	0.049	-0.14	NA	NA	0.141	0.661	-0.12	NA	NA	-0.216	-0.196	-0.101	0.156	-0.637	NA	0.401	-0.838	-0.196	-0.539	NA	NA	NA	NA	NA	-0.007	-0.2	NA	0.145	0.65	-0.11	1.29	-0.034	-0.08	NA	-0.015	NA	-0.261	0.796	NA	0.112	NA	-0.445	-0.485	-1.926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3HC1_335s	0.49	-0.241	0.383	-0.446	-0.792	0.622	-0.634	-0.24	0.073	0.211	1.288	-0.142	-0.049	0.009	0.18	-0.788	0.179	0.233	-0.338	-0.624	0.598	-0.066	-0.478	-0.472	0.016	-0.006	-0.009	0.513	-0.258	-0.254	-0.537	-0.303	0.869	0.454	-0.02	-1.032	0.316	-0.317	-0.259	-0.415	0.432	0.084	0.758	-0.015	-0.165	-0.253	-0.726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3HC1_344s	NA	1.977	NA	-0.026	NA	NA	NA	NA	4.161	-0.848	NA	NA	-0.281	NA	NA	0.625	-0.522	NA	NA	-0.022	NA	-0.04	NA	NA	NA	NA	NA	-0.613	-0.276	NA	NA	0.789	-0.657	NA	1.2	0.278	NA	1.358	NA	0.658	NA	NA	-0.368	NA	-0.386	-0.431	-0.155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3HC1_354s	-0.7285	0.0855	0.7445	-0.656	0.0465	0.818	0.522	0.892	0.603	-1.5265	0.6815	-0.0995	0.711	-1.287	0.1265	0.616	-0.486	0.037	0.5095	-1.007	0.468	-1.292	0.185	0.5365	-0.446	0.222	0.2955	-1.073	0.3025	0.012	-0.116	-0.753	-0.066	-0.1775	0.1565	-1.683	1.0375	-0.155	-1.404	-0.084	-0.867	0.295	0.535	0.886	0.248	-0.3345	-0.175	1.047	0.339	0.296	NA	0.056	0.892	0.485	0.211	NA	0.34	0.432	0.622	0.291	0.625	0.295	NA	0.24	0.03	1.522	NA	0.277	0.269	0.01	0.309	0.274	0.045	1.657	NA	0.96	0.092	0.01	0.677	NA	0.581	0.364	NA	0.524	0.071	0.741	NA	0.673	0.173	NA	0.127	0.764	0.47	0.478
ZC3HC1_395s	0.124	0.28	-0.0805	-0.1525	0.002	0.625	-0.2945	-0.3255	-0.1505	0.64	0.7105	0.0665	0.079	-0.1255	0.371	-0.086	-0.0245	-0.0465	-0.142	-0.448	0.1325	-0.244	-0.219	0.0865	-0.361	-0.255	0.2535	-0.0675	-0.015	0.172	-0.355	-0.076	0.2885	0.0665	0.2705	-0.6585	0.1335	0.103	-0.3845	0.1065	0.436	-0.1595	0.5955	-0.061	-0.0105	-0.0915	-0.4115	0.059	0.099	0.026	0.176	0.02	0.178	0.054	0.193	0.135	0.051	0.036	0.029	0.052	0.241	0.065	0.01	0.011	0.095	0.123	0.082	0.022	0.13	0.058	0.185	0.059	0.158	0.223	0.011	0.168	0.004	0.264	0.04	0.008	0.1	0.002	0.045	0.081	0.069	0.046	0.032	0.106	0.005	0.054	0.129	0.053	0.015	0.053
ZC3HC1_408s	NA	NA	NA	NA	-0.439	NA	0.054	-0.016	NA	NA	-0.97	-0.079	NA	-0.518	-0.169	NA	NA	-0.435	-0.133	NA	0.374	NA	-0.45	NA	0.312	NA	NA	NA	NA	NA	-0.122	NA	NA	-0.308	NA	NA	0.228	NA	-0.114	NA	0.046	NA	NA	NA	0.052	-0.447	-0.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3HC1_58s	0.312	0.113	0.3695	-0.096	-0.052	0.6685	0.03	0.3075	0.256	0.319	0.825	-0.149	0.36	-0.549	0.198	-0.066	-0.262	-0.224	-0.4435	-0.247	-0.0235	-0.231	0.214	0.215	0.324	0.3735	-0.095	-0.749	-0.402	0.104	0.0535	-0.346	0.422	0.067	0.158	-0.562	0.329	0.132	0.125	-0.067	0.226	-0.0565	0.507	0.3435	-0.114	0.059	-0.666	0.085	NA	0.267	NA	0.198	0.006	NA	0.378	NA	NA	NA	NA	NA	0.269	0.307	NA	NA	NA	0.322	NA	0.045	NA	NA	0.102	NA	0.015	0.188	NA	NA	0.206	0.247	NA	NA	0.049	NA	NA	NA	NA	NA	NA	0.075	0.086	NA	0.339	NA	NA	NA
ZC3HC1_62s	0.24375	0.089333333	0.47	-0.196	-0.03225	0.7175	-0.011	0.3035	-0.062	0.497333333	0.667666667	-0.145	0.417666667	-0.265	0.10375	-0.172333333	-0.148666667	-0.185666667	-0.35125	-0.116333333	0.0395	-0.083666667	-0.060666667	0.4195	0.242666667	0.382	-0.00775	-0.894333333	-0.162666667	0.18275	0.10975	-0.295333333	0.309333333	0.132	0.332333333	-0.504	0.388333333	0.085	0.048	-0.024333333	0.374	-0.0205	0.408333333	0.35125	-0.186	-0.310666667	-0.720666667	0.128	0.126	0.198	0.119	0.117	0.066	0.13	0.219	0.284	0.169	0.14	0.06	0.145	0.371	0.21	0.095	0.098	0.076	0.215	0.291	0.078	0.27	0.241	0.25	0.159	0.133	0.158	0.235	0.207	0.151	0.168	0.107	0.235	0.085	0.181	0.051	0.152	0.049	0.282	0.047	0.178	0.073	0.145	0.196	0.168	0.321	0.225
