Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
TCF20_1005s	-0.522	0.5265	-0.728	0.265	-0.166	0.831	-0.417	-0.401	0.0625	0.734	-0.246	-0.164	0.32	-0.535	0.059	0.1345	0.481	-0.408	0.53	0.0455	0.378	0.762	-0.165	0.331	0.346	-0.678	-0.192	0.449	-0.106	0.463	-0.39	0.7245	0.357	-0.74	0.103	-0.09	0.268	-0.029	0.141	0.392	0.317	-0.816	-0.176	0.589	0.1215	0.2375	0.6255	NA	0.192	NA	0.025	NA	NA	NA	NA	0.496	0.112	NA	NA	0.033	NA	NA	0.011	0.033	NA	NA	0.479	NA	0.065	NA	NA	NA	NA	NA	0.455	0.178	NA	NA	0.261	0.037	NA	0.074	0.199	NA	0.091	NA	0.208	NA	NA	0.153	NA	0.053	0.004	0.103
TCF20_1007s	0.015	0.536	-0.991	-0.192	-0.044	0.17	0.312	0.037	0.045	-0.958	-0.054	-0.038	-0.514	-0.298	0.137	-0.003	-0.241	-0.305	0.577	-0.013	0.075	-0.188	0.027	0.028	-0.268	-0.733	-0.03	1.136	-0.312	0.373	-0.173	0.413	0.038	-0.012	-1.007	-0.047	0.213	-0.275	-0.542	0.074	0.243	-0.409	-0.207	0.009	0.692	0.355	0.397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1009y	-0.188	NA	-0.2	NA	NA	0.558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.094	NA	-0.002	0.035	NA	NA	0.671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.186	NA	0.407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1259s	NA	1.521	NA	-1.019	-0.431	NA	NA	-0.086	-0.497	-0.646	NA	NA	-1.15	-0.884	-0.679	0.219	-0.108	NA	-0.046	-0.372	-0.804	-0.394	NA	NA	NA	NA	NA	2.083	-0.632	NA	-0.383	0.228	-0.385	0.283	-0.908	-0.069	NA	0.015	NA	0.001	-0.796	NA	-1.396	NA	1.5625	1.6205	1.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023	0.267	0.327
TCF20_1322s	0.592	0.189	-0.567	-0.25	0.107	1.186	-0.4	0.115	0.39	0.365	-0.094	-0.547	-0.337	0.076	-0.293	-0.442	-0.143	-0.707	-0.133	0.435	0.325	0.692	-0.379	0.663	-0.27	-0.33	0.455	0.537	-0.208	-0.037	-0.113	0.606	0.33	0.258	0.392	-1.042	-0.026	-0.631	-0.231	0.027	0.363	-0.895	0.179	-0.108	-0.576	-0.183	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1335s	0.098	-0.95	-1.487	NA	-0.072	1.035	-1.434	-0.166	NA	0.042	0.292	0.052	-0.455	0.299	-0.441	NA	0.314	0.5	-0.194	NA	0.752	0.26	-0.776	0.109	-0.452	-0.516	-0.263	NA	-0.582	-0.49	-0.788	-0.725	NA	-0.222	0.68	NA	0.643	-0.853	0.288	NA	0.664	-0.18	NA	-1.226	0.629	0.584	-0.886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1372s	0.948	NA	-0.849	NA	NA	1.149	-0.133	NA	NA	NA	-0.614	-0.536	NA	NA	NA	NA	NA	-0.849	NA	NA	NA	NA	-0.441	0.628	-0.415	-0.048	0.899	NA	NA	0.031	NA	NA	NA	NA	NA	NA	0.821	NA	-0.025	NA	NA	0.656	NA	-0.766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1440s	1.078	0.316	-0.567	-1.031	NA	1.221	NA	NA	1.185	-0.162	NA	NA	-0.507	NA	NA	-0.668	-0.522	NA	NA	-0.089	NA	-0.306	NA	0.935	NA	-0.482	-0.49	0.582	-0.184	0.299	NA	0.474	-0.516	NA	0.663	-0.292	NA	-0.257	NA	-0.209	NA	0.099	0.067	-1.294	-0.916	-0.457	-1.571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1522s	0.719	-0.957	-0.481	-0.284	0.011	-0.498	-1.308	0.42	-0.387	0.966	-1.891	-0.196	0.18	-0.11	-0.203	-0.211	0.193	-0.391	-0.303	0.285	0.101	0.502	-0.335	0.522	-0.011	0.218	0.726	0.358	0.025	-0.605	-0.405	0.168	0.526	-0.284	1.014	-0.493	-0.002	-0.599	-0.082	-0.21	0.255	-0.191	0.657	0.16	-0.314	-0.934	-1.115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCF20_1671t	1.164	-0.143	-0.193	-0.482	0.092	0.343	-0.598	0.28	0.239	0.399	-0.436	-0.436	0.068	0.692	-0.139	-0.313	-0.249	-0.006	-0.401	0.308	0.242	0.681	-0.466	0.669	0.04	0.174	0.194	-0.078	-0.182	-0.005	-0.135	0.426	0.079	0.104	1.014	-0.743	-0.254	-0.621	-0.346	-0.052	0.921	-0.131	0.34	0.015	-0.815	-1.131	-1.669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
