Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
AKAP11_1100t	NA	0.292	NA	NA	NA	NA	NA	NA	NA	-0.315	NA	NA	-0.405	NA	NA	NA	-0.356	NA	NA	NA	NA	0.07	NA	NA	NA	NA	NA	NA	0.032	NA	NA	-0.581	NA	NA	0.835	NA	NA	0.095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1171s	-0.156	0.524	-0.86	NA	-0.356	0.526	0.187	0.248	NA	-0.19	0.731	0	0.076	-0.199	-0.145	NA	-0.208	-0.255	0.469	NA	0.354	0.15	0.044	0.026	0.014	-0.722	0.109	NA	-0.222	-0.205	-0.279	0.404	NA	0.967	-0.382	NA	0.624	0.351	-0.418	NA	0.259	-0.227	NA	0.039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1176s	-0.438	NA	-0.532	-0.545	NA	-0.052	0.295	NA	0.496	NA	0.844	-0.087	NA	NA	NA	0.332	NA	-0.076	NA	0.049	NA	NA	0.03	-0.183	-0.004	-0.548	0.019	-0.043	NA	-0.519	NA	NA	-0.67	NA	NA	0.704	0.639	NA	-0.427	-0.053	NA	-0.337	-1.053	-0.257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1242s	-0.985	0.207	0.002	-0.698	0.311	0.083	0.321	0.418	-0.078	-0.183	0.646	0.224	0.459	-0.306	0.085	0.563	-0.487	0.07	0.509	0.027	0.117	0.122	-0.245	-0.385	0.177	-0.458	-0.069	-1.482	-0.39	-0.415	-0.325	-0.047	-0.561	-0.212	-0.429	0.684	0.471	0.525	-0.046	0.008	0.202	-0.603	-0.064	0.285	-0.708	-1.409	-1.741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1289s	0.503	NA	-0.114	NA	-0.13	0.263	0.27	0.44	NA	NA	-0.152	0.93	NA	0.989	0.294	NA	NA	0.752	0.496	NA	0.239	NA	-0.358	0.161	-0.131	0.159	0.3	NA	NA	0.371	-0.291	NA	NA	0.177	NA	NA	2.538	NA	0.219	NA	1.357	-0.679	NA	0.552	-0.1	-0.435	-2.384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_130s	0.178	NA	0.083	NA	NA	-0.488	-0.011	NA	NA	NA	0.34	0.216	NA	NA	NA	NA	NA	0.234	NA	NA	NA	NA	0.187	-0.141	-0.402	0.688	0.378	NA	NA	0.01	NA	NA	NA	NA	NA	NA	0.497	NA	0.482	NA	NA	0.54	NA	-0.178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1337s	-0.434	-1.973	-1.289	NA	NA	-0.649	0.466	NA	NA	-0.518	1.029	0.064	0.547	NA	NA	NA	-1.036	-0.276	NA	NA	NA	0.251	0.191	-0.898	-0.452	-0.751	-0.308	NA	-0.422	-0.678	NA	-1.122	NA	NA	-0.948	NA	-0.437	0.757	-0.277	NA	NA	0.047	NA	0.459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1340s	-0.434	-1.973	-1.289	NA	NA	-0.649	0.466	NA	NA	-0.518	1.029	0.064	0.547	NA	NA	NA	-1.036	-0.276	NA	NA	NA	0.251	0.191	-0.898	-0.452	-0.751	-0.308	NA	-0.422	-0.678	NA	-1.122	NA	NA	-0.948	NA	-0.437	0.757	-0.277	NA	NA	0.047	NA	0.459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11_1510s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.357	-0.356	0.919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
