Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PDCD4_313s	0.427	0.2055	0.5415	NA	0.909	0.001	1.306333333	1.259	NA	1.14475	0.342666667	1.784666667	-0.49375	2.56	1.703	NA	1.014	0.705666667	1.487	NA	0.595	-0.563	0.687666667	0.0215	1.986	0.3885	0.174	NA	0.35975	1.002	-0.582	0.7565	NA	-0.382	-0.576	NA	0.930666667	1.09	0.465	NA	0.859	-0.9685	NA	1.093	0.216	-0.189	-0.157333333	2.097	0.299	0.896	NA	NA	0.24	0.511	NA	NA	0.617	0.694	0.296	0.211	NA	NA	NA	0.103	0.242	NA	NA	NA	0.424	0.283	0.028	0.653	0.486	1.471	NA	0.844	1.148	NA	0.562	NA	NA	0.494	NA	0.912	0.15	0.783	NA	NA	0.411	NA	0.796	0.365	0.451	0.611
PDCD4_317s	NA	NA	NA	NA	-0.344	NA	-0.586	-0.309	NA	NA	1.551	1.215	NA	0.983	2.097	NA	NA	0.157	0.317	NA	0.188	NA	0.004	NA	0.523	NA	NA	NA	NA	NA	-0.775	NA	NA	0.912	NA	NA	0.497	NA	-0.557	NA	-0.069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCD4_323s	NA	1.207	NA	-0.762	-0.274	NA	NA	-0.862	-0.066	-0.913	NA	NA	-0.742	-0.229	-0.84	-0.383	-0.638	NA	1.72	0.008	-0.172	-0.727	NA	NA	NA	NA	NA	1.158	-0.292	NA	-0.695	-0.053	-0.153	1.584	-0.428	-0.449	NA	-0.198	NA	-0.641	-0.728	NA	-0.621	NA	0.084	0.319	0.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCD4_46s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.026	0.225	0.502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCD4_49s	NA	NA	NA	-0.24	NA	NA	NA	NA	0.143	NA	NA	NA	NA	NA	NA	-0.391	NA	NA	NA	0.121	NA	NA	NA	NA	NA	NA	NA	0.689	NA	NA	NA	NA	0.164	NA	NA	-0.546	NA	NA	NA	-1.371	NA	NA	-0.206	NA	0.412	0.535	0.759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCD4_67s	-0.845	-0.108	0.665	-0.540666667	0.469	-0.753333333	0.699	-0.456666667	1.117	0.102666667	-0.921	0.71	-0.092666667	-0.519333333	-0.987666667	0.233666667	-0.405666667	-1.183	1.200666667	0.056666667	-0.300666667	-0.472333333	0.047	0.663	0.122	-0.483666667	-0.341666667	0.328333333	0.818	-1.027666667	0.012	-0.505333333	-0.813666667	0.668	-0.442	-0.643	-1.85	0.647	-1.975	-0.42	-0.453333333	-1.083333333	-0.491	-0.522	0.038	0.433	1.069	0.682	0.386	0.975	0.12	0.02	0.738	NA	0.164	0.13	1.195	NA	NA	0.321	0.819	0.111	0.38	1.269	NA	2.34	0.464	1.322	0.531	NA	0.471	NA	0.788	0.769	1.215	1.884	0.323	0.175	0.298	0.205	0.612	0.544	0.129	NA	0.283	NA	1.948	1.04	0.499	0.347	0.165	1.888	1.609	NA
PDCD4_68s	-0.452	-0.108	0.106	-0.5335	0.469	-1.1775	0.699	-0.456666667	1.0635	0.102666667	-0.921	0.71	-0.092666667	-0.519333333	-0.987666667	0.444	-0.405666667	-1.183	1.200666667	0.322	-0.300666667	-0.472333333	0.047	0.392	0.122	-0.029	0.102	1.03	0.818	-1.19	0.012	-0.505333333	-0.6955	0.668	-0.442	-0.623	-1.85	0.647	-1.975	-1.5035	-0.453333333	-1.3705	-0.2935	-0.427	-1.297	-0.705	NA	0.051	0.386	0.158	0.169	0.02	0.101	NA	0.164	0.128	1.195	NA	NA	0.321	0.819	0.111	0.153	1.269	NA	2.34	0.086	1.322	0.531	NA	0.049	NA	0.035	0.048	0.025	1.884	0.223	0.175	0.298	0.016	0.612	0.544	0.175	NA	0.283	NA	0.739	1.04	0.057	0.081	0.01	NA	NA	NA
PDCD4_71s	-0.185	0.1585	0.562	-0.261666667	0.469	-0.6315	0.148	-0.456666667	0.838333333	0.0325	-0.878	0.343	-0.00775	-0.519333333	-0.987666667	0.244333333	-0.25825	-0.8345	1.200666667	0.412333333	-0.300666667	-0.35875	-0.1535	0.6445	0.149	-0.122	0.25925	0.575666667	0.604	-0.907	0.012	-0.419	-0.26	0.668	-0.38575	-0.321666667	-1.247	0.52275	-1.2285	-0.945333333	-0.453333333	-0.694	-0.144666667	-0.22225	-0.5425	-0.111	-0.243	1.126	0.619	0.799	0.486	0.02	0.772	0.779	0.164	0.4	0.986	0.061	0.519	0.312	0.819	0.111	0.362	1.077	0.493	2.34	0.168	1.322	0.489	0.284	0.348	0.038	0.519	1.239	0.787	1.597	0.638	0.175	0.299	0.754	0.612	0.458	0.536	0.853	0.339	1.056	1.099	1.04	0.916	0.264	0.491	1.067	0.84	NA
PDCD4_76s	0.502	0.206	-0.215	0.011	0.0575	-0.6675	1.0205	0.099333333	-0.648	0.710333333	-0.306	0.724	0.227	0.106	-0.586666667	0.432	0.109333333	0.185	2.478666667	0.377	0.784	-0.197333333	0.518	0.5885	0.154	-0.276	1.236	0.6845	1.370666667	-0.0535	0.0055	0.014	-0.648	1.435	-0.533333333	-0.276	-0.8635	0.209333333	5e-04	-0.5215	0.372666667	-0.343	-0.742	0.65	0.7405	0.829	1.3115	1.129	0.159	0.174	0.445	0.1	0.388	0.404	0.345	0.417	0.703	0.257	0.223	0.07	0.507	0.543	0.018	0.823	0.065	1.354	0.221	0.619	0.258	0.174	0.105	0.365	0.434	0.998	0.21	1.479	0.743	0.295	0.308	0.327	0.1	0.618	0.105	0.455	0.114	0.64	0.046	0.319	0.28	0.018	0.52	0.124	0.307	0.159
PDCD4_78s	0.075	0.4245	-0.2325	0.208	0.669	-0.407	0.541	0.444	-0.5535	0.227	0.669	0.52	0.347	0.95	0.135	0.191	-0.283	0.218	1.518	0.7175	-0.131	0.147	0.298	-0.0825	0.018	-0.43	0.756	0.477	0.4675	-0.234	0.616	0.318	0.43	1.398	-0.379	0.4065	-0.068	0.4065	0.1795	-0.3725	0.224	0.08	0.3845	0.5545	0.9495	1.0195	1.2685	0.607	0.216	0.005	0.148	NA	0.13	0.389	NA	0.426	0.148	0.01	0.3	0.047	NA	NA	0.184	0.051	0.264	NA	0.791	NA	0.242	0.006	0.069	0.27	0.256	1.001	0.645	0.52	0.378	NA	0.218	0.071	NA	0.296	0.89	0.874	0.278	0.756	0.319	NA	0.495	0.33	0.527	0.037	0.131	0.463
