Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
STK26_170t	NA	NA	NA	NA	NA	NA	-0.331	NA	NA	NA	2.433	0.775	NA	NA	NA	NA	NA	1.155	NA	NA	NA	NA	-0.669	NA	0.832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.767	NA	-1.276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK26_172t	1.968	2.314	1.015	NA	-0.432	1.803	-0.965	-0.778	NA	-0.463	2.256	0.352	-0.723	1.114	-1.713	NA	-0.619	1.004	-1.556	NA	1.49	-1.218	-0.818	-0.236	0.332	-0.687	-1.471	NA	0.895	0.871	0.097	-0.166	NA	2.169	0.144	NA	-1.569	-0.76	-1.901	NA	-0.66	-1.054	NA	-0.482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK26_178t	0.37	0.041	1.197	-0.759	NA	0.7805	-0.1945	NA	-0.176	0.059	1.189	0.7555	0.291	NA	NA	0.317	-0.417	0.541	NA	0.102	NA	-1.274	-0.469	-0.279	0.377	-0.5405	-0.2825	-0.387	0.714	0.205	NA	-0.4	-0.357	NA	-0.457	-1.45	-1.534	0.594	-1.235	-0.931	NA	-0.8735	-0.091	-0.1985	-0.619	-0.638	0.157	0.279	NA	0.188	NA	NA	0.158	0.122	NA	NA	NA	0.346	1.025	NA	NA	NA	NA	NA	0.006	NA	NA	NA	NA	0.105	0.554	0.477	0.781	0.117	NA	NA	0.324	NA	NA	NA	NA	NA	NA	0.436	NA	1.031	NA	NA	0.11	NA	0.544	NA	NA	NA
STK26_182t	0.278	NA	1.107	NA	NA	0.949	-0.101	NA	NA	NA	1.53	1.522	NA	NA	NA	NA	NA	0.807	NA	NA	NA	NA	-0.507	-0.617	0.083	-1.205	-0.043	NA	NA	0.077	NA	NA	NA	NA	NA	NA	-1.651	NA	-2.499	NA	NA	-0.876	NA	0.187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK26_300s	0.528	-0.172	1.139	-0.43825	0.16675	NA	-0.368	0.19475	-0.04525	-0.1505	-0.524	-0.214	0.315	0.44975	0.644	0.11675	-0.91925	-0.474	-0.601	NA	-0.116	0.801666667	0.431	-0.816	-0.373	-0.558	-0.112	0.27375	1.099666667	-1.123	-0.4375	0.505	-0.171	0.08225	-0.2645	0.1585	-0.264	0.46375	0.277	-0.2615	-0.701	0.736	0.539666667	1.307	-0.757	-0.2225	-0.48	NA	0.567	NA	0.83	0.177	NA	NA	0.239	0.494	0.297	NA	NA	0.223	0.182	0.868	0.811	0.48	NA	0.619	NA	0.442	0.3	NA	NA	NA	NA	NA	0.75	0.267	NA	0.264	0.381	0.203	0.529	0.046	0.386	NA	0.74	NA	0.465	0.232	NA	1.325	NA	NA	0.161	0.757
STK26_304s	NA	0.05	NA	-0.723	0.2945	NA	NA	0.3095	0.00475	-0.133	NA	NA	0.341666667	0.4185	-0.033	-0.1515	-0.872	NA	-0.069	NA	0.198	0.63	NA	NA	NA	NA	NA	-0.06475	1.099666667	NA	-0.3145	0.676666667	-0.041333333	0.339	-0.232	-0.123	NA	0.800333333	NA	0.021	-0.537	NA	-0.087666667	NA	-0.3855	-0.336	-0.116	NA	0.433	NA	0.728	0.073	NA	NA	0.343	0.411	0.361	NA	NA	0.266	0.288	0.32	0.654	0.576	NA	0.042	NA	0.465	0.061	NA	NA	NA	NA	NA	0.16	0.267	NA	0.258	0.202	0.333	0.156	NA	0.339	NA	0.376	NA	0.369	NA	NA	0.753	NA	0.525	NA	1.271
STK26_306s	NA	-0.11	NA	-0.723	0.243	NA	NA	0.067	0.00475	0.283	NA	NA	0.487	0.622	-0.17	-0.1515	-1.525	NA	-0.099	NA	0.527	NA	NA	NA	NA	NA	NA	-0.06475	1.362	NA	-0.132	0.569	-0.041333333	0.449	NA	-0.123	NA	1.025	NA	0.021	NA	NA	-0.087666667	NA	NA	NA	NA	NA	NA	NA	0.728	NA	NA	NA	NA	0.411	NA	NA	NA	NA	NA	0.304	0.654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA	0.333	NA	NA	0.339	NA	NA	NA	0.369	NA	NA	0.753	NA	NA	NA	NA
STK26_309s	NA	-0.195	NA	-0.3375	0.148	NA	NA	0.056	0.068	-0.021	NA	NA	0.261	0.4	0.6615	0.388	-1.0905	NA	-1.047	NA	0.43	0.587	NA	NA	NA	NA	NA	-0.063333333	1.235	NA	-0.358	0.7395	-0.111	0.35	NA	0.234	NA	1.0175	NA	-0.286	NA	NA	0.6925	NA	NA	NA	NA	NA	0.12	NA	0.296	NA	NA	NA	NA	0.39	0.43	NA	NA	0.32	NA	0.872	0.172	0.614	NA	NA	NA	0.137	NA	NA	NA	NA	NA	NA	0.189	0.18	NA	NA	0.241	0.215	NA	NA	0.165	NA	0.011	NA	0.803	NA	NA	0.125	NA	NA	NA	NA
STK26_415s	NA	NA	NA	-0.141	NA	NA	NA	NA	1.068	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	-0.777	NA	NA	NA	NA	NA	NA	NA	0.527	NA	NA	NA	NA	0.105	NA	NA	-0.33	NA	NA	NA	-0.201	NA	NA	-0.156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STK26_4s	0.6964	-0.3784	0.4642	-0.750571429	-0.3596	0.519	-0.064666667	0.1304	0.711285714	-0.7924	-0.2995	-0.206666667	-0.1932	0.3422	-0.0346	-0.197571429	-0.7594	-0.2765	-1.0208	0.107428571	-0.0444	-0.4872	0.458	-0.213	-0.298333333	-0.0046	-0.0046	1.126285714	-0.2848	-0.311	-0.3956	0.1354	-0.421428571	1.4532	-0.4192	-0.527	-1.729	0.0514	-1.026166667	-0.363	-0.6592	0.0292	-0.144857143	0.0952	-0.023	0.400142857	0.748285714	0.184	0.12	0.159	0.221	0.342	0.088	0.311	0.499	0.157	0.042	0.19	0.45	0.055	0.197	0.164	0.235	0.069	0.26	0.124	0.399	0.216	0.108	0.183	0.452	0.261	0.606	0.151	0.242	0.239	0.169	0.215	0.107	0.1	0.146	0.129	0.342	0.318	0.081	0.27	0.348	0.349	0.175	0.106	0.244	0.199	0.276	0.391
