Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
ANKRD17_156s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.593	-0.964	-0.654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_1634s	NA	NA	NA	0.675	NA	NA	0.402	NA	0.074	NA	-1.11	0.334	NA	NA	NA	-0.496	NA	0.017	NA	0.347	NA	NA	0.249	NA	-0.315	NA	NA	1.115	NA	NA	NA	NA	-0.202	NA	NA	1.292	1.147	NA	1.509	-0.388	NA	NA	0.964	NA	-0.82	-0.446	-1.631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_1705t	0.24	NA	-0.413	NA	NA	-0.669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.177	NA	0.619	-1.044	NA	NA	-1.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.133	NA	-1.042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_1708s	NA	0.583	NA	0.692	0.396	NA	-1.163	0.204	-0.061	-0.45	-0.922	-0.031	-0.67	-0.473	0.135	0.163	-0.031	0.22	-0.433	-0.523	0.605	-0.179	-0.388	NA	0.359	NA	NA	-0.5	0.749	NA	-1.369	-0.843	0.166	-1.352	-0.063	-0.907	1.077	-0.171	1.119	-0.438	-1.024	NA	0.518	NA	0.828	1.233	0.118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_1812s	3.797	NA	-0.615	-0.423	-0.9	0.479	-1.509	-0.627	-0.189	NA	-0.956	-0.299	NA	0.156	-0.97	-0.591	NA	0.404	-1.83	-0.119	-0.667	NA	-1.29	-1.041	1.214	0.759	-1.235	-0.405	NA	0.293	-0.24	NA	1.149	0.164	NA	-1.175	0.27	NA	-1.774	-1.856	0.532	-0.191	-0.652	-1.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_19s	NA	NA	NA	1.064	NA	NA	0.237	NA	0.589	NA	0.278	0.492	NA	NA	NA	0.532	NA	0.358	NA	NA	NA	NA	0.393	NA	-0.095	NA	NA	0.654	NA	NA	NA	NA	0.495	NA	NA	0.526	0.76	NA	0.987	1.115	NA	NA	0.143	NA	-0.603	0.086	0.563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_2044s	-0.559	0.239	-0.241	0.416	0.03	-0.529	0.057	0.141	0.116	0.103	0.364	0.441	-0.16	-0.269	0.392	0.234	-0.02	-0.298	0.634	0.552	0.072	-0.094	-0.017	-0.759	-0.462	-0.165	0.237	0.507	0.004	-0.732	-0.12	0.096	-0.164	-0.151	-0.893	0.537	0.248	0.471	-0.222	0.444	-0.198	-0.313	0.465	-0.25	-0.215	-0.435	-0.772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_2046s	-0.559	0.239	-0.241	0.416	0.03	-0.529	0.057	0.141	0.116	0.103	0.364	0.441	-0.16	-0.269	0.392	0.234	-0.02	-0.298	0.634	0.552	0.072	-0.094	-0.017	-0.759	-0.462	-0.165	0.237	0.507	0.004	-0.732	-0.12	0.096	-0.164	-0.151	-0.893	0.537	0.248	0.471	-0.222	0.444	-0.198	-0.313	0.465	-0.25	-0.215	-0.435	-0.772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD17_2058s	NA	-0.783	NA	0.259	-0.069	NA	NA	0.432	-0.061	0.053	NA	NA	-0.045	-0.013	-0.141	0.334	-0.421	NA	1.524	0.442	-0.491	-0.378	NA	NA	NA	NA	NA	0.975	0.296	NA	-0.043	-0.275	0.255	0.172	0.115	1.016	NA	0.097	NA	0.039	0.896	NA	0.436	NA	-0.07	0.411	-0.399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
