Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
WRNIP1_116t	0.462	0.156	-0.349	-0.528	-0.002	-0.822	-0.946	0.042	0.293	0.293	-0.976	0.076	-0.229	-0.617	-0.217	0.765	-0.126	-1.228	-0.155	0.061	-0.378	-0.286	-0.087	0.327	0.185	-0.54	-0.138	1.62	0.212	-0.494	-0.267	0.459	0.096	-0.099	-0.334	-0.58	-0.12	0.041	-1.888	-0.398	-0.05	-0.777	-0.598	0.565	-0.126	-0.155	0.395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WRNIP1_151s	NA	NA	NA	0.29	NA	NA	NA	NA	0.294	NA	NA	NA	NA	NA	NA	0.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.043	NA	NA	NA	NA	0.559	NA	NA	0.012	NA	NA	NA	-0.24	NA	NA	-0.922	NA	0.137	0.118	0.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WRNIP1_153s	0.278	-0.1935	0.5395	0.046	-0.117	-0.2835	-0.083	0.369	0.5505	-0.0135	-0.4055	-0.066	-0.16	0.144	0.462	-0.1055	-0.045	-0.1315	0.0275	0.3035	-0.3535	-0.302	-0.024	-0.0515	0.157	-0.013	0.854	0.7875	0.263	-0.465	-0.072	0.1455	-0.153	-0.0905	-0.1725	-0.0095	0.8	-0.2335	-0.384	-0.4645	0.2785	0.03	0.2905	0.2165	-0.4155	-0.7125	0.0125	0.147	0.486	0.002	0.129	0.272	0.465	0.31	0.075	0.036	0.077	0.209	0.175	0.006	0.33	0.069	0.18	0.188	0.057	0.028	0.004	0.541	0.211	0.016	0.145	0.352	0.315	0.124	0.265	0.01	0.516	0.601	0.118	0.363	0.09	0.029	0.114	0.074	0.087	0.308	0.337	0.275	0.307	0.012	0.132	0.257	0.025	0.411
WRNIP1_470s	0.905	-0.33	0.389	-1.083	-0.382	0.613	-0.677	0.031	0.029	-0.074	0.043	0.188	-0.472	0.588	-0.324	0.104	-0.46	0.297	-0.131	0.117	-0.662	-0.37	-0.345	0.503	-0.459	0.33	0.77	0.721	0.196	-0.2	-0.947	0.35	-0.256	0.858	0.113	-0.549	1.2	-0.29	-0.174	-1.01	0.411	-0.189	0.056	-0.017	-0.735	-0.918	-0.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WRNIP1_75s	0.401	-0.153333333	0.3665	-0.829	-0.248666667	-0.561	-0.483	-0.246	0.614	0.069333333	-1.478	0.401	-0.207666667	-0.408666667	0.281333333	0.5955	-0.381666667	-0.827	-0.504	-0.031	-0.477666667	-0.700333333	-0.3255	0.3055	0.065	-0.5925	0.2755	0.9235	0.033666667	-0.5885	-0.836666667	0.384	-0.1325	0.014	-0.323333333	-0.4555	0.881	-0.187666667	-1.1905	-0.7355	-0.167666667	-0.81	-0.065	-0.035	-0.9035	-0.9135	-1.3655	0.692	0.292	0.578	0.051	0.17	0.147	0.12	0.048	0.059	0.295	0.091	0.062	0.101	0.197	0.034	0.084	0.027	0.341	0.167	0.033	0.136	0.084	0.125	0.009	0.028	0.179	0.093	0.101	0.209	0.037	0.07	0.073	0.062	0.138	0.114	0.05	0.011	0.298	0.023	0.062	0.141	0.023	0.157	0.634	0.206	0.011	0.316
WRNIP1_77s	0.361	-0.699	0.188	-0.772	-0.623	-0.891	-0.6405	-0.308	0.195	0.383	-1.537	0.2535	-0.322	-0.735	0.363	0.125	-0.385	-0.881	-0.637	-0.304	-0.765	-0.641	-0.161	0.5115	-0.199	-0.5595	0.2615	1.197	0.366	-0.4195	-0.561	0.33	-0.416	-0.384	-0.562	-0.678	1.1265	-0.766	-1.316	-0.957	-0.034	-0.6905	-0.265	0.113	-1.325	-0.78	NA	0.584	NA	0.662	NA	NA	0.037	0.441	NA	NA	NA	0.389	0.023	NA	NA	NA	NA	NA	0.532	NA	NA	NA	NA	0.014	0.2	0.266	0.449	0.117	NA	NA	0.111	NA	NA	NA	NA	NA	NA	0.603	NA	0.144	NA	NA	0.122	NA	0.31	0.583	0.301	NA
WRNIP1_78s	0.832	-0.5945	-0.161	-0.772	-0.623	-0.661	-0.952	-0.308	0.195	0.0575	-1.812	0.27	-0.311	-0.735	0.363	0.125	-0.3775	-0.505	-0.637	-0.304	-0.765	-0.7045	-0.151	0.4825	-0.387	-0.798	0.3425	1.197	0.085	-0.5565	-0.561	0.35	-0.416	-0.384	-0.378	-0.678	1.553	-0.6485	-1.214	-0.957	-0.034	-0.8015	-0.265	-0.2945	-0.913	-0.567	NA	0.082	0.148	0.168	NA	NA	0.288	NA	NA	NA	0.46	NA	NA	0.016	NA	NA	NA	0.011	NA	NA	NA	NA	0.09	NA	0.241	NA	0.112	0.002	NA	0.397	0.083	NA	0.028	NA	NA	0.26	NA	NA	0.166	NA	NA	NA	0.035	NA	0.267	NA	NA	NA
WRNIP1_85t	NA	-0.1	NA	-0.117	-0.087	NA	NA	-0.093	-0.347	0.063	NA	NA	0.048	0.029	-0.026	0.49	0.203	NA	0.815	NA	-1.003	-0.013	NA	NA	NA	NA	NA	0.432	0.126	NA	-0.049	0.364	0.364	0.391	-0.294	-0.514	NA	0.21	NA	NA	0.429	NA	-0.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WRNIP1_87t	NA	0.089	NA	-0.413	-0.027	NA	0.126	0.092	-0.303	0.255	-0.322	0.246	0.293	0.477	0.351	0.663	0.179	0.053	0.778	0.376	0.082	0.122	-0.047	NA	0.034	NA	NA	-0.058	0.79	NA	-0.12	0.419	0.342	0.076	0	-0.243	0.639	0.328	0.025	0.24	0.122	NA	0.061	NA	NA	NA	NA	NA	NA	NA	NA	0.253	NA	NA	0.089	NA	NA	NA	NA	NA	0.301	0.093	NA	NA	NA	0.239	NA	0.209	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.494	NA	NA	0.011	NA	NA	NA	NA	NA	NA	0.471	NA	NA	NA	NA	NA	NA
WRNIP1_91s	0.002	0.027333333	0.801	-0.349333333	0.050333333	-0.117	0.021	-0.147	-0.279	0.166	-0.391	0.3305	0.176333333	0.1465	-0.040666667	0.476666667	0.037666667	0.1625	0.434333333	0.2545	-0.306333333	-0.055666667	-0.212	-0.151	0.0965	0.031	-0.142	0.259	0.408666667	-0.187	-0.084333333	0.264666667	0.219666667	0.122333333	-0.177333333	-0.336	1.264	0.261666667	-0.168	-0.126	0.205666667	-0.298	0.101	0.413	-0.352	-0.651	0.29	NA	0.11	NA	0.208	0.123	NA	0.148	0.208	0.083	0.097	0.098	0.12	0.123	0.166	0.465	0.193	0.266	0.155	0.492	0.172	0.613	0.202	0.233	NA	0.088	NA	NA	0.275	0.343	NA	0.368	0.221	0.231	0.252	0.156	0.154	0.884	0.06	0.273	0.518	0.41	NA	0.14	NA	NA	NA	NA
