Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RBM15B_109s	-0.859	0.547	0.325	0.5605	-0.478	0.159	-0.014	-0.375	-0.2495	0.479	-0.5145	0.5505	0.488	-0.236	-0.045	0.104	0.1575	-0.169	0.693	-0.949	0.339	-0.4475	-0.2495	-0.482	-0.52	-0.4485	0.468	0.2755	-0.112	-0.1485	-0.264	0.003	0.606	-0.314	-0.5415	0.345	0.7205	-0.0555	-0.35	0.1905	0.533	-0.3245	0.0475	1.5415	-0.107	0.112	0.711	0.231	0.096	0.105	0.047	NA	0.206	0.083	NA	0.064	0.14	0.002	0.094	0.147	NA	NA	0.069	0.052	0.033	NA	0.202	NA	0.134	0.066	0.164	0.376	0.169	0.201	0.175	0.232	0.21	NA	0.103	0.037	NA	0.159	0.122	0.022	0.043	0.266	0.097	NA	0.107	0.194	0.251	0.064	0.038	0.02
RBM15B_113s	0.528	-0.403	-0.237	0.735	-0.351	0.349	0.419	-0.179	-0.536	0.828	-0.527	0.58	0.315	0.223	0.332	0.133	-0.108	0.258	1.366	-0.088	-0.118	-0.294	-0.284	0.153	-0.672	0.16	1.176	0.719	0.55	0.698	0.155	0.017	1.105	0.207	-0.515	0.676	1.227	-0.385	-0.372	-0.162	0.737	0.311	0.346	2.156	0.029	0.127	-0.341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_238t	-0.184	0.744	0.153	NA	0.073	0.002	-1.382	0.069	NA	0.243	0.084	-0.661	1.165	-0.612	0.501	NA	-0.01	-0.354	0.24	NA	-0.316	1.06	-0.988	-0.228	-0.386	-0.166	-0.971	NA	-0.13	0.466	-0.549	0.102	NA	-0.96	-0.568	NA	-0.346	-0.697	0.42	NA	-0.177	0.157	NA	1.721	0.268	-0.195	0.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_265s	NA	NA	NA	NA	-0.039	NA	NA	0.564	NA	NA	NA	NA	NA	0.848	0.908	NA	NA	NA	0.779	NA	0.141	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.334	NA	NA	-0.252	NA	NA	NA	NA	NA	NA	0.427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_267s	0.0135	0.233	0.243	1.384	-0.356	0.277	-0.2985	0.085	-0.0605	0.24	-0.4195	-0.09	0.208	-0.155	-0.021	-0.1555	0.162	-0.0235	-0.45	-0.189	0.164	0.18	-0.8265	-0.028	0.2715	0.399	0.0965	-0.037	-0.196	0.7535	-0.049	-0.168	0.654	0.088	-0.013	-0.13	0.844	-0.61	-0.2735	0.0415	0.118	-0.164	-0.058	1.0485	-0.505	-0.705	-0.181	0.945	NA	0.552	0.573	NA	0.427	0.426	NA	0.65	NA	0.537	0.363	NA	NA	NA	0.037	NA	0.257	NA	0.038	NA	NA	0.016	0.127	0.305	0.229	0.838	0.458	NA	0.511	NA	NA	0.211	NA	NA	0.457	0.713	NA	0.438	0.093	NA	0.308	0.554	0.449	NA	NA	NA
RBM15B_532t	-0.319	0.036	-0.3825	0.757	0.1545	-0.26	0.31	0.5655	0.12	0.41	0.853	0.1115	0.472	0.3825	0.33	0.141	-0.2025	0.312	0.354	-0.2655	-0.0365	0.02	-0.107	-0.1105	-0.103	0.3875	0.57	0.0345	0.495	0.425	-0.034	0.512	0.28	0.4835	-0.505	-0.0905	0.8785	-0.257	0	-0.378	0.686	0.1445	0.229	1.5305	-0.353	-0.2985	-0.7975	1.995	0.46	0.564	0.148	0.231	0.478	0.899	0.028	0.474	0.445	1.297	0.443	0.141	1.262	0.129	0.243	0.127	0.618	1.359	0.648	0.183	0.529	0.273	0.214	0.038	0.633	2.089	0.474	0.864	0.994	0.061	0.899	0.255	0.599	0.546	0.374	1.063	0.194	0.909	0.382	0.252	0.603	0.379	0.667	0.221	0.042	0.209
RBM15B_539s	-0.71	NA	-0.074	0.168	-0.022	-0.399	NA	0.333	0.094	NA	NA	NA	NA	-0.348	0.207	-0.249	NA	NA	-0.059	0.511	-0.528	NA	NA	-0.175	NA	0.406	0.527	-0.154	NA	-0.416	-0.212	NA	0.042	0.288	NA	-0.257	NA	NA	NA	-0.098	0.458	0.193	0.436	0.706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_552s	NA	-0.413	NA	0.874	NA	NA	-0.869	NA	0.206	0.045	1.309	0.084	0.284	NA	NA	-0.213	0.063	0.192	NA	-1.109	NA	-0.038	-0.219	NA	-0.679	NA	NA	0.105	-0.294	NA	NA	-0.632	0.382	NA	-0.855	-0.777	0.8	-0.066	-0.188	-0.055	NA	NA	0.413	NA	-0.051	0.229	-0.953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_562s	-0.866333333	-0.161666667	0.801666667	0.54	-0.078333333	0.296333333	-0.620333333	-0.327	-0.434	0.269666667	-0.079	-0.265333333	0.394	-0.496	0.110333333	-0.0875	-0.029	-0.616666667	-0.391333333	-0.543	0.234	0.25	-0.417	0.305666667	0.006666667	-0.339333333	-0.496666667	0.0985	-0.013333333	-0.212333333	-0.404666667	0.101	0.5435	-0.072666667	-0.570333333	0.022	-0.108	-0.451333333	-0.783666667	-0.702	-0.118	-0.482	0.3195	0.525333333	-0.392666667	-0.369333333	-0.399666667	1.346	0.242	0.83	0.117	0.202	0.161	1.083	0.359	0.375	0.362	1.071	0.437	0.024	0.279	0.101	0.067	0.238	0.265	0.826	0.494	0.677	0.123	0.195	0.042	0.624	0.904	2.083	0.121	0.312	1.247	0.242	0.221	0.093	0.464	0.425	0.054	1.608	0.126	1.038	0.222	0.58	1.027	0.095	1.111	0.183	0.462	0.562
RBM15B_609s	-1.06	0.125	0.227	0.743	-0.414	0.254	-0.259	-0.664	0.129	0.522	0.364	0.174	0.631	-1.036	0.022	-0.202	0.141	-0.785	-0.296	-0.33	-0.311	0.176	0.012	0.044	0.171	-0.246	0.003	-0.194	-0.254	-0.08	-0.653	-0.052	0.61	-0.723	-0.566	-0.272	0.517	-0.342	-0.146	0.074	-0.295	-0.309	-0.102	0.846	-0.049	-0.318	-0.251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_654s	-0.01	NA	0.4	NA	NA	0.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.299	NA	-0.28	0.244	NA	NA	-0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.263	NA	0.664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM15B_656s	0.176	-0.243	-0.229	0.082	-0.466	-0.457	-0.181	0.062	-0.795	-0.679	-0.334	-0.659	0.018	-0.046	0.31	-0.456	0.399	-0.553	-0.189	-0.106	-0.093	-0.503	-0.16	0.352	-1.222	-1.11	0.977	1.411	-0.968	-0.152	-0.483	0.146	-0.406	1.047	-0.211	0.88	-0.477	-0.27	-1.209	-0.142	-0.142	-0.432	-0.383	-0.212	-0.618	-0.229	-0.437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
