Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RERE_1106s	0.226	-0.227	0.467	-0.307	-0.25	0.468	0.078	-0.198	-0.094	0.194	0.314	0.519	-0.063	-0.191	0.433	-0.497	0.147	-0.152	-0.09	0.308	-0.18	0.168	0.248	0.317	0.064	0.413	0.554	-0.309	0.102	0.495	0.137	0.212	-0.236	0.004	0.215	0.017	0.543	0.017	0.126	0.07	0.246	0.389	-0.151	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_1113s	0.226	-0.227	0.467	-0.307	-0.25	0.468	0.078	-0.198	-0.094	0.194	0.314	0.519	-0.063	-0.191	0.433	-0.497	0.147	-0.152	-0.09	0.308	-0.18	0.168	0.248	0.317	0.064	0.413	0.554	-0.309	0.102	0.495	0.137	0.212	-0.236	0.004	0.215	0.017	0.543	0.017	0.126	0.07	0.246	0.389	-0.151	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_1115s	0.226	-0.227	0.467	-0.307	-0.25	0.468	0.078	-0.198	-0.094	0.194	0.314	0.519	-0.063	-0.191	0.433	-0.497	0.147	-0.152	-0.09	0.308	-0.18	0.168	0.248	0.317	0.064	0.413	0.554	-0.309	0.102	0.495	0.137	0.212	-0.236	0.004	0.215	0.017	0.543	0.017	0.126	0.07	0.246	0.389	-0.151	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_120t	-0.553	-0.669	0.31	-0.941	NA	-0.03	NA	NA	0.429	1.015	NA	NA	0.713	NA	NA	-0.253	-0.447	NA	NA	0.133	NA	0.558	NA	0.447	NA	0.046	0.367	0.137	0.112	0.099	NA	-0.027	-0.138	NA	0.159	-0.663	NA	0.062	NA	-0.283	NA	-0.423	0.047	1.295	-2.049	-3.694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_1266s	-0.863	0.1655	0.23	-0.255	0.089	0.033	-0.352333333	-0.19	0.1175	-0.1925	0.011	0.449666667	0.1625	-0.14	-0.073	0.0195	-0.063	-0.024	-0.7155	0.363	0.1805	0.5355	0.077666667	0.6	-0.036333333	-0.2945	-0.721	0.2165	-0.1265	-0.24	0.19	0.435	-0.594	-0.029	0.5915	0.463	-0.161333333	-0.462	-0.463	0.7225	0.3225	-0.416	-0.133	-0.3775	-0.069	-0.2845	-0.1505	1.639	0.651	0.765	0.639	0.143	0.286	0.706	0.113	0.753	0.794	0.772	0.654	0.026	0.711	0.054	0.076	0.178	0.326	1.392	NA	0.172	0.194	0.017	0.383	0.308	0.183	1.633	0.631	0.64	0.916	0.238	0.608	0.939	0.778	0.814	0.134	1.171	0.438	0.881	0.487	0.045	0.717	0.243	1.358	0.438	0.363	0.015
RERE_281s	NA	NA	NA	NA	NA	NA	-0.521	NA	NA	NA	-0.112	-0.373	NA	NA	NA	NA	NA	0.296	NA	NA	NA	NA	0.329	NA	0.192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.538	NA	-1.057	NA	NA	NA	NA	NA	-0.629	-0.566	-0.477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_40s	0.202	NA	-0.065	-1.336	NA	0.073	0.358	NA	0.489	NA	-1.352	0.06	NA	NA	NA	-0.8265	NA	-0.582	NA	-0.1065	NA	NA	-0.37	0.48	-0.567	0.006	0.946	1.112	NA	0.034	NA	NA	-0.4605	NA	NA	-0.446	0.485	NA	-1.368	-0.7135	NA	-0.086	-0.558	0.054	-0.601	-0.718	NA	NA	NA	NA	0.385	NA	NA	NA	NA	0.15	NA	NA	NA	NA	NA	NA	0.032	NA	NA	NA	0.231	NA	NA	NA	NA	NA	NA	NA	0.332	NA	NA	NA	NA	0.31	NA	NA	0.673	NA	NA	NA	0.029	NA	NA	0.259	NA	NA	NA	NA
RERE_53s	-0.614	-0.135	0.719	-0.801333333	0.340333333	-0.313	-0.328	-0.403333333	0.397666667	0.3155	-0.114	-0.14	0.5235	-0.493	0.062666667	0.059666667	-0.0965	-0.273	-0.626333333	0.174333333	-0.085	0.7305	-0.361	0.0635	-0.061	-0.17575	0.01375	0.364333333	-0.2115	-0.459	-0.646333333	0.555	0.100333333	-0.121	0.1265	-0.795666667	0.2945	0.309	-1.4745	-0.600333333	0.488333333	-0.59425	0.472	0.5755	-0.466	-0.8315	NA	0.142	0.396	0.324	0.681	0.054	0.093	0.444	0.365	0.721	0.34	0.458	0.631	0.025	0.248	0.07	0.208	0.121	0.349	0.915	0.298	0.107	0.095	0.027	0.334	0.39	0.344	0.249	0.216	0.791	0.635	0.159	0.007	0.22	0.333	0.076	0.435	0.804	0.328	0.73	0.33	0.223	0.314	0.22	0.603	0.001	0.264	NA
RERE_56s	-0.614	-0.135	0.719	-0.801333333	0.340333333	-0.313	-0.328	-0.403333333	0.397666667	0.3155	-0.114	-0.14	0.5235	-0.493	0.062666667	0.059666667	-0.0965	-0.273	-0.626333333	0.174333333	-0.085	0.7305	-0.361	0.0635	-0.061	-0.17575	0.01375	0.364333333	-0.2115	-0.459	-0.646333333	0.555	0.100333333	-0.121	0.1265	-0.795666667	0.2945	0.309	-1.4745	-0.600333333	0.488333333	-0.59425	0.472	0.5755	-0.466	-0.8315	NA	0.142	0.396	0.324	0.681	0.054	0.093	0.444	0.365	0.721	0.34	0.458	0.631	0.025	0.248	0.07	0.208	0.121	0.349	0.915	0.298	0.107	0.095	0.027	0.334	0.39	0.344	0.249	0.216	0.791	0.635	0.159	0.007	0.22	0.333	0.076	0.435	0.804	0.328	0.73	0.33	0.223	0.314	0.22	0.603	0.001	0.264	NA
RERE_577s	0.31	NA	0.094	NA	NA	-0.241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.056	NA	-0.478	-0.045	NA	NA	-0.913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.37	NA	0.128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_580s	0.538	-0.01	0.439	NA	NA	0.089	0.158333333	NA	NA	0.487	-0.148	0.839333333	0.193	NA	NA	NA	0.075	0.1175	NA	NA	NA	-0.132	-0.099333333	0.938	0.020666667	0.574	-0.479	NA	0.005	-0.045	NA	0.13	NA	NA	-0.87	NA	0.113	-0.794	-0.971	NA	NA	-0.024	NA	0.181	0.456	0.181	0.599	NA	NA	NA	NA	NA	NA	0.444	NA	NA	NA	0.181	0.294	NA	NA	NA	NA	NA	0.839	NA	NA	NA	NA	0.394	NA	0.147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.203	NA	0.382	NA	NA	NA	NA	NA	0.233	0.042	0.209
RERE_599t	-0.626	NA	0.66	NA	NA	-0.241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.062	NA	0.187	-0.354	NA	NA	-0.258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009	NA	0.584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_600s	0.527	-0.687	-0.0825	-0.048	-0.036	0.126	0.778	0.114	-0.832	1.053	0.302	1.421	0.184	0.644	0.384	0.067	-0.052	-1.165	1.409	0.686	-0.707	0.302	0.561	0.07	-0.759	0.25	1.0485	1.304	1.204	0.0435	-0.29	0.99	0.316	0.671	-0.196	1.519	1.67	-0.302	0.691	-0.823	0.363	0.499	0.586	0.979	-0.443	-0.58	-1.043	1.631	NA	1.05	NA	NA	0.519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011	NA	0.089	1.983	NA	NA	0.426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.693	NA	0.559	NA	NA	NA
RERE_613s	-0.196666667	-0.0055	0.169333333	-0.251	-0.1545	-0.478	-0.232333333	-0.427	-0.21	0.5165	-0.359666667	0.902	-0.1845	-0.3745	0.103	-0.001	0.161	-0.830333333	0.152	0.1755	0.069	0.148	0.572666667	0.049	-0.552	-0.277333333	0.419333333	0.248	-0.17	-0.391666667	0.0905	0.4315	0.051	0.0705	-0.071	1.099	0.111666667	0.1465	-0.041	-0.0535	-0.012	0.575666667	0.209	0.501	0.2125	-0.217	-0.749	1.27	0.271	0.514	0.598	0.214	0.191	0.108	0.523	0.168	0.343	0.535	0.373	0.179	1.238	0.011	0.266	0.12	0.504	0.46	0.388	0.033	0.232	0.264	0.182	0.496	0.384	1.392	0.707	0.792	0.87	0.305	0.443	0.474	0.322	0.202	0.467	0.472	0.028	0.426	0.074	0.547	0.47	0.298	0.704	0.196	0.429	0.453
RERE_615s	0.345	NA	-0.531	NA	-0.053	-0.602	NA	-0.248	NA	NA	NA	NA	NA	0.547	0.306	NA	NA	NA	1.469	NA	-0.322	NA	NA	-0.207	NA	-0.997	0.067	NA	NA	1.152	0.03	NA	NA	0.534	NA	NA	NA	NA	NA	NA	0.339	1.083	NA	-1.326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_641s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.235	0.28	-0.451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_642s	-1.16	NA	0.16	-0.817	-0.121	-0.64	-0.681	-0.54	0.91	NA	-0.629	0.267	NA	-1.44	0.324	0.086	NA	-0.906	0.725	-0.244	0.107	NA	0.249	-0.051	-0.308	-0.421	0.217	0.037	NA	-0.673	-0.535	NA	-0.088	-0.252	NA	-0.01	0.122	NA	-0.681	0.372	-0.359	-0.046	0.259	0.782	-0.38	-0.23	-1.759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RERE_656s	-1.0845	-0.0405	0.3265	-0.9425	-0.4635	-0.253	-0.5175	-0.6945	-0.009	0.193	-0.5305	0.7005	0.224	-1.0845	0.092	0.1155	-0.0295	-0.8895	-0.5165	-0.139	-0.0125	-0.298	0.219	-0.165	-0.5135	-0.5635	-0.565	0.0805	-0.707	-0.739	-0.371	-0.1375	-0.2945	-0.337	-0.7075	0.0555	-0.1915	-0.0585	-0.767	0.0305	-0.432	-0.2455	-0.0105	0.562	-0.0075	0.0165	-0.3095	1.565	0.066	0.77	0.503	0.474	0.178	0.938	0.846	0.455	0.499	0.962	0.381	0.147	0.607	0.146	0.091	0.166	0.474	1.628	0.634	0.496	0.102	0.025	0.079	0.231	0.503	2.397	0.962	0.974	0.619	0.277	0.808	0.421	0.656	0.276	0.866	1.235	0.275	1.107	0.622	0.656	0.8	0.32	1.078	0.473	0.132	0.75
RERE_658t	NA	-0.148	NA	NA	NA	NA	0.12	NA	NA	0.585	-0.184	0.955	0.382	NA	NA	NA	-0.133	-0.73	NA	NA	NA	-0.129	0.423	NA	-0.682	NA	NA	NA	0.124	NA	NA	0.47	NA	NA	-0.594	NA	0.739	0.066	-0.109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
