Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
ARFGEF2_1015s	1.728	0.592	-0.134	NA	-0.199	-0.099	-0.317	0.922	NA	-1.046	0.64	-0.093	-0.268	1.522	-0.63	NA	-0.07	-0.404	-0.115	NA	-0.132	-0.676	-0.025	-0.219	0.168	0.118	-0.719	NA	-0.282	-0.402	-0.912	-0.398	NA	-0.245	0.47	NA	-0.541	0.151	-0.021	NA	-0.649	-1.272	NA	-0.886	-0.473	-0.633	-0.659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_1017s	1.886	NA	-0.291	-0.27	0.391	-0.323	0.527	0.069	-0.325	NA	1.081	0.215	NA	1.01	-0.267	0.65	NA	0.44	0.297	0.474	-0.788	NA	0.464	0.267	-0.334	0.026	0.703	-0.483	NA	0.264	0.031	NA	0.367	0.397	NA	0.752	-0.542	NA	-0.403	-0.503	-0.846	0.083	0.443	-0.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_1528s	-1.219	0.365	0.324	0.614	0.741	-1.137	1.178	0.024	0.311	-0.134	0.254	-0.023	-0.644	5e-04	-0.0385	0.327	-0.328	-0.6	-0.35	0.379	-0.2445	-0.612	0.444	0.12	-0.375	0.215	0.205	-1.044	0.171	0.149	0.2945	-0.312	-0.338	-0.429	-0.181	1.511	0.081	0.373	1.071	0.468	-0.8535	0.495	-0.885	-0.429	-0.123	-0.673	-0.493	NA	NA	NA	NA	0.358	NA	NA	0.399	NA	NA	NA	NA	NA	0.104	0.267	NA	NA	NA	0.39	NA	0.162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.295	NA	NA	0.342	NA	NA	NA	NA	NA	NA	0.408	NA	NA	NA	NA	NA	NA
ARFGEF2_218s	-0.028	0.123	-0.025	-0.068	-0.322	-0.316	0.091	-0.202	0.304	-0.812	0.376	-0.555	-0.583	0.267	-0.093	0.018	-0.228	-0.087	-0.522	0.442	-0.76	-0.31	0.55	-0.021	-0.357	-0.2	0.24	0.225	0.224	-0.388	-0.165	0.006	-0.16	0.28	0.122	0.758	-0.458	0.25	-0.129	0.452	-1.082	0.006	-0.111	-0.879	-0.133	0.419	-1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_227s	-0.619	0.047	0.168	-0.027	0.5645	-0.503	0.394	-0.1315	-0.144	-0.398	0.382	-0.0415	-0.3335	0.3945	-0.0255	0.2525	-0.3545	-0.0915	-0.1325	0.1935	-0.3315	-0.323	0.4315	0.035	-0.011	-0.0705	-0.059	-0.466	0.338	-0.2915	-0.428	-0.1995	-0.08	-0.133	-0.1385	0.806	-0.008	0.3325	0.252	0.3235	-0.7375	0.0435	0.004	-0.6335	-0.277	-0.397	-2.1095	0.836	0.107	0.273	0.058	1.254	0.264	0.429	0.1	0.634	0.585	0.008	0.726	0.353	0.18	0.095	0.332	0.179	0.006	0.551	0.351	0.606	0.018	0.168	0.079	0.489	0.183	0.423	0.977	0.161	0.136	0.372	0.291	0.113	0.584	0.368	0.068	0.636	0.117	0.539	0.182	0.487	0.053	0.163	0.347	0.204	1.154	0.325
ARFGEF2_240s	NA	NA	NA	NA	NA	NA	-0.53	NA	NA	NA	0.583	-0.234	NA	NA	NA	NA	NA	0.766	NA	NA	NA	NA	0.124	NA	-0.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.788	NA	0.708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_243t	NA	0.313	NA	NA	NA	NA	NA	NA	NA	0.067	NA	NA	-0.168	NA	NA	NA	-0.361	NA	NA	NA	NA	-0.062	NA	NA	NA	NA	NA	NA	0.664	NA	NA	-0.266	NA	NA	0.324	NA	NA	0.319	NA	NA	NA	NA	NA	NA	1.112	1.649	-0.916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_244t	NA	0.313	NA	NA	NA	NA	-0.7075	NA	NA	0.067	0.4555	-0.4545	-0.168	NA	NA	NA	-0.361	0.4335	NA	NA	NA	-0.062	0.095	NA	-0.275	NA	NA	NA	0.664	NA	NA	-0.266	NA	NA	0.324	NA	0.323	0.319	0.5485	NA	NA	NA	NA	NA	0.7745	1.3755	-0.5955	NA	NA	NA	NA	NA	NA	0.251	NA	NA	NA	0.18	0.312	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA	0.041	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.658	NA	0.226	NA	NA	NA	NA	NA	0.477	0.387	0.453
ARFGEF2_277s	-0.092	0.229	0.12	-0.068	0.068	-0.47	0.36	0.114	0.27	-0.253	0.523	-0.016	-0.339	0.503	0.212	0.171	-0.121	0.05	0.046	-0.25	-0.472	-0.551	0.546	0.075	0.139	-0.012	0.26	0.045	0.212	-0.058	-0.25	-0.198	-0.256	0.218	-0.069	0.931	-0.278	0.286	0.4	-0.028	-1.039	0.163	-0.553	-0.691	-0.341	0.24	0.453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARFGEF2_349s	NA	0.94	NA	NA	0.226	NA	NA	0.354	NA	0.675	NA	NA	0.674	-0.135	0.133	NA	0.966	NA	0.265	NA	-0.246	0.98	NA	NA	NA	NA	NA	NA	1.156	NA	0.112	0.868	NA	0.237	0.826	NA	NA	1.156	NA	NA	0.24	NA	NA	NA	-0.574	-0.541	-0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
