Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
SAFB_11s	NA	0.063	NA	0.111	NA	NA	NA	NA	0.132	0.174	NA	NA	0.395	NA	NA	-0.145	-0.233	NA	NA	0.102	NA	0.354	NA	NA	NA	NA	NA	-0.333	0.38	NA	NA	0.014	-0.053	NA	0.39	-0.281	NA	0.133	NA	-0.345	NA	NA	0.078	NA	0.579	0.274	0.471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_195s	-0.316	-1.305	0.161	-0.602	NA	-0.454	0.24	NA	0.069	-0.486	-0.356	0.021	0.622	NA	NA	-1.367	0.632	0.364	NA	-0.382	NA	-0.174	0.189	0.293	-0.112	-0.057	0.269	-0.696	-0.924	-0.096	NA	-0.274	-0.54	NA	0.22	0.329	0.134	-0.136	0.042	-0.889	NA	0.116	-0.392	0.441	-0.692	-0.866	-1.225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_196s	-0.579	-1.35	0.375	-0.919	-0.058	-0.291	0.245	0.456	0.265	0.174	-0.042	-0.026	0.624	0.089	0.678	-0.666	-0.094	0.379	0.148	-0.762	-0.188	0.56	0.188	0.134	-0.094	0.067	0.311	-1.161	-0.084	-0.134	-0.393	0.241	-0.765	-0.225	0.264	-0.117	0.212	-0.03	0.081	-1.276	1.415	0.409	-0.732	0.901	-1.168	-1.271	-1.943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_227s	NA	NA	NA	-1.04	NA	NA	NA	NA	-1.001	NA	NA	NA	NA	NA	NA	-0.803	NA	NA	NA	0.078	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	-1.062	NA	NA	-0.72	NA	NA	NA	-0.586	NA	NA	-0.598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_234s	-0.59075	-1.031333333	0.11125	-0.495	0.0675	-0.21225	-0.062666667	-0.002	0.394333333	-0.080333333	-0.959666667	-0.163	0.489666667	0.3835	-0.0435	-0.135	-0.421666667	0.108666667	0.405	0.102	-0.1365	0.266666667	-0.223333333	-0.3365	-0.021	0.2545	-0.44125	0.183	-0.132	0.09025	-0.227	0.123333333	-0.216	-0.0415	0.114	-0.351	0.047333333	-0.000666667	-0.534666667	-0.456333333	0.5965	0.01425	-0.21	0.77875	-0.434666667	-0.483	-0.490333333	1.022	1.011	0.374	0.103	0.029	0.728	0.286	0.325	0.643	0.343	0.601	0.26	0.167	0.022	0.156	0.22	0.572	0.298	0.578	0.452	0.449	0.131	0.07	0.575	0.303	0.202	1.166	0.173	0.739	0.391	0.107	0.356	0.21	0.043	0.382	0.012	0.449	0.177	0.578	0.561	0.722	0.203	0.145	0.222	0.854	1.117	0.801
SAFB_235s	NA	-1.45	NA	NA	NA	NA	NA	NA	NA	-0.281	NA	NA	0.87	NA	NA	NA	0.172	NA	NA	NA	NA	0.466	NA	NA	NA	NA	NA	NA	-0.982	NA	NA	-0.265	NA	NA	0.889	NA	NA	-0.138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_247s	-0.6005	-0.1335	-0.427	-0.2605	-0.0405	-0.294	-0.054	0.2055	0.1125	0.117	-0.951	0.082	0.282	-0.501	-0.0895	-0.0465	-0.375	-0.381	0.2905	0.321	-0.0095	0.292	-0.1645	-0.406	0.1555	0.0605	-0.2395	0.0475	0.006	-0.074	0.133	0.2785	0.2835	0.0695	-0.165	-0.182	0.076	-0.2105	-0.058	-0.272	0.523	0.0265	-0.0205	0.7015	-0.698	-0.7175	-1.392	0.383	0.084	0.437	0.101	0.117	0.219	0.051	0.197	0.042	0.378	0.233	0.011	0.064	0.04	0.204	0.26	0.578	0.037	0.47	0.923	0.489	0.416	0.128	0.612	0.021	0.037	0.241	0.033	0.074	0.047	0.148	0.071	0.013	0.499	0.516	0.049	0.078	0.169	0.19	0.352	0.296	0.071	0.192	0.313	0.512	0.538	0.516
SAFB_24s	0.168	0.355	0.143	-0.03	-0.378	0.227	-0.277	-0.186	-0.017	-0.193	-0.605	-0.404	-0.029	-0.245	-0.289	-0.509	-0.035	-0.667	-0.253	-0.057	0.625	0.074	-0.266	0.313	0.161	0.102	0.075	-0.466	0.5	-0.036	0.439	0.246	-0.158	2.02	-0.085	-0.285	-0.323	-0.062	-0.23	-0.107	0.167	0.071	-0.236	-0.263	0.299	-0.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_331s	NA	NA	NA	NA	NA	NA	0.246	NA	NA	NA	-0.33	0.435	NA	NA	NA	NA	NA	0.868	NA	NA	NA	NA	-0.157	NA	-0.223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.072	NA	0.467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_340t	NA	-0.862	NA	NA	NA	NA	NA	NA	NA	0.953	NA	NA	0.164	NA	NA	NA	0.377	NA	NA	NA	NA	0.998	NA	NA	NA	NA	NA	NA	0.146	NA	NA	-0.608	NA	NA	-0.229	NA	NA	-0.937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAFB_344s	-0.8015	-0.887333333	0.1515	-0.346	-0.228	0.118	0.3825	-0.0915	1.5085	0.201666667	-0.416	0.538	0.181333333	-0.093	-0.257	-0.2885	-0.118	0.644	-0.338	NA	0.2725	0.432666667	-0.1725	-0.4265	-0.3055	-0.0065	-0.359	-1.3185	-0.222666667	-0.436	0.411	-0.518333333	-0.6495	-0.6245	-0.043666667	-0.7535	0.9765	-0.044666667	0.124	0.491	0.566	-0.055	-0.567	0.5155	-1.617	-2.432	-0.944	0.272	0.289	0.627	0.058	0.621	0.578	0.193	0.861	0.547	0.905	0.122	0.146	0.346	NA	0.404	0.08	0.552	0.317	1.602	NA	0.316	0.633	0.022	0.077	0.117	0.019	0.332	0.467	0.505	0.542	0.379	0.143	0.217	0.906	0.191	0.664	0.135	0.827	0.485	0.263	1.181	0.491	0.488	1.248	NA	NA	NA
SAFB_373s	1.273	0.061	-0.093	0.132	-0.334	0.339	-0.341	0.282	0.261	0.008	-0.202	-1.147	0.342	0.53	-0.38	0.141	-0.224	-0.403	-0.02	0.154	-0.041	0.528	-0.149	0.173	-0.486	0.206	0.409	0.489	-0.016	0.055	-0.523	0.398	0.372	0.261	0.148	0.145	-1.295	-1.377	0.352	-0.554	0.327	0.319	0.588	0.293	-1.763	-2	-1.857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
