Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
IRS2_1100s	-0.905	-0.701	-0.965	2.873	-0.44	-0.953	0.626	-1.504	-0.786	-1.052	-2.391	-1.867	-1.109	-0.497	-1.845	-0.623	-0.76	-0.822	1.101	0.039	-1.159	-1.348	0.309	-0.732	-0.97	-1.724	-0.087	-0.713	0.396	-1.095	0.142	-0.881	-0.993	0.61	-0.505	0.512	-1.865	-0.488	0.344	1.197	-0.948	-0.027	-0.408	-0.057	0.086	0.488	0.721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_1102t	NA	NA	NA	NA	-0.247	NA	NA	-1.877	NA	NA	NA	NA	NA	-0.467	-1.954	NA	NA	NA	1.186	NA	-0.802	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.316	NA	NA	0.767	NA	NA	NA	NA	NA	NA	-0.612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_1174s	-0.288	-1.449	0.84	3.318	-0.043	-0.757	-0.478	-0.524	0.0495	-0.538	-1.08	-0.742	-1.326	-0.864	-0.562	-0.485	-0.362	-1.133	-0.038	-0.5125	-0.626	-1.435	-0.088	-0.238	0.281	0.14	-1.069	-0.893	-0.13	-0.21	0.832	-0.859	-0.9745	-0.316	-0.306	-0.355	-1.464	-0.793	-0.418	1.3185	-0.37	-0.328	-0.0315	-0.119	NA	NA	NA	NA	NA	NA	0.054	NA	NA	NA	NA	0.359	NA	NA	NA	NA	NA	NA	0.339	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	0.427	NA	NA	NA	NA	0.704	NA	NA	0.714	NA	NA	NA	0.469	NA	NA	0.214	NA	NA	NA	NA
IRS2_1176s	NA	NA	NA	1.417	0.187	NA	NA	0.07	0.2375	NA	NA	NA	NA	0.403	-0.255	0.4155	NA	NA	0.739	0.144	0.118	NA	NA	NA	NA	NA	NA	-0.0085	NA	NA	0.189	NA	0.0135	0.354	NA	0.549	NA	NA	NA	0.7455	0.011	NA	0.19	NA	NA	NA	NA	NA	NA	NA	0.146	NA	NA	NA	NA	0.892	NA	NA	NA	NA	NA	NA	0.657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.177	NA	NA	NA	NA	0.59	NA	NA	0.352	NA	NA	NA	0.992	NA	NA	0.255	NA	NA	NA	NA
IRS2_1186s	-1.207	NA	0.447	2.865	NA	1.023	NA	NA	-1.005	NA	NA	NA	NA	NA	NA	-0.667	NA	NA	NA	NA	NA	NA	NA	-0.361	NA	-1.051	-0.532	-1.965	NA	-0.925	NA	NA	-0.837	NA	NA	0.628	NA	NA	NA	1.112	NA	-0.536	-0.787	-0.212	-0.564	-0.547	-0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_1203s	NA	NA	NA	2.078	NA	NA	NA	NA	0.449	NA	NA	NA	NA	NA	NA	-0.03	NA	NA	NA	0.377	NA	NA	NA	NA	NA	NA	NA	-0.249	NA	NA	NA	NA	-0.672	NA	NA	0.115	NA	NA	NA	1.056	NA	NA	-0.185	NA	0.801	1.437	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_306s	-0.549	0.49	-0.424	2.217	0.063	0.502	0.572	-0.757	0.091	-0.109	-0.21	-0.657	-0.246	0.008	-0.307	-0.058	0.184	0.394	1.234	-0.245	-0.511	-0.294	0.869	0.108	-0.311	-0.864	0.245	-0.282	0.358	-0.299	0.237	-0.175	-0.884	0.314	0.297	0.689	-0.333	0.189	0.244	1.21	-0.021	0.286	-0.13	-0.21	0.008	0.85	2.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_346s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.104	0.489	0.407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_363t	-0.324	NA	-1.962	NA	-0.508	-0.381	NA	-2.304	NA	NA	NA	NA	NA	0.375	-2.091	NA	NA	NA	2.198	NA	-1.674	NA	NA	-0.247	NA	-1.785	0.208	NA	NA	-0.485	0.634	NA	NA	1.324	NA	NA	NA	NA	NA	NA	-0.483	0.534	NA	0.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRS2_365s	1.44	-0.42	-0.738	2.704	0.487	0.575	0.619	0.077	-0.604	-0.096	-0.836	-0.902	-0.301	0.87	0.166	-0.125	-0.419	-0.378	0.836	-0.097	0.018	-0.376	0.127	0.741	-1.028	0.09	1.681	-0.297	0.787	0.499	0.156	-0.003	-0.93	0.456	0.145	0.8	-0.881	-0.404	0.685	0.809	0.335	0.806	-0.169	0.831	-0.003	0.139	1.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
