Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
REPS1_118s	-0.362	0.285	0.487	-0.338	0.091	0.299	0.25	0.019	-0.1625	0.071	1.444	0.201	-0.056	-0.027	0.049	-0.2025	0.081	0.491	0.922	-0.254	0.773	0.01	0.657	-0.352	0.246	-0.189	0.018	-0.0145	-0.078	0.229	-0.198	-0.148	-0.0055	0.46	-0.435	-0.0125	-0.283	0.085	-0.066	-0.362	0.185	0.084	-0.443	0.035	0.189	0.352	0.577	NA	NA	NA	0.127	NA	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA	0.03	NA	NA	NA	0.173	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA	0.186	NA	NA	0.05	NA	NA	NA	0.201	NA	NA	0.215	NA	NA	NA	NA
REPS1_143s	-0.041	1.097	0.868	-0.372	0.1	-0.293	0.418	-0.224	-0.119	0.855	-0.292	0.761	-0.516	-0.181	0.365	-0.021	0.86	-0.221	1.967	-0.274	-0.321	-0.332	0.795	0.22	0.813	0.183	-0.189	-0.46	-0.286	0.07	-0.149	0.286	-0.916	-0.802	-0.964	0.797	0.297	0.509	0.126	0.212	-0.193	-0.534	-0.784	-0.084	-0.307	-0.07	0.429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_166s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.478	0.744	-0.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_174s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.478	0.744	-0.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_272s	-0.114	0.254	0.419	-0.582	0.46	0.328	0.211	-0.287	-0.31	0.097	0.731	0.562	-0.275	0.257	-0.155	0.108	0.04	-0.194	0.538	0.143	0.44	-0.001	-0.047	-0.015	0.074	0.046	0.26	-0.261	0.236	-0.014	-0.159	0.126	-0.804	0.564	-0.056	0.474	-0.133	0.1	-0.019	-0.336	-0.676	-0.457	-0.535	-0.34	-0.218	-0.175	-1.812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_273s	-0.235	0.5665	-0.2135	-0.227	0.2755	-0.276	0.396	-0.1645	0.085	-0.258	1.4325	0.086	-0.1815	-0.003	-0.2015	0.2015	-0.471	-0.1885	0.9475	0.0875	-0.2045	0.0655	0.078	-0.3745	-0.4285	-0.247	0.45	0.477	0.141	-0.12	-0.37	0.073	-0.1495	0.3605	-0.487	0.0385	-0.7575	0.2105	-0.271	-0.087	-0.9785	-0.1085	-0.3005	-0.229	0.2135	0.5545	-0.8565	0.171	0.442	0.894	0.502	0.261	0.854	0.262	0.173	0.559	0.502	0.992	0.673	0.132	0.368	0.066	0.132	0.723	0.008	0.579	0.078	0.911	0.094	0.177	0.508	0.711	0.414	0.269	1.044	0.134	0.15	0.298	0.075	0.926	0.288	0.61	0.616	0.883	0.156	0.356	0.352	0.428	0.493	0.332	0.157	0.61	1.032	1.351
REPS1_392s	-0.083	0.197	-0.153	-0.082	0.199	0.241	0.492	0.21	-0.439	0.013	0.91	0.501	0.049	-0.03	-0.305	0.141	-0.045	-0.205	1.799	0.178	0.002	0.559	0.191	0.127	-0.37	-0.025	0.858	0.443	0.203	0.528	0.152	0.205	0.108	0.729	-0.504	0.279	-0.034	0.086	0.144	-0.074	-0.606	0.035	-0.34	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_401s	NA	-0.37	NA	NA	NA	NA	NA	NA	NA	-0.138	NA	NA	-0.04	NA	NA	NA	-0.117	NA	NA	NA	NA	0.074	NA	NA	NA	NA	NA	NA	-0.022	NA	NA	-0.099	NA	NA	0.347	NA	NA	-0.592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_481t	NA	0.539	NA	-0.167	NA	NA	NA	NA	0.0885	0.183	NA	NA	-0.089	NA	NA	-0.0415	0.152	NA	NA	-0.319	NA	0.078	NA	NA	NA	NA	NA	0.0635	-0.726	NA	NA	0.319	-0.2555	NA	-0.664	-0.204	NA	0.478	NA	0.1335	NA	NA	-0.17	NA	-0.021	0.366	NA	NA	NA	NA	0.092	NA	NA	NA	NA	0.424	NA	NA	NA	NA	NA	NA	0.03	NA	NA	NA	0.091	NA	NA	NA	NA	NA	NA	NA	0.074	NA	NA	NA	NA	0.373	NA	NA	0.117	NA	NA	NA	0.158	NA	NA	0.027	NA	NA	NA	NA
REPS1_482s	0.19	NA	-0.577	0.068	0.694	0.095	1.474	0.568	0.084	NA	0.869	1.39	NA	0.366	0.209	0.0975	NA	-0.224	3.626	0.38	0.7	NA	0.763	0.764	-0.055	0.427	1.188	0.716	NA	0.941	0.248	NA	-0.387	0.982	NA	0.2715	0.946	NA	1.299	-0.182	0.498	1.129	-0.017	1	0.589	0.767	1.413	NA	NA	NA	0.28	NA	NA	NA	NA	0.161	NA	NA	NA	NA	NA	NA	0.108	NA	NA	NA	0.549	NA	NA	NA	NA	NA	NA	NA	0.775	NA	NA	NA	NA	0.356	NA	NA	0.957	NA	NA	NA	0.072	NA	NA	0.429	NA	0.446	0.213	1.838
REPS1_521s	0.796	NA	1.616	NA	NA	1.057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.554	NA	0.041	0.435	NA	NA	0.042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006	NA	-0.033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REPS1_535s	-0.543	0.218	0.655	0.414	NA	-0.4335	-0.1305	NA	0.265	0.265	-0.04	0.5115	0.133	NA	NA	0.269	0.351	-0.304	NA	-0.354	NA	-0.576	-0.4365	-0.0805	0.008	0.227	0.2875	-0.359	0.078	-0.6685	NA	0.129	0.246	NA	-0.188	1.451	-0.2	0.211	-0.0165	0.468	NA	-0.527	1.216	-0.177	NA	NA	NA	0.361	NA	0.723	NA	NA	0.496	0.243	NA	NA	NA	0.648	0.057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.274	0.432	0.164	0.222	0.132	NA	NA	0.575	NA	NA	NA	NA	NA	NA	0.211	NA	0.322	NA	NA	0.735	NA	0.416	NA	NA	NA
