Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
MARK3_374s	NA	NA	NA	0.178	NA	NA	NA	NA	-0.003	NA	NA	NA	NA	NA	NA	-0.211	NA	NA	NA	0.844	NA	NA	NA	NA	NA	NA	NA	0.632	NA	NA	NA	NA	-0.263	NA	NA	0.685	NA	NA	NA	0.56	NA	NA	0.186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_377s	NA	NA	NA	NA	0.206	NA	NA	-0.017	NA	NA	NA	NA	NA	0.615	0.352	NA	NA	NA	-0.074	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.037	NA	NA	0.04	NA	NA	NA	NA	NA	NA	-0.849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_384s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.363	1.245	1.072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_390s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.314	1.107	2.709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_419s	NA	NA	NA	NA	NA	NA	1.685	NA	NA	NA	-0.705	1.161	NA	NA	NA	NA	NA	0.707	NA	NA	NA	NA	0.826	NA	0.525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.851	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_469s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.845	1.294	0.884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_507t	0.342	0.661	0.031	0.419	0.068	-0.319	0.162	0.164	0.123	-0.231	-0.218	0.21	0.177	-0.119	-0.834	0.125	-0.022	-0.506	0.411	0.055	0.635	-0.264	0.247	-0.588	-0.08	-0.447	0.034	0.287	0.202	-0.153	-0.412	-0.056	-0.345	0.514	-0.286	-0.504	-1.543	0.447	-0.458	-0.015	-0.664	0.307	-0.211	0.497	0.538	1.022	0.871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_540s	NA	-0.042	NA	0.267	0.025	NA	0.778	0.279	0.196	0.258	0.513	0.126	0.24	0.495	0.013	0.095	0.126	0.314	0.044	0.247	-0.2	0.11	0.423	NA	0.126	NA	NA	0.038	0.116	NA	-0.143	0.087	0.495	0.406	0.167	-0.217	0.068	0.215	0.028	-0.177	-0.086	NA	-0.136	NA	0.544	0.497	1.902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_564t	0.164	1.385	0.257	0.188	-0.166	-0.274	0.428	-0.196	-0.437	0.395	0.736	0.704	-0.155	0.099	0.007	0.177	0.261	0.027	0.119	0.4	0.346	0.378	0.779	-0.335	0.494	0.077	-0.084	-0.058	0.16	-0.306	-0.562	0.417	0.293	-0.129	0.307	-0.738	-0.639	-0.158	0.254	-0.545	-0.777	0.209	-0.618	0.148	-0.173	0.113	1.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_583s	NA	NA	NA	0.537	NA	NA	NA	NA	-0.115	NA	NA	NA	NA	NA	NA	0.304	NA	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA	0.188	NA	NA	NA	NA	-0.116	NA	NA	-0.66	NA	NA	NA	0.325	NA	NA	-1.206	NA	1.176	1.598	2.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK3_601s	NA	0.947	NA	0.522	-0.117	NA	NA	-0.088	0.481	-0.629	NA	NA	-0.27	0.075	-0.985	0.18	-0.274	NA	-0.055	1.022	0.289	-0.172	NA	NA	NA	NA	NA	0.012	-0.178	NA	-0.444	0.398	-0.342	-0.108	-0.446	0.544	NA	0.107	NA	0.554	-1.59	NA	-1.118	NA	0.282	1.007	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
