Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
RCSD1_105s	-0.33	-2.613	0.347	1.08	NA	-1.931	-0.252	NA	-0.508	-0.42	-0.452	-0.136	-1.109	NA	NA	-0.047	-0.016	-2.64	NA	0.636	NA	-0.473	0.14	-0.165	-0.335	-0.547	1.589	2.734	0.248	0.003	NA	0.028	0.71	NA	-1.157	0.598	-2.466	-1.722	-1.082	-0.554	NA	0.205	-0.279	0.983	-0.37	-0.773	0.518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCSD1_116s	-0.9875	0.9115	0.2755	-0.0795	0.584	-0.385	1.1875	-0.1715	0.0915	0.1315	-0.387	0.4815	-0.36	-0.191	0.1715	0.522	-0.191	-0.572	0.2845	0.419	-0.676	0.13	0.394	-0.302	0.1275	-0.568	0.4775	-0.26	0.275	-0.213	0.111	0.4375	-0.394	-0.4405	-0.363	0.851	-0.6845	1.012	-0.259	0.5005	-0.181	-0.1385	-0.328	0.5065	0.6195	0.042	0.4755	0.074	0.407	0.124	0.163	0.006	0.017	0.074	0.078	0.322	0.028	0.12	0.057	0.208	0.359	0.192	0.017	0.086	0.208	0.005	0.103	0.11	0.156	0.035	0.035	0.07	0.156	0.146	0.069	0.086	0.137	0.206	0.046	0.32	0.006	0.335	0.011	0.103	0.164	0.327	0.111	0.494	0.185	0.11	0.203	0.071	0.048	0.36
RCSD1_120s	-0.893666667	0.49575	0.297	-0.208	0.577333333	-0.525	1.06875	-0.076333333	-0.00025	0.169	-0.6545	0.2955	-0.13825	-0.272666667	0.308333333	0.271	-0.10725	-1.03775	0.324333333	0.3655	-0.592333333	0.532	0.29	-0.245	0.139	-0.604666667	0.559	-0.3825	0.0425	-0.147333333	0.276333333	0.48825	-0.53575	-0.359	-0.2175	0.82325	-0.668	0.47475	0.26725	0.47025	-0.351666667	-0.111333333	-0.129	0.517	-0.0135	-0.547	0.83575	0.171	0.535	0.095	0.239	0.012	0.243	0.187	0.174	0.296	0.075	0.318	0.764	0.284	0.291	0.273	0.324	0.112	0.66	0.069	0.213	0.165	0.54	0.141	0.102	0.279	0.127	0.175	0.155	0.273	0.149	0.321	0.072	0.352	0.141	0.256	0.475	0.444	0.674	0.695	0.141	0.457	0.139	0.279	0.145	0.733	0.684	0.785
RCSD1_135s	NA	-0.78	NA	-0.296	NA	NA	NA	NA	-0.242	-0.374	NA	NA	-0.292	NA	NA	0.399	0.005	NA	NA	0.012	NA	0.124	NA	NA	NA	NA	NA	0.291	-0.17	NA	NA	-0.354	-0.856	NA	-0.154	0.364	NA	-0.13	NA	0.292	NA	NA	-0.586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCSD1_179s	-0.9795	-0.6365	0.1705	-0.3365	0.22	-0.433	0.155	-0.4935	-0.295	-0.2205	-0.7935	0.317	-0.3425	-0.3715	-0.3125	0.427	-0.529	-1.8695	0.5175	-0.147	-0.1705	0.5065	-0.106	-0.062	-0.3235	-1.019	0.133	-0.135	-0.462	-0.308	-0.046	-0.525	-0.6285	-0.1135	-0.7065	0.356	-1.6	0.5835	-0.4535	0.705	-0.7315	-0.4515	-0.856	0.2575	0.225	0.8295	0.584	0.251	0.234	0.028	0.149	0.017	0.308	0.912	0.121	0.127	0.043	0.292	0.421	0.023	0.544	0.383	0.054	0.034	0.54	0.301	0.035	0.623	0.091	0.174	0.052	0.276	0.086	0.765	0.475	0.399	0.054	0.098	0.18	0.218	0.018	0.127	0.485	0.314	0.064	0.644	0.132	0.094	0.104	0.147	0.275	0.051	0.254	0.228
RCSD1_17s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.081	0.027	0.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCSD1_216s	0.103	1.019	0.55	0.301	0.716	-0.659	0.12	0.1645	1.673	-0.305	-0.386	0.134	-0.1445	-0.35	0.6645	0.4285	-0.2065	-1.62	-0.455	0.6955	-0.3815	0.537	-0.047	0.011	-0.414	-0.48	0.71	1.01	-0.054	-0.553	0.1445	1.0035	0.003	0.9545	-0.243	0.6495	-1.289	0.7265	-0.169	0.309	-0.5755	-0.065	-0.1445	0.324	0.611	0.82	1.0185	NA	1.814	NA	0.252	0.907	NA	NA	0.39	2.184	0.004	NA	NA	0.282	0.269	0.364	0.327	0.185	NA	0.74	0.725	0.114	0.089	NA	NA	NA	NA	NA	0.163	0.458	NA	0.284	1.306	0.287	0.855	0.976	0.36	NA	0.793	NA	0.362	0.134	NA	0.206	NA	0.28	0.072	0.555
RCSD1_267s	-0.099	0.03575	-0.2115	0.555	0.32175	-0.17	0.772	0.01275	-0.61625	0.3205	-0.61375	0.3395	-0.36675	-0.19275	0.3095	0.27575	-0.0795	-1.016	0.9585	0.30425	-0.431	0.4455	0.073	0.6305	-0.37	-0.136	1.1265	-0.0754	0.626	0.318	0.2135	0.13825	-0.134333333	0.0845	-0.21	1.1582	-0.74325	0.57075	0.55775	0.4552	-0.28525	0.4145	-0.594	0.344	0.54025	0.15575	0.5335	0.528	0.126	0.221	0.231	0.193	0.177	0.211	0.419	0.562	0.357	0.312	0.293	0.21	0.492	0.05	0.305	0.315	1.182	0.31	0.375	0.358	0.207	0.359	0.846	0.183	0.297	0.036	1.167	0.581	0.078	0.154	0.478	0.779	0.579	0.647	0.301	0.551	0.409	0.159	0.198	0.581	0.39	0.607	0.033	0.261	0.419	0.45
RCSD1_268s	0.138666667	0.08475	-0.241	0.2728	0.39425	-0.28	0.768	0.048	-0.5846	0.4815	-0.3665	0.2945	-0.283	-0.2135	0.51375	0.1578	0.01175	-1.14025	0.976	0.473333333	-0.40125	0.304	0.23875	0.7885	-0.319	-0.11	1.327666667	-0.0784	0.35775	0.341	0.31125	0.265	0.04	0.041	0.012	1.039	-0.74175	0.535	0.422	0.26025	-0.39475	0.3825	-0.347666667	-0.034666667	0.4678	0.3224	0.5266	1.121	0.301	0.18	0.442	0.415	0.332	0.348	0.416	0.505	0.387	0.286	0.421	0.38	0.552	0.164	0.316	0.306	1.098	0.179	0.614	0.462	0.305	0.198	0.623	0.196	0.26	0.272	1.072	0.435	0.045	0.188	0.487	0.486	0.946	0.288	0.44	0.815	0.432	0.234	0.305	0.59	0.435	0.416	0.548	0.318	0.682	0.649
RCSD1_284s	0.607	0.289333333	0.374	0.26525	-0.009333333	-0.377	0.258666667	-0.179333333	-0.39425	-0.264666667	-0.398	-0.066333333	-0.301333333	-0.18	0.275333333	0.10525	-0.295666667	-1.684666667	0.767	0.594666667	-0.474333333	0.56	0.253666667	-0.283	-0.486	-1.252	0.78	1.20525	0.449333333	-0.672	-0.302	0.626333333	0.326666667	0.952666667	-0.305666667	0.88025	-1.537666667	-0.12	0.115666667	0.2225	-0.766333333	-0.013	-0.1975	-0.1275	0.769333333	1.196	1.382333333	1.167	0.399	NA	0.366	0.34	NA	0.542	0.299	0.514	0.43	0.361	0.224	0.026	0.497	0.346	0.075	0.366	0.909	0.282	0.41	0.345	0.127	0.246	NA	0.041	NA	0.58	0.41	0.632	NA	0.572	0.188	0.388	0.361	0.5	0.335	0.484	0.182	0.367	0.345	0.652	NA	0.244	0.752	0.077	0.381	0.603
