Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
PPFIBP1_312s	NA	NA	NA	NA	-0.499	NA	NA	0.6195	NA	NA	NA	NA	NA	-0.082	-1.7425	NA	NA	NA	-0.438	NA	0.6975	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8255	NA	NA	1.019	NA	NA	NA	NA	NA	NA	-1.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	0.122	NA	NA	NA	NA	NA	0.033	0.452	NA	NA	NA	0.085	NA	0.105	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.494	NA	NA	0.092	NA	NA	NA	NA	NA	NA	0.516	NA	NA	NA	NA	NA	NA
PPFIBP1_37s	0.198	NA	-0.385	NA	NA	-0.053	0.348	NA	NA	NA	0.196	-0.455	NA	NA	NA	NA	NA	-0.535	NA	NA	NA	NA	0.317	-1.369	-0.551	-1.269	-0.759	NA	NA	-0.499	NA	NA	NA	NA	NA	NA	-0.105	NA	-0.489	NA	NA	-0.363	NA	0.744	-0.035	0.108	-0.111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_387s	NA	NA	NA	-0.265	NA	NA	NA	NA	0.166	NA	NA	NA	NA	NA	NA	0.449	NA	NA	NA	0.876	NA	NA	NA	NA	NA	NA	NA	1.758	NA	NA	NA	NA	-0.19	NA	NA	-0.133	NA	NA	NA	-0.533	NA	NA	1.525	NA	-0.074	-0.091	-0.304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_448s	NA	NA	NA	-0.295	NA	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA	0.241	NA	NA	NA	0.617	NA	NA	NA	NA	NA	NA	NA	0.584	NA	NA	NA	NA	-0.515	NA	NA	-0.445	NA	NA	NA	-0.829	NA	NA	0.749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_466s	0.134	0.12	-0.121	-1.407	-0.319	0.087	0.116	0.5	-0.064	-1.164	-0.396	-1.66	-0.485	0.106	-0.85	0.217	-1.21	-1.384	-0.078	-0.059	0.307	0.649	0.431	-1.012	-0.672	-2.069	-2.078	1.535	-0.739	-0.938	-0.524	0.211	-0.709	0.837	-0.387	-0.711	-0.932	-0.648	-1.868	-1.874	-0.666	-0.293	1.363	1.157	0.028	0.584	-0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_523s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.862	-0.622	-0.315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_524s	1.088	NA	0.797	-0.872	NA	0.509	NA	NA	0.241	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	0.574	NA	NA	NA	-0.631	NA	-1.396	-2.066	0.741	NA	-0.506	NA	NA	-0.43	NA	NA	-0.689	NA	NA	NA	-1.178	NA	-0.282	0.544	1.244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_534s	NA	NA	NA	NA	NA	NA	-0.626	NA	NA	NA	-0.827	-1.773	NA	NA	NA	NA	NA	-1.218	NA	NA	NA	NA	1.273	NA	-0.934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.909	NA	-1.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1_601s	0.078	0.817	0.168	-0.405	NA	0.137	0.601	NA	0.098	-0.468	0.502	-0.81	0.094	NA	NA	0.625	-0.785	-0.403	NA	0.292	NA	0.519	0.527	-0.623	-0.312	-0.644	-0.496	0.847	0.024	-0.204	NA	0.57	-0.187	NA	-0.337	-0.544	-0.93	0.319	-1.236	-0.919	NA	-0.515	0.604	1.065	-0.536	-0.4115	-0.604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.462	0.474	NA
PPFIBP1_641s	NA	0.043	NA	NA	0.375	NA	NA	0.917	NA	-0.348	NA	NA	-0.342	2.529	-0.674	NA	-0.356	NA	0.53	NA	0.164	0.589	NA	NA	NA	NA	NA	NA	1.209	NA	-0.848	1.141	NA	1.035	0.912	NA	NA	-0.214	NA	NA	0.496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
