Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
BMP2K_1000t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_1002t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_1003s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_1029s	NA	-2.309	NA	NA	NA	NA	0.962	NA	NA	-0.063	-1.445	0.7	-0.04	NA	NA	NA	0.828	0.832	NA	NA	NA	-0.206	-0.438	NA	0.89	NA	NA	NA	-0.799	NA	NA	-1.22	NA	NA	1.821	NA	2.272	-1.61	1.091	NA	NA	NA	NA	NA	0.051	-1.349	0.383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_1107s	-0.21	0.077	-0.95	-0.3785	0.14	-0.806	0.60025	-0.241333333	-0.24	-0.297	0.1075	-0.101	-0.678	0.075666667	-0.185	-0.338	0.4025	-0.237	0.068	-0.5005	-0.209666667	-0.273	-0.16325	-0.461	-0.0305	0.062	-0.458	-0.096	-0.866	-0.502	1.118	-0.0235	-0.0495	-0.927333333	0.447	0.6535	1.05925	-0.3205	0.537	0.265	-0.835	0.062	-0.3685	-1.081	0.21275	-0.0305	0.28475	NA	0	NA	0.098	0.222	NA	0.292	0.185	0.154	0.223	0.174	0.223	0.099	0.192	0.021	0.074	0.281	0.402	0.167	0.206	0.126	0.103	0.106	NA	0.206	NA	NA	0.519	0.198	NA	0.542	0.243	0.177	0.221	0.018	0.094	0.212	0.194	0.262	0.363	0.158	NA	0.156	NA	0.183	0.319	1.907
BMP2K_1111s	-0.21	0.077	-0.95	-0.309	0.024	-0.806	0.7775	-0.139	-0.131	-0.455	0.107	-0.25	-0.748	-0.019	-0.197	-0.286	0.601	-0.3085	-0.0195	-0.646	-0.2505	-0.2	-0.133	-0.461	-0.1905	0.062	-0.458	0.271	-0.726	-0.502	1.431	0.148	0.076	-1.0145	0.46	0.587	1.09	-0.458	0.5115	0.522	-0.9165	0.062	-0.258	-1.081	0.2305	-0.232	0.0145	NA	NA	NA	NA	0.133	NA	0.235	0.074	NA	NA	0.276	0.014	NA	0.14	0.007	NA	NA	0.442	0.098	NA	0.148	NA	0.042	NA	0.07	NA	NA	NA	NA	NA	0.003	NA	NA	0.228	NA	NA	0.218	NA	0.402	NA	0.1	NA	NA	NA	0.127	0	1.125
BMP2K_14s	NA	NA	NA	NA	NA	NA	NA	-0.008	NA	NA	NA	NA	NA	-0.301	-0.535	NA	NA	NA	0.33	NA	-0.226	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.064	NA	NA	0.652	NA	NA	NA	NA	NA	NA	-0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_728s	-0.434	NA	-0.199	NA	-0.01	-1.513	-0.058	-0.904	NA	NA	-0.557	-0.137	NA	0.126	0.232	NA	NA	-0.276	-0.176	NA	0.402	NA	0.023	-0.709	-0.735	-0.287	-0.252	NA	NA	-0.928	0.875	NA	NA	-0.734	NA	NA	1.431	NA	-0.02	NA	-0.468	-0.09	NA	-1.511	0.93	0.667	-0.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_945s	NA	NA	NA	-0.305	NA	NA	NA	NA	0.041	NA	NA	NA	NA	NA	NA	-0.625	NA	NA	NA	-0.528	NA	NA	NA	NA	NA	NA	NA	1.987	NA	NA	NA	NA	0.009	NA	NA	1.1	NA	NA	NA	-0.33	NA	NA	-0.908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP2K_949s	-1.391	-3.143	-0.033	0.519	-0.227	-2.472	1.22	0.361	-0.507	-0.572	-1.699	-0.272	0.269	-0.198	0.697	-1.567	0.338	0.484	-0.919	-0.092	-0.6	-0.79	-0.087	-1.922	-0.698	-0.236	-0.258	0.815	-1.416	-1.385	0.875	-1.184	-0.97	-1.446	0.803	1.437	1.944	-1.33	1.233	-1.306	-0.988	-0.292	-0.253	-0.482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
