Phosphosite	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD1_Lin-	HD2_Lin-	HD3_Lin-	100232_sd	103342_sd	113971_sd	123804_sd	146218_sd	179016_sd	186481_sd	224143_sd	237983_sd	258135_sd	263578_sd	273919_sd	303642_sd	326772_sd	332131_sd	348685_sd	400220_sd	407992_sd	410324_sd	434640_sd	478908_sd	498463_sd	507202_sd	507696_sd	570755_sd	594368_sd	595704_sd	605322_sd	617776_sd	700717_sd	730817_sd	740266_sd	750152_sd	757199_sd	809653_sd	816067_sd	849660_sd	868231_sd	907786_sd	914247_sd	933124_sd	982009_sd	987523_sd	989176_sd	HD1_Lin-.1	HD2_Lin-.1	HD3_Lin-.1
NELFE_113s	NA	NA	NA	NA	-0.06	NA	NA	-0.019	NA	NA	NA	NA	NA	-0.862	0.218	NA	NA	NA	0.399	NA	0.396	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.482	NA	NA	0.591	NA	NA	NA	NA	NA	NA	-1.141	NA	NA	NA	0.27	0.188	0.866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_115s	-0.56	0.1325	0.251	0.156	0.117	0.153	-0.015	-0.078	0.1	-0.2235	0.452	-0.005	0.039	-0.634	0.332	0.32	-0.044	-0.649	0.477	-0.022	0.166	-0.265	-0.057	-0.163	-0.036	-0.054	-0.179	-0.044	0.1565	-0.171	-0.221	0.037	0.176	0.523	-0.3215	-0.048	-0.443	0.127	0.02	-0.047	-0.644	-0.237	0.285	0.222	0.013	-0.017	0.51	NA	0.385	NA	NA	NA	NA	NA	NA	NA	0.162	NA	NA	0.025	NA	NA	NA	0.16	NA	NA	NA	NA	0.134	NA	NA	NA	NA	NA	NA	0.234	NA	NA	0.052	NA	NA	0.224	NA	NA	0.052	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_131s	0.494	0.33	0.434	-0.986	-0.573	-0.247	0.365	-0.082	0.137	-0.833	0.184	0.104	-0.328	-0.05	-0.351	-0.126	0.003	-0.495	-0.026	0.919	0.276	-0.588	0.364	-0.215	0.594	0.15	-0.465	0.229	-0.55	0.21	-0.097	0.425	-0.501	1.488	-0.407	0.115	-0.527	0.024	-1.338	-0.256	-0.959	-0.272	-0.975	0	0.54	0.412	0.515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_138s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.605	1.464	2.793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_178s	NA	0.701	NA	NA	NA	NA	-0.701	NA	NA	0.127	0.55	0.027	-0.274	NA	NA	NA	-0.392	-0.281	NA	NA	NA	-0.394	0.405	NA	-0.076	NA	NA	NA	-0.15	NA	NA	0.69	NA	NA	0.267	NA	-0.064	0.154	0.456	NA	NA	NA	NA	NA	-0.195	-0.46	-0.052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_179s	0.44	0.447	0.647	0.132	NA	0.405	0.114	NA	-0.204	0.259	0.416	-0.138	0.178	NA	NA	0.227	0.158	0.054	NA	0.676	NA	-0.084	0.007	0.511	0.058	0.293	0.311	0.349	0.5	0.082	NA	0.374	0.072	NA	-0.576	-0.195	-0.429	-0.19	0.65	-0.246	NA	-0.454	0.24	0.636	-0.107	0.299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_181s	0.291	0.712333333	0.531	0.1265	0.041	0.456	-0.224333333	-0.057	-0.0755	0.181333333	0.583	0.013666667	0.014	0.071	-0.235	0.1845	0.018666667	-0.065333333	0.096	0.2865	0.148	-0.103666667	0.188333333	0.2955	0.115333333	0.2915	0.155	0.1005	0.104	0.175	-0.247	0.429333333	0.157	0.347	-0.081666667	-0.155	-0.135666667	0.079666667	0.459333333	0.0155	-0.055	-0.2205	0.2435	0.394	0.048666667	0.073666667	1.2675	0.211	0.271	0.164	0.008	NA	0.072	0.425	NA	0.182	0.069	0.186	0.145	0.25	NA	NA	0.06	0.362	0.187	NA	0.551	NA	0.281	0.201	0.305	0.226	0.002	0.221	0.351	0.347	0.132	NA	0.238	0.12	NA	0.44	0.057	0.265	0.241	0.189	0.37	NA	0.33	0.005	0.342	0.349	0.464	1.866
NELFE_251s	-0.631	0.489333333	0.370666667	0.034333333	0.27575	0.216	-0.110333333	-0.00575	0.222333333	-0.218333333	0.376	-0.152	-0.199666667	-0.152666667	0.31875	0.279666667	-0.114	-0.374333333	0.15425	0.013	-0.0285	-0.003	-0.207666667	-0.041333333	0.147666667	0.042333333	-0.234	-0.076333333	0.264666667	0.226	-0.1625	0.095	-0.054333333	0.214	-0.378666667	-0.198333333	-0.422	-0.006333333	-0.058	-0.068333333	-0.86	-0.26	-0.064	0.153333333	0.230666667	0.259	0.403666667	0.215	0.143	0.025	0.05	0.181	0.088	0.15	0.065	0.122	0.056	0.128	0.07	0.076	0.291	0.099	0.138	0.07	0.103	0.662	0.074	0.151	0.013	0.08	0.162	0.047	0.129	0.296	0.12	0.109	0.048	0.088	0.065	0.06	0.505	0.156	0.068	0.038	0.085	0.107	0.054	0.401	0.082	0.089	0.139	0.078	0.204	0.336
NELFE_353s	NA	NA	NA	NA	0.216	NA	-0.39	-1.343	NA	NA	0.23	0.468	NA	-0.805	0.086	NA	NA	0.54	0.561	NA	0.629	NA	0.393	NA	-0.022	NA	NA	NA	NA	NA	-1.802	NA	NA	-0.009	NA	NA	0.568	NA	-0.526	NA	-0.373	NA	NA	NA	1.134	0.729	0.184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NELFE_37s	1.054	0.3805	0.3755	-0.2475	-0.87	-0.466	-0.589	-0.718	0.9055	-1.2535	-1.06	-0.746	-0.9595	-1.268	-0.243	0.0865	-0.2535	-1.3765	-1.448	0.4305	-0.366	-0.655	-0.075	-0.401	0.008	-0.0535	-0.3215	1.3485	-0.588	-0.658	-0.304	-0.0995	-0.1045	0.889	-0.1775	-0.582	-1.251	-0.6005	-1.114	-0.216	-1.516	-0.111	-0.273	-1.3005	0.3705	1.4035	0.6735	0.116	0.698	0.292	0.185	NA	0.164	0.414	NA	0.525	0.145	0.222	0.492	0.076	NA	NA	0.076	0.179	0.193	NA	0.267	NA	0.354	0.057	0.344	0.301	0.285	0.047	0.234	0.007	0.891	NA	0.414	0.1	NA	0.284	0.407	0.576	0.349	0.465	0.122	NA	0.38	0.096	0.798	0.313	0.257	1.381
